Name,ID Number,Status
"SONNIC AVIATION, LLC",6188965,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNIER ENTERPRISES, LLC",7798283,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY AND BOUA BACCAM, INC",6153241,ACTIVE AND IN GOOD STANDING
SONNY BOY CORP.,1668367,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY BOY, INC.",2609634,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY CANNON AUTO PLAZA, INC.",5261383,ACTIVE AND IN GOOD STANDING
"SONNY HILL AUTOMOTIVE, INC.",7134802,FORFEITED - FAILED TO CORRECT AND RETURN A/R
"SONNY HILL CHEVROLET GEO OLDSMOBILE, INC.",1700640,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY HILL CHEVROLET-GEO-JEEP-EAGLE, INC.",7380298,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY HILL CHRYSLER-PLYMOUTH-JEEP-EAGLE, INC.",2220234,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY HILL PONTIAC-BUICK-GMC TRUCK, INC.",2231306,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY HILL SATURN, INC.",7424088,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY HOLBROOK, INC.",2670008,DISSOLVED
"SONNY J'S, LLC",4264255,ACTIVE AND IN GOOD STANDING
"SONNY KAY ACQUISITIONS, LLC",3589140,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY KAY PRODUCTIONS, LLC",3671229,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY LANE QUARTER HORSES, INC.",792044,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY PARKER, INC.",463422,FORFEITED - FAILED TO TIMELY FILE A/R
SONNY SAGAR CONSULTING LLC,3966058,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY SIERRA ENTERPRISES, LLC",6662241,ACTIVE AND IN GOOD STANDING
"SONNY SUE, INC.",2299873,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY VANS OF KINGMAN, INC.",446484,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY'S AUTO BODY SHOP, INC.",1658517,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY'S AUTO SALES, INC.",768358,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY'S AUTOMOTIVE DIAGNOSTIC & REPAIR CENTER, INC.",2024172,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY'S BODY SHOP, INC.",1558899,FORFEITED - FAILED TO TIMELY FILE A/R
"SONNY'S CUSTOM FARMING, LLC",6385868,ACTIVE AND IN GOOD STANDING
SONNY'S INCORPORATED,2012896,ACTIVE AND IN GOOD STANDING
"SONNY'S PARTY HOUSE, INC.",4110011,DISSOLVED
"SONNY'S SPRAY TANS, LLC",4971321,WITHDRAWN
SONNYS AUTOS INC,8604241,FORFEITED - FAILED TO TIMELY FILE A/R
SONO GRATO INC,7678949,ACTIVE AND IN GOOD STANDING
SONO HEART LLC,6024731,FORFEITED - FAILED TO TIMELY FILE A/R
"SONOCO HUTCHINSON, LLC",3241577,ACTIVE AND IN GOOD STANDING
SONOCO PRODUCTS COMPANY,7122765,ACTIVE AND IN GOOD STANDING
"SONOCO RECYCLING, INC.",3996725,WITHDRAWN
"SONOCO RECYCLING, LLC",5155445,ACTIVE AND IN GOOD STANDING
"SONODORA, INC.",6631261,ACTIVE AND IN GOOD STANDING
"SONOMA BEVERAGE WORKS, INC.",4837654,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
SONOMA CREEK WINERY,3491909,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
"SONOMA PEAK RJB, LLC",9224304,ACTIVE AND IN GOOD STANDING
"SONOMA PLAZA, INC.",8429565,ACTIVE AND IN GOOD STANDING
"SONOMA POINTE, LLC",8583569,ACTIVE AND IN GOOD STANDING
"SONOMA PROPERTIES, LLC",9285289,ACTIVE AND IN GOOD STANDING
SONOMA RESOURCES LLC,6536882,ACTIVE AND IN GOOD STANDING
"SONOMA RISK MANAGEMENT, LLC",4460580,WITHDRAWN
"SONOMA VINEYARD COMPANY, INC",5322656,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
"SONOMA WINE COMPANY, LLC",4668299,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
"SONOMA, INC.",4477345,ACTIVE AND IN GOOD STANDING
SONOMA-CUTRER VINEYARDS,3824810,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
SONOMA-CUTRER VINEYARDS,4596714,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
"SONOMA-CUTRER VINEYARDS, INC.",4600110,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
"SONOMAX HEARING HEALTHCARE USA, INC.",3332749,FORFEITED - FAILED TO TIMELY FILE A/R
"SONONET, INC.",4065074,WITHDRAWN
SONOPROS LLC,9318544,ACTIVE AND IN GOOD STANDING
SONORA CAPITAL PARTNERS LLC,8632960,ACTIVE AND IN GOOD STANDING
SONORA MINING ASSOCIATION,1460682,EXPIRED
SONORAN PEAK CONSTRUCTION & ROOFING LLC,6795264,FORFEITED - FAILED TO TIMELY FILE A/R
"SONORAN RISK PURCHASING GROUP, INC.",4510962,WITHDRAWN
"SONORAN TITLE SERVICES, INC.",4514196,WITHDRAWN
"SONORANT, INC.",8545501,FORFEITED - FAILED TO TIMELY FILE A/R
"SONOSCORE, LLC",3500048,FORFEITED - FAILED TO TIMELY FILE A/R
SONOTONE CORPORATION,7019417,WITHDRAWN
"SONOVISION, INC.",3505583,ACTIVE AND IN GOOD STANDING
"SONRAY, INC.",444463,ACTIVE AND IN GOOD STANDING
"SONRIDGE HOMES, LLC",9540485,ACTIVE AND IN GOOD STANDING
"SONRISA PRINTING AND PUBLISHING COMPANY, INC.",220400,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISA SYSTEMS, INC.",2692457,DISSOLVED
"SONRISE CENTER FOR WORLD EVANGELISIM AND DISICPLESHIP MINSITRIES,",2883460,FORFEITED - FAILED TO TIMELY FILE A/R
SONRISE CHILDCARE L.L.C.,6129852,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISE CHRISTIAN CHURCH, INC.",793422,DISSOLVED
"SONRISE COMMODITIES, INC",3875820,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISE COMMUNICATIONS, INC.",2980134,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISE DEVELOPMENT, LLC",3484086,ACTIVE AND IN GOOD STANDING
"SONRISE ENTERPRISES, INC.",6035596,DISSOLVED
"SONRISE FUTURES, INC.",4072245,DISSOLVED
"SONRISE HOMES, LLC",3638327,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISE II DEVELOPMENT, LLC",3643764,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISE MINISTRIES, INC.",2143030,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISE SOFTWARE, LTD.",1746676,FORFEITED - FAILED TO TIMELY FILE A/R
"SONRISE, L.L.C.",2808962,ACTIVE AND IN GOOD STANDING
"SONS & TGT, LC",6921084,FORFEITED - FAILED TO TIMELY FILE A/R
SONS AND DAUGHTERS OF JACOB,1460690,FORFEITED - FAILED TO TIMELY FILE A/R
SONS AND DAUGHTERS OF ZION,1460708,FORFEITED - FAILED TO TIMELY FILE A/R
SONS AND DAUGHTERS OF ZION AID ASSOCIATION,1460716,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF AMERICAN LIBERTY,7335771,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF ASPHALT TRUCKING INC,8267882,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF BETHEL,1460732,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF BETHEL,1460740,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF BETHEL,1460757,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF FENCE LLC,8143422,ACTIVE AND IN GOOD STANDING
SONS OF NORWAY,3453990,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF PITCHES CORNHOLE LLC,9322165,ACTIVE AND IN GOOD STANDING
"SONS OF THE AMERICAN LEGION, ANDREW NEWTON POST 94 INC.",5314539,ACTIVE AND IN GOOD STANDING
"SONS OF THE KING, INC.",3518255,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF THUNDER LLC,6140495,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF VETERANS AND LADIES AID ASSOCIATION,1460765,EXPIRED
"SONS, INC.",3738192,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSET, L.P.",2809069,ACTIVE AND IN GOOD STANDING
"SONSHI ART GALLERY, INC.",317446,FORFEITED - FAILED TO TIMELY FILE A/R
SONSHINE & SOLITUDE LLC,9089962,ACTIVE AND IN GOOD STANDING
THE SONS OF BETHEL NUMBER 2 OF ATCHISON,1490846,FORFEITED - FAILED TO TIMELY FILE A/R
THE SONS OF BETHEL NUMBER 2 OF ATCHISON,1490853,EXPIRED
BROTHERS ONE LLC,7900293,FORFEITED - FAILED TO TIMELY FILE A/R
SON & SONS LLC,8629941,ACTIVE AND IN GOOD STANDING
SON SCAPES LLC,6982300,FORFEITED - FAILED TO TIMELY FILE A/R
"SON SPRINGS CAMP, INC.",551077,FORFEITED - FAILED TO CORRECT AND RETURN A/R
"SON'S SERVICE, INC.",403337,FORFEITED - FAILED TO TIMELY FILE A/R
SON-SIDE OIL & GAS COMPANY,236521,FORFEITED - FAILED TO TIMELY FILE A/R
"SONS & TGT, LC",6921084,FORFEITED - FAILED TO TIMELY FILE A/R
SONS AND DAUGHTERS OF JACOB,1460690,FORFEITED - FAILED TO TIMELY FILE A/R
SONS AND DAUGHTERS OF ZION,1460708,FORFEITED - FAILED TO TIMELY FILE A/R
SONS AND DAUGHTERS OF ZION AID ASSOCIATION,1460716,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF AMERICAN LIBERTY,7335771,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF ASPHALT TRUCKING INC,8267882,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF BETHEL,1460732,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF BETHEL,1460740,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF BETHEL,1460757,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF FENCE LLC,8143422,ACTIVE AND IN GOOD STANDING
SONS OF NORWAY,3453990,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF PITCHES CORNHOLE LLC,9322165,ACTIVE AND IN GOOD STANDING
"SONS OF THE AMERICAN LEGION, ANDREW NEWTON POST 94 INC.",5314539,ACTIVE AND IN GOOD STANDING
"SONS OF THE KING, INC.",3518255,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF THUNDER LLC,6140495,FORFEITED - FAILED TO TIMELY FILE A/R
SONS OF VETERANS AND LADIES AID ASSOCIATION,1460765,EXPIRED
"SONS, INC.",3738192,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSET, L.P.",2809069,ACTIVE AND IN GOOD STANDING
"SONSHI ART GALLERY, INC.",317446,FORFEITED - FAILED TO TIMELY FILE A/R
SONSHINE & SOLITUDE LLC,9089962,ACTIVE AND IN GOOD STANDING
SONSHINE BAPTIST CHURCH,2414555,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSHINE ENTERPRISES, INCORPORATED",7997505,ACTIVE AND IN GOOD STANDING
"SONSHINE HOUSE CHRISTIAN PRE SCHOOL, INC.",4694485,ACTIVE AND IN GOOD STANDING
"SONSHINE LAWN AND LANDSCAPING, INC.",2451979,ACTIVE AND IN GOOD STANDING
"SONSHINE LOCKER, INC.",577429,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSHINE MEDIA, LLC",6384366,DISSOLVED
"SONSHINE MINISTERIES, INC.",548941,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSHINE MINISTRIES, INC.",4078242,ACTIVE AND IN GOOD STANDING
"SONSHINE PRAIRIE, INC.",673640,ACTIVE AND IN GOOD STANDING
SONSHINE PRE-SCHOOL INC,3585932,ACTIVE AND IN GOOD STANDING
"SONSHINE PROPERTIES, L.L.C.",3397650,ACTIVE AND IN GOOD STANDING
SONSHINE TECH ED PUBLICATIONS LLC,3639119,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSHINE TELEVISION NETWORK, INC.",511204,DISSOLVED
SONSHINE VALLEY CHRISTIAN SCHOOL INC.,980730,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSHINE, INC.",964254,DISSOLVED
"SONSHIP ENTERPRISES, INC.",664342,FORFEITED - FAILED TO TIMELY FILE A/R
SONSONG INTERNATIONAL LTD.,1701283,FORFEITED - FAILED TO TIMELY FILE A/R
"SONSTONE TRADING, LLC",4262580,ACTIVE AND IN GOOD STANDING
"SONSUP, LLC",4197844,WITHDRAWN
THE SONS AND DAUGHTERS OF THE SODDIES,282798,FORFEITED - FAILED TO TIMELY FILE A/R
"THE SONS OF AMERICAN LEGION MUSICAL ASSOCIATION, INC.",1460724,FORFEITED - FAILED TO TIMELY FILE A/R
