Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
CAMPBELL AND SONS ROOFING LLC,603 613 811,WA LIMITED LIABILITY COMPANY,"1038 SW 122ND ST APT C303, SEATTLE, WA, 98146, UNITED STATES",DEVON CAMPBELL,Active
"CAMPBELL KIRSON FARMS, LLC",603 219 912,WA LIMITED LIABILITY COMPANY,"16670 ROAD 11 SE, WARDEN, WA, 98857-9587, UNITED STATES",R DEAN CAMPBELL,Active
CAMPBELL THOMPSON WININGER PLLC,602 835 693,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1410 MAIN STREET, SUMNER, WA, 98390, UNITED STATES",SUZANNE THOMPSON WININGER,Active
"CAMPBELL-NELSON NISSAN, INC.",602 423 897,WA PROFIT CORPORATION,"24329 HIGHWAY 99, EDMONDS, WA, 98026-9138, UNITED STATES",CRAIG CAMPBELL,Active
"CAMPBELL-NELSON, INC.",600 590 279,WA PROFIT CORPORATION,"24329 HIGHWAY 99, EDMONDS, WA, 98026-9138, UNITED STATES",CRAIG CAMPBELL,Active
"CAMPOSANO & SON'S, INC.",603 448 075,FOREIGN PROFIT CORPORATION,"11535 W 10350 N, TREMONTON, UT, 84337, UNITED STATES",VALERIO CAMPOSANO,Terminated
"CAMSON INVESTMENTS, LLC",602 280 949,WA LIMITED LIABILITY COMPANY,,ALAN KASCHUBE,Inactive
"CAMSON, L.L.C.",601 816 132,WA LIMITED LIABILITY COMPANY,"6305 KANSAS ST APT 1, VANCOUVER, WA, 98661-7461, UNITED STATES",RAYMOND H CAMPBELL,Delinquent
"CAN-DO MASONRY RESTORATION, INC.",601 600 301,WA PROFIT CORPORATION,,CHRISTI LYNN LARSON,Inactive
"CANDY RAWSON INSURANCE AGENCY, LLC",603 315 406,WA LIMITED LIABILITY COMPANY,"2720 70TH AVE E, FIFE, WA, 98424-3643, UNITED STATES",CRYSTAL CANDY RAE  RAWSON,Active
CANELLSON ENTERPRISES LLC,604 187 424,WA LIMITED LIABILITY COMPANY,"4512 148TH ST NE, MARYSVILLE, WA, 98271-8950, UNITED STATES",RIKKI NELSON,Delinquent
CANFIELD & SONS INC,603 382 710,WA PROFIT CORPORATION,"305 NE EATON BLVD, BATTLE GROUND, WA, 98604, UNITED STATES",ROBERT CANFIELD,Administratively Dissolved
CANISON LLC,602 629 452,WA LIMITED LIABILITY COMPANY,"15517 34TH AVENUE SE, MILL CREEK, WA, 98012, UNITED STATES",JENNIFER LIND,Administratively Dissolved
CANJI SONS INC.,601 839 202,WA PROFIT CORPORATION,"13145 113TH PL NE, KIRKLAND, WA, 98034-6313, UNITED STATES",TALIB KARAMALI,Active
CANSAS WILSON THERAPY LLC,604 509 964,WA LIMITED LIABILITY COMPANY,"33507 9TH AVE S, FEDERAL WAY, WA, 98003-6397, UNITED STATES",CANSAS WILSON,Active
"CANYON FREDERICKSON, LLC",602 512 374,WA LIMITED LIABILITY COMPANY,"15518 MERIDIAN E, PUYALLUP, WA, 98375-9513, UNITED STATES",BETTY BERGE,Active
"CANYON MASONRY ""LLC.""",602 738 556,WA LIMITED LIABILITY COMPANY,"402 NW 152ND ST, VANCOUVER, WA, 98685-1776, UNITED STATES",IAN DEANS,Administratively Dissolved
"CAO SON TRADING COMPANY, INC.",601 793 221,WA PROFIT CORPORATION,,CHARLIE DANG,Inactive
CAO SONG INTERNATIONAL U.S.A. INC.,601 782 953,WA PROFIT CORPORATION,,ILDOO KIM,Inactive
"CAPITAL ACCESS ONE, L.L.C.",601 793 816,WA LIMITED LIABILITY COMPANY,,DENNIS MCCURLEY,Inactive
CAPITOL CHAPTER #803 OF AMERICAN ASSOCIATION                OF RETIRED PERSONS,601 856 322,WA NONPROFIT CORPORATION,,FLOYD R CHRUSOSKIE,Inactive
CAPPONI & SONS INC.,603 166 863,WA PROFIT CORPORATION,"49103 284TH AVE SE, ENUMCLAW, WA, 98022, UNITED STATES",SALLY CAPPONI,Administratively Dissolved
"CAPPY THOMPSON STUDIO, INC.",601 595 951,WA PROFIT CORPORATION,"707 S SNOQUALMIE ST, STE 4A, SEATTLE, WA, 98108-1700, UNITED STATES",CAPPY THOMPSON,Active
CAPTAIN HANSONS LLC,603 414 528,WA LIMITED LIABILITY COMPANY,"639 JOHN JACOBS RD, PORT ANGELES, WA, 98362-9241, UNITED STATES",WENDY HANSON,Active
"CAR ACCIDENT INJURIES AND ATTORNEY REFERRAL, LLC",604 234 886,WA LIMITED LIABILITY COMPANY,"6335, PACIFIC AVE. SE, OLYMPIA,, WA, 98503, UNITED STATES",NATHANIEL JACKSON,Active
"CARA VINSON PHOTOGRAPHY, LLC",602 639 555,WA LIMITED LIABILITY COMPANY,"8515 STATE AVENUE #28, MARYSVILLE, WA, 98270, UNITED STATES",CARA VINSON,Inactive
CARBINS PERSONAL TRAINING INC.,603 088 477,WA PROFIT CORPORATION,"1702 SO 72ND ST STE A, TACOMA, WA, 98408, UNITED STATES",FLOYD  CARBINS III,Administratively Dissolved
"CARDIAC SONOGRAPHY SERVICES, INC.",602 127 533,WA PROFIT CORPORATION,"20622 95TH AVE S, KENT, WA, 98031-1462, UNITED STATES",MICHAEL K DUBEAU,Voluntarily Dissolved
"CARDILLO & SONS, INC.",602 439 175,FOREIGN PROFIT CORPORATION,"22 DOWSE ST, EVERETT, MA, 02149, UNITED STATES",CORPORATION SERVICE COMPANY,Terminated
CARDOZA AND SONS LLC,603 616 500,WA LIMITED LIABILITY COMPANY,"28601 224TH PL SE, MAPLE VALLEY, WA, 98038, UNITED STATES",DENNIS P CARDOZA,Administratively Dissolved
CARE NET PREGNANCY CENTER OF MASON COUNTY,600 640 888,WA PUBLIC BENEFIT CORPORATION,"2233 JEFFERSON ST, SHELTON, WA, 98584, UNITED STATES",CARE NET PREGNANCY CENTER OF MASON COUNTY,Active
"CAREY ALLEY LAWSON, LLC",603 260 556,WA LIMITED LIABILITY COMPANY,,ELIZABETH LAWSON,Administratively Dissolved
"CARINI & SON, INC.",601 045 182,WA PROFIT CORPORATION,,JOSEPH M CARINI,Inactive
CARL A ERICKSON FAMILY LIMITED PARTNERSHIP,604 371 275,WA LIMITED PARTNERSHIP,"312 SEVERN AVE, APT E100, ANNAPOLIS, MD, 21403-2520, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Active
CARL A. ANDERSON INC.,600 416 860,WA PROFIT CORPORATION,,CARL A ANDERSON,Inactive
"CARL A. ANDERSON, LLC",603 000 043,WA LIMITED LIABILITY COMPANY,"3320 N. 27TH ST., TACOMA, WA, 98407, UNITED STATES",CARL ANDERSON,Inactive
"CARL A. JACOBSON, D.D.S., P.S.",600 399 401,WA PROFESSIONAL SERVICE CORPORATION,,CARL A JACOBSON,Inactive
CARL GIPSON SENIOR CENTER FOUNDATION,604 391 590,WA NONPROFIT CORPORATION,,CARL GIPSON SENIOR CENTER FOUNDATION,Active
"CARL H. JOHNSON & SON EXCAVATING, LLC",603 405 942,WA LIMITED LIABILITY COMPANY,"7413 FLAGLER RD, NORDLAND, WA, 98358-9663, UNITED STATES","CARL H. JOHNSON & SON EXCAVATING, LLC",Active
"CARL H. JOHNSON & SON TRUCKING & EXCAVATING, INC",602 453 211,WA PROFIT CORPORATION,"7334 FLAGLER RD, NORDLAND, WA, 98358, UNITED STATES",DAVID A ROBERTS,Administratively Dissolved
"CARL H. JOHNSON CLAMS & OYSTERS, INC.",600 372 116,WA PROFIT CORPORATION,,CARL H JOHNSON,Inactive
CARL H. JOHNSON FAMILY L.P. III,601 648 467,WA LIMITED PARTNERSHIP,,CARL H JOHNSON,Inactive
CARL H. JOHNSON FAMILY L.P. V,601 648 464,WA LIMITED PARTNERSHIP,,CARL H JOHNSON,Inactive
"CARL J. COLSON-ARCHITECT, PLLC",602 148 082,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"23623 20TH AVE W, BOTHELL, WA, 98021-9277, UNITED STATES",CARL J COLSON,Active
"CARL K. JOHNSON AND KIRBY M. NELSON, L.L.C.",602 057 569,WA LIMITED LIABILITY COMPANY,"26808 MAPLE VALLEY BLACK DIAMOND RD SE, MAPLE VALLEY, WA, 98038-8309, UNITED STATES","CARL K. JOHNSON AND KIRBY M. NELSON, LLC",Voluntarily Dissolved
"CARL L. CARLSON III, INC.",600 341 458,WA PROFIT CORPORATION,,CARL L CARLSON III,Inactive
"CARL MORRISON CONSTRUCTION COMPANY, INC.",601 874 521,WA PROFIT CORPORATION,,DONALD F MANSFIELD,Inactive
"CARL NELSON CONSTRUCTION, INC.",601 868 838,WA PROFIT CORPORATION,,CARL NELSON,Inactive
CARL NELSON LLC,604 216 867,WA LIMITED LIABILITY COMPANY,"642 WILTSE LN, BELLINGHAM, WA, 98226-1743, UNITED STATES",CARL NELSON,Active
CARL NEWTON & SONS INC.,602 825 237,WA PROFIT CORPORATION,"8905 NE 117TH AVE, SUITE 108, VANCOUVER, WA, 98662, UNITED STATES",CARL NEWTON,Inactive
CARL PETERSON INC,604 192 578,WA PROFIT CORPORATION,"4203 60TH STREET CT NW, GIG HARBOR, WA, 98335-8130, UNITED STATES",KEVIN IVERSON,Active
"CARL PITTS & SONS WELL DRILLING, LLC",602 163 908,FOREIGN LIMITED LIABILITY COMPANY,"140 SILVER BIRCH LN, OLDTOWN, ID, 83822-8521, UNITED STATES",BETTY CAMARA,Terminated
"CARL PITTS & SONS WELLDRILLING, INC.",601 685 016,FOREIGN PROFIT CORPORATION,,HAZEL BAUER,Terminated
"CARL THOMPSON'S APPLIANCE, INC.",600 470 869,WA PROFIT CORPORATION,,BEN PETERSON,Inactive
"CARL THORGERSON, INC.",601 356 392,WA PROFIT CORPORATION,"301 NE 100TH ST STE 200, SEATTLE, WA, 98125-8006, UNITED STATES",CARL THORGERSON,Voluntarily Dissolved
"CARLA BENSON ACCOUNTING, LLC",603 289 393,WA LIMITED LIABILITY COMPANY,"316 E MCLEOD RD, SUITE 106, BELLINGHAM, WA, 98226-6491, UNITED STATES","CARLA BENSON ACCOUNTING, LLC",Active
"CARLA HELLEKSON, M.D., PLLC",602 610 050,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"16148 SE 33RD CIR, BELLEVUE, WA, 98008-5723, UNITED STATES",CARLA HELLEKSON MD,Active
CARLETON & SONS CONSTRUCTION SERVICES LLC,604 092 790,WA LIMITED LIABILITY COMPANY,"520 19TH PL, KIRKLAND, WA, 98033, UNITED STATES",ANDREW CARLETON,Administratively Dissolved
CARLI & SONS LLC,604 500 633,WA LIMITED LIABILITY COMPANY,"6741 NE 182ND ST UNIT C102, KENMORE, WA, 98028-4998, UNITED STATES",CARSON WALL,Active
CARLSON & ASSOCIATES LLC,602 357 540,WA LIMITED LIABILITY COMPANY,"19619 E CATALDO, GREENACRES, WA, 99016, UNITED STATES",KERT CARLSON,Inactive
"CARLSON & ASSOCIATES, INC.",601 164 880,WA PROFIT CORPORATION,,PHILLIP E MULTOP,Inactive
"CARLSON & BROWN VENTURES, LLC",603 204 583,WA LIMITED LIABILITY COMPANY,"18317 129TH AVE. NE, BOTHELL, WA, 98011, UNITED STATES",GARY BROWN,Administratively Dissolved
"CARLSON & CARLSON FARMS, LLC",603 288 780,WA LIMITED LIABILITY COMPANY,"3616 MORSE MERRYMAN RD SE, OLYMPIA, WA, 98501-3960, UNITED STATES",PETER T PETRICH,Active
CARLSON & CARLSON INC,602 944 622,WA PROFIT CORPORATION,"21308 STATE ROUTE 9 SE, WOODINVILLE, WA, 98072, UNITED STATES",LINDSAY CARLSON,Administratively Dissolved
"CARLSON & CARLSON PROPERTIES I, LLC",602 172 360,WA LIMITED LIABILITY COMPANY,"34018 102ND AVE S, ROY, WA, 98580-9440, UNITED STATES",DAVIES PEARSON PC,Active
"CARLSON & CARLSON PROPERTIES II, LLC",602 172 361,WA LIMITED LIABILITY COMPANY,"34018 102ND AVE S, ROY, WA, 98580-9440, UNITED STATES",DAVIES PEARSON PC,Active
"CARLSON & CARLSON, L.L.C.",601 919 987,WA LIMITED LIABILITY COMPANY,,MELVIN CARLSON,Inactive
CARLSON & CO. DBA CARLSON & CO. OF WASHINGTON,602 982 535,FOREIGN PROFIT CORPORATION,"13023 ARROYO ST, SAN FERNANDO, CA, 91340, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Terminated
"CARLSON & COMPANY CONSULTING, INC.",602 176 552,WA PROFIT CORPORATION,,VALERIE CARLSON PRESSLEY,Inactive
CARLSON & CRANE LLC,603 168 685,WA LIMITED LIABILITY COMPANY,"8724 LAUGHING SALMON LN, BAINBRIDGE ISLAND, WA, 98110, UNITED STATES",AARON CRANE,Administratively Dissolved
"CARLSON & DENNETT, P.S.",601 695 180,WA PROFESSIONAL SERVICE CORPORATION,"1808 38TH AVE. E., SEATTLE, WA, SEATTLE, WA, 98112, UNITED STATES",CARL J CARLSON,Active
"CARLSON & GUFFEY, LLC",602 314 331,WA LIMITED LIABILITY COMPANY,,GARY J CARLSON,Inactive
"CARLSON & MCMAHON, P.S.",600 118 748,WA PROFESSIONAL SERVICE CORPORATION,,LARRY CARLSON,Inactive
"CARLSON & MCMAHON, PLLC",602 001 952,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"37 S WENATCHEE AVE STE F, WENATCHEE, WA, 98801-2243, UNITED STATES",PATRICK MCMAHON,Active
"CARLSON & NASH CONSTRUCTION, LLC",601 809 795,WA LIMITED LIABILITY COMPANY,,JOHN C CARLSON,Inactive
CARLSON & OBRIANT LLC,603 366 675,WA LIMITED LIABILITY COMPANY,"6132 144TH PL SE, BELLEVUE, WA, 98006-4327, UNITED STATES",VICKI OBRIANT,Active
"CARLSON & RIEKE, P.S., INC.",601 409 411,WA PROFESSIONAL SERVICE CORPORATION,,BRIAN J PESCHEL,Inactive
"CARLSON & SEVIGNY TPA SERVICES, INC.",602 379 337,WA PROFIT CORPORATION,"6701 N COUNTRY HOMES BLVD # 100, SPOKANE, WA, 99208-4336, UNITED STATES",CYNTHIA L  SCHWARTZ,Active
"CARLSON & SONS, INC.",601 907 503,WA PROFIT CORPORATION,"12232 OLALLA VALLEY RD SE, OLALLA, WA, 98359-9748, UNITED STATES",JAMES E CARLSON JR,Active
"CARLSON & THACKER, PLLC",602 094 537,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,DON THACKER,Administratively Dissolved
"CARLSON 7, L.L.C.",603 088 685,WA LIMITED LIABILITY COMPANY,"1770 CYPRESS DR, PASCO, WA, 99301-8715, UNITED STATES",VALERIE P. CARLSON,Active
"CARLSON ADVISORS, LLC",603 120 728,FOREIGN LIMITED LIABILITY COMPANY,"7101 NORTHLAND CIRCLE, SUITE 123, MINNEAPOLIS, MN, 55428, UNITED STATES",GERRY MICHAEL,Terminated
"CARLSON ADVISORS, LLP",603 224 716,FOREIGN LIMITED LIABILITY PARTNERSHIP,"7101 NORTHLAND CIRCLE #123, MINNEAPOLIS, MN, 55428",GERARD A MICHAEL,Delinquent
CARLSON AESTHETICS LLC,604 084 266,WA LIMITED LIABILITY COMPANY,"22627 BOTHELL EVERETT HWY #D, BOTHELL, WA, 98021, UNITED STATES",KRIS CARLSON,Administratively Dissolved
"CARLSON AGRIBUSINESS, LLC",603 044 992,WA LIMITED LIABILITY COMPANY,"1601 LATERAL B RD, WAPATO, WA, 98951-9148, UNITED STATES",H DAVID CARLSON,Active
CARLSON AND SONS LOGGING INC.,602 682 478,WA PROFIT CORPORATION,"1010 BEAVER CREEK RD, CATHLAMET, WA, 98612-9634, UNITED STATES",LEIHANNA CARLSON,Active
"CARLSON APARTMENTS, LLC",602 549 993,WA LIMITED LIABILITY COMPANY,"1157 8TH AVE S, EDMONDS, WA, 98020-6605, UNITED STATES",LARRY L  CARLSON,Active
"CARLSON APPRAISAL GROUP, L.L.C.",601 594 827,WA LIMITED LIABILITY COMPANY,,JOHN CARLSON,Inactive
"CARLSON ARCHITECTS, P.S.",600 594 585,WA PROFESSIONAL SERVICE CORPORATION,,DONALD E CARLSON,Inactive
"CARLSON ARCHITECTURAL WORKS, PLLC",603 165 113,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1455 HOWE STREET #2504, VANCOUVER, BC, V6Z 1C2, CANADA",PAUL DAVIS,Voluntarily Dissolved
"CARLSON ASSOCIATES, INC. DBA WESTERN CARLSON ASSOCIATES,    INC.",601 718 086,FOREIGN PROFIT CORPORATION,,C T CORPORATION SYSTEM,Terminated
CARLSON AUDIO SYSTEMS LLC,602 461 232,WA LIMITED LIABILITY COMPANY,"2250 1ST AVE S, SEATTLE, WA, 98134-1408, UNITED STATES",JONATHAN MYERS,Active
"CARLSON AUTO GLASS, INC.",601 039 553,WA PROFIT CORPORATION,,MATTHEW J CARLSON,Inactive
"CARLSON AUTOMOTIVE, INC.",601 916 078,WA PROFIT CORPORATION,"8248 NE ST HWY 104, KINGSTON, WA, 98346, UNITED STATES",SCOTT A. CARLSON,Active
"CARLSON BOOKKEEPING, INC.",602 041 824,WA PROFIT CORPORATION,"3006 NE 8TH ST, RENTON, WA, 98056-3746, UNITED STATES",NANCY CARLSON,Active
CARLSON BREWING LLC,604 186 680,WA LIMITED LIABILITY COMPANY,"233 S 1ST ST, SHELTON, WA, 98584-2243, UNITED STATES",TERESA CARLSON,Administratively Dissolved
"CARLSON BROTHERS ENTERPRISES, INC.",602 302 414,WA PROFIT CORPORATION,"8506 CEDARHOME DR, STANWOOD, WA, 98292-9539, UNITED STATES",BRUCE D CARLSON,Active
"CARLSON BROTHERS, INC.",600 128 169,WA PROFIT CORPORATION,"861 S 38TH ST, TACOMA, WA, 98418, UNITED STATES",CARL L CARLSON III,Active
"CARLSON BUILDERS, INC.",602 449 620,WA PROFIT CORPORATION,"2925 MCEWAN RD KPN, LAKEBAY, WA, 98349, UNITED STATES",JOHN CARLSON,Administratively Dissolved
"CARLSON BUSINESS CONSULTING, LLC",604 131 042,WA LIMITED LIABILITY COMPANY,"10902 NE ROSEWOOD AVE, VANCOUVER, WA, 98662, UNITED STATES",CHRISTI CARLSON,Active
CARLSON CARE AFH LLC,602 100 495,WA LIMITED LIABILITY COMPANY,"20140 106TH AVE NE, BOTHELL, WA, 98011-2465, UNITED STATES",MARIELLEN CARLSON,Active
"CARLSON CATTLE CO., LLC",603 250 345,WA LIMITED LIABILITY COMPANY,"3616 MORSE MERRYMAN RD SE, OLYMPIA, WA, 98501, UNITED STATES","DAVIES PEARSON, P.C.",Active
"CARLSON CHIROPRACTIC CENTER, P.C.",601 728 694,WA PROFESSIONAL SERVICE CORPORATION,"1330 LAWRENCE ST, PORT TOWNSEND, WA, 98368-6555, UNITED STATES",MELISSA CARLSON-MICHAELS,Active
"CARLSON CHIROPRACTIC CLINIC, P.S.",000 018 310,WA PROFESSIONAL SERVICE CORPORATION,,ELMER J CARLSON,Inactive
CARLSON COMMERCIAL LLC,604 212 488,WA LIMITED LIABILITY COMPANY,"7944 68TH LOOP SE, OLYMPIA, WA, 98513-5223, UNITED STATES",DALE CARLSON,Active
CARLSON COMMERCIAL SERVICES INC,603 078 357,WA PROFIT CORPORATION,"499 ROCK ISLAND RD, E WENATCHEE, WA, 98802-5379, UNITED STATES",CARLSON COMMERCIAL SERVICES INC,Active
"CARLSON COMPANIES LEASING,INC.",601 422 033,WA PROFIT CORPORATION,,F PAUL CARLSON,Inactive
CARLSON COMPANIES LLC,604 222 027,WA LIMITED LIABILITY COMPANY,"1707 31ST STREET CT NW, GIG HARBOR, WA, 98335-7948, UNITED STATES",KEITH CARLSON,Administratively Dissolved
CARLSON CONCRETE LLC,603 476 078,FOREIGN LIMITED LIABILITY COMPANY,"PO BOX 956, STANFIELD, OR, 97875, UNITED STATES",BRITNI CARLSON,Terminated
CARLSON CONSTRUCTION L.L.C. DBA 3-SEAS,601 908 018,FOREIGN LIMITED LIABILITY COMPANY,"1700 SUMMER HILLS CT., POST FALLS, ID, 83854",SHERRA CARLSON,Terminated
"CARLSON CONSTRUCTION MANAGEMENT, LLC",603 287 692,WA LIMITED LIABILITY COMPANY,"3340 CHARLTON ROAD, ELLENSBURG, WA, 98926, UNITED STATES",RODNEY CARLSON,Active
"CARLSON CONSTRUCTION SERVICES, LLC",603 187 768,WA LIMITED LIABILITY COMPANY,"15324 NE 65TH CT, REDMOND, WA, 98052-4728, UNITED STATES",REED A CARLSON,Active
"CARLSON CONSTRUCTION, INC.",601 879 220,WA PROFIT CORPORATION,"15768 POLSON RD, MOUNT VERNON, WA, 98273-7142, UNITED STATES",LAWRENCE A PIRKLE,Active
"CARLSON CONSULTANTS SE, LLC",601 995 480,WA LIMITED LIABILITY COMPANY,,F PAUL CARLSON,Inactive
"CARLSON CONSULTANTS, LLC",601 956 156,WA LIMITED LIABILITY COMPANY,"11427 GRAVELLY LAKE DR SW, LAKEWOOD, WA, 98499, UNITED STATES",F PAUL CARLSON,Administratively Dissolved
CARLSON CONSULTING LLC,603 582 086,WA LIMITED LIABILITY COMPANY,"1905 R ST NE, AUBURN, WA, 98002, UNITED STATES",ANNA CARLSON,Administratively Dissolved
CARLSON CONTRACTING SERVICES LLC,603 242 112,WA LIMITED LIABILITY COMPANY,"9710 SW 281ST ST, VASHON, WA, 98070-8650, UNITED STATES",JON CARLSON,Delinquent
CARLSON COUNTRY LLC,602 959 993,WA LIMITED LIABILITY COMPANY,"1932 NE 179TH ST, RIDGEFIELD, WA, 98642, UNITED STATES",JAMES CARLSON,Administratively Dissolved
CARLSON COWS LLC,603 474 633,WA LIMITED LIABILITY COMPANY,"2745 B CEDONIA ADDY RD, ADDY, WA, 99101, UNITED STATES",NATHAN A CARLSON,Administratively Dissolved
CARLSON CUSTOM CONCRETE COMPANY,602 838 401,WA PROFIT CORPORATION,"10603 NW 22ND AVE, VANCOUVER, WA, 98685, UNITED STATES",LUKE CARLSON,Administratively Dissolved
CARLSON CUSTOM SUPPLY INC,602 163 224,FOREIGN PROFIT CORPORATION,,MICKAEL BURKE,Terminated
CARLSON DAY CARE SERVICES INC.,603 174 073,WA PROFIT CORPORATION,"1851 138TH PL SE, BELLEVUE, WA, 98005-4023, UNITED STATES",ODILIA CARLSON,Active
"CARLSON DENTAL, INC.",600 413 036,WA PROFIT CORPORATION,,DEBBI L CARLSON,Inactive
CARLSON DEVELOPMENT COMPANY L.L.C.,602 601 057,WA LIMITED LIABILITY COMPANY,"994 ADELIA, BLAINE, WA, 98230, UNITED STATES",GARY BAILEY,Inactive
CARLSON DEVELOPMENT COMPANY LLP,602 615 017,WA LIMITED LIABILITY PARTNERSHIP,"994 ADELIA ST, BLAINE, WA, 98230, UNITED STATES",DAVID J CARLSON,Delinquent
"CARLSON DISTRIBUTING, INC.",600 408 747,WA PROFIT CORPORATION,,ANDREW C BRAFF,Inactive
"CARLSON ELECTRIC, LLC",602 677 896,WA LIMITED LIABILITY COMPANY,"16716 SARGENT RD SW, ROCHESTER, WA, 98579-8541, UNITED STATES",NANCY J CARLSON,Active
"CARLSON ENGINEERING, LLC",603 132 470,WA LIMITED LIABILITY COMPANY,"315 W SUMNER AVE, SPOKANE, WA, 99204, UNITED STATES",DUANE CARLSON,Administratively Dissolved
CARLSON ENTERPRISES L.L.C.,603 076 121,WA LIMITED LIABILITY COMPANY,"4975 CARLSON LN, PORT ORCHARD, WA, 98367, UNITED STATES",SCOTT CARLSON,Administratively Dissolved
CARLSON ENTERPRISES LIMITED LLC,604 129 303,WA LIMITED LIABILITY COMPANY,"3875 STATE HIGHWAY 3 W, BREMERTON, WA, 98312, UNITED STATES",SCOTT CARLSON,Active
"CARLSON ENTERPRISES, INC.",601 613 942,WA PROFIT CORPORATION,,,Inactive
"CARLSON ENTERPRISES, INC.",602 552 623,WA PROFIT CORPORATION,"15206 N COLUMBUS ST, SPOKANE, WA, 99208, UNITED STATES",DANIEL R CARLSON,Inactive
"CARLSON ENVIRONMENTAL CONSULTANTS, PC",603 287 647,FOREIGN PROFESSIONAL SERVICE CORPORATION,"305 S MAIN ST, MONROE, NC, 28112, UNITED STATES",LINDSEY E KENNELLY,Active
CARLSON EVERGREEN L.L.C.,601 837 806,WA LIMITED LIABILITY COMPANY,,STANLEY C CARLSON,Administratively Dissolved
CARLSON EYE ASSOCIATES INC PS,603 541 851,WA PROFESSIONAL SERVICE CORPORATION,"65 W WHIDBEY AVE APT A101, OAK HARBOR, WA, 98277, UNITED STATES",JOHN  CARLSON,Active
CARLSON FAMILY ENTERPRISES LLC,604 302 472,WA LIMITED LIABILITY COMPANY,"6307 S TERRE VISTA ST, SPOKANE, WA, 99224-7009, UNITED STATES",CHAD CARLSON,Administratively Dissolved
CARLSON FAMILY GROUP LLC,601 798 560,WA LIMITED LIABILITY COMPANY,,TAMERA ANN WILEN,Administratively Dissolved
"CARLSON FAMILY HOLDING COMPANY, LLC",602 859 992,WA LIMITED LIABILITY COMPANY,"1790 WARM SPRINGS DR, WENATCHEE, WA, 98801, UNITED STATES",SUSAN G THOMAS,Active
CARLSON FAMILY INVESTMENT LLC,602 701 512,WA LIMITED LIABILITY COMPANY,"4820 FOXHALL DRIVE NE, OLYMPIA, WA, 98516, UNITED STATES",F PAUL CARLSON,Administratively Dissolved
"CARLSON FAMILY INVESTMENT PROPERTY, LLC",602 722 882,WA LIMITED LIABILITY COMPANY,"22304 STATE ROUTE 9, MOUNT VERNON, WA, 98274-8068, UNITED STATES",AFRED N CARLSON,Active
CARLSON FAMILY LIMITED PARTNERSHIP,602 038 237,WA LIMITED PARTNERSHIP,"1009 WESTERN AVENUE, UNIT 1109, SEATTLE, WA, 98104, UNITED STATES",C KENT CARLSON,Active
"CARLSON FAMILY PROPERTIES, L.L.C.",601 964 103,WA LIMITED LIABILITY COMPANY,"5822 48TH CT NW, OLYMPIA, WA, 98502, UNITED STATES",DONNA L MONDA,Active
CARLSON FAMILY PROPERTIES. LLC,604 070 133,WA LIMITED LIABILITY COMPANY,"9634 HUNTER POINT RD NW, OLYMPIA, WA, 98502-9768, UNITED STATES",KELLI PRESNELL,Active
"CARLSON FARM I, LLC",602 527 273,WA LIMITED LIABILITY COMPANY,"6613 S CREEKSTONE ST, SPOKANE, WA, 99224-8807, UNITED STATES","FPS CORPORATE SERVICES, INC.",Active
CARLSON FARMS L.L.C.,602 996 012,WA LIMITED LIABILITY COMPANY,"355 WILLIAMS LK RD, COLVILLE, WA, 99114, UNITED STATES",ELFRIEDA R CARLSON,Active
CARLSON FARMS LIMITED PARTNERSHIP,601 585 163,WA LIMITED PARTNERSHIP,,LLOYD E CARLSON,Inactive
"CARLSON FINANCIAL ADVISORY, LLC",603 552 200,WA LIMITED LIABILITY COMPANY,"23403 E. MISSION AVE., SUITE 200F, LIBERTY LAKE, WA, 99019, UNITED STATES",TODD CARLSON,Delinquent
"CARLSON FORMETEC, INC.",602 025 283,WA PROFIT CORPORATION,,PAUL E BRAIN,Inactive
"CARLSON FRUIT SALES, INC.",601 282 926,WA PROFIT CORPORATION,,H DAVID CARLSON,Inactive
"CARLSON FUNK & ASSOCIATES, INC.",601 558 031,WA PROFIT CORPORATION,,CAROL CARLSON FUNK,Inactive
CARLSON GLOBEL LLC,603 401 316,WA LIMITED LIABILITY COMPANY,"18420-64TH AVE NE, KENMORE, WA, 98028, UNITED STATES",RONALD CARLSON,Administratively Dissolved
"CARLSON GROUP LEASING, LLC",601 995 482,WA LIMITED LIABILITY COMPANY,,F PAUL CARLSON,Inactive
"CARLSON GROUP SECURITIES, LLC",601 995 483,WA LIMITED LIABILITY COMPANY,,F PAUL CARLSON,Inactive
"CARLSON HITZ INDUSTRIES, INC.",603 354 601,WA PROFIT CORPORATION,"2200 RIMLAND DR STE 115, BELLINGHAM, WA, 98226, UNITED STATES",GREGORY E THULIN,Administratively Dissolved
