Business Name,Business ID,Business Type,Principal Business Office Address,Registered Agent Name,Fiscal Year Month,Status
CHUBB & SON INC.,132966,Foreign Name Registration,NONE,NONE,,Expired
CHUBB & SON INC.,343679,Foreign Profit Corporation,"436 WALNUT STREET, PHILADELPHIA, PA, 19106, USA",C T CORPORATION SYSTEM,12,Active
"CHUBB & SON, INC.",133140,Foreign Name Registration,"55 WATER STREET, 28TH FL, NEW YORK, NY, 10041, USA",NONE,,Expired
"CHUBB & SON, INC.",144953,Foreign Name Registration,"55 WATER ST, 28TH FL, NEW YORK, NY, 10041, USA",NONE,,Expired
"CHUCK JOHNSON BRATTLEBORO, LLC",22734,Domestic Limited Liability Company,"850 MARTIN LN, SEBASTOPOL, CA, 95472, USA",C NICHOLAS BURKE,12,Inactive
"CHUCK JOHNSON WEST STREET, LLC",4284,Domestic Limited Liability Company,"80 WEST STREET, RUTLAND, VT, 05701, USA",CHRISTOPHER C FUCCI,12,Inactive
CHURCHILL + SONS CONSTRUCTION,276252,Trade Name,NONE,NONE,,Inactive
CHURCHILL+SONS CONSTRUCTION LLC,304548,Domestic Limited Liability Company,"1608 churchill rd, Cabot, VT, 05647, USA",jeremy churchill,12,Terminated
"CICCONE & SONS, INC.",107258,Domestic Profit Corporation,"177 Woodstock Ave., Rutland, VT, 05701, USA",RONALD E CICCONE,12,Active
"CITICORP PERSON-PERSON FINANCIAL CENTER, INC.(MERGED 12/86)",49737,Foreign Profit Corporation,"1209 ORANGE STREET, WILMINGTON, DE, 19801, USA",C T CORPORATION SYSTEM,12,Withdrawn
"CITIZENS ENERGY PERSONNEL COMPANY, LLC",6929,Foreign Limited Liability Company,"THREE HIGH RIDGE PARK, STAMFORD, CT, 06905, USA",C T CORPORATION SYSTEM,12,Cancelled
"CJ & SONS, INC.",102373,Domestic Profit Corporation,"1102 KIPLING ROAD, DUMMERSTON, VT, 05301, USA",,12,Dissolved
CJ'S STONE & MASONRY LLC,32106,Domestic Limited Liability Company,"176 SILVER LANE, VERNON, VT, 05354, USA",ANDREA FREEMAN,12,Inactive
CLARENCE GOULD & SONS WELL DRILLING,233220,Trade Name,"1704 VT RTE 133, PAWLET, VT, 05761, USA",Rebecca L Gould,,Expired
CLARENCE GOULD & SONS WELL DRILLING,319474,Trade Name,"1704 Vt Rt 133, Pawlet, VT, 05761, USA",Rebecca L Gould,,Active
"CLARISOND, INC.",283796,Foreign Profit Corporation,"35 Railroad Row, Suite 101, c/o GMEDC, WHITE RVR JCT, VT, 05001, USA",LAURA RAY,12,Withdrawn
CLARK & SONS,205612,Trade Name,"22 PINE STREET, BRISTOL, VT, 05443, USA",NONE,,Expired
"CLARK & SONS REAL ESTATE AND RENTALS, LLC",36963,Domestic Limited Liability Company,"22 PINE STREET, BRISTOL, VT, 05443, USA",SILAS CLARK,12,Terminated
CLARK & SONS SELF STORAGE,238479,Trade Name,"26 UPPER MEEHAN RD, BRISTOL, VT, 05443, USA",NONE,,Inactive
CLARK AND SONS CARPENTRY,210394,Trade Name,"RR 1, BOX 35, POWNAL, VT, 05261, USA",NONE,,Inactive
"CLARK AND SONS, LLC",36962,Domestic Limited Liability Company,"22 PINE STREET, BRISTOL, VT, 05443, USA",SILAS CLARK,12,Terminated
"CLARK PIERSON, LLC",361602,Domestic Limited Liability Company,"664 Martindale Road, Shelburne, VT, 05482, USA",Clark Pierson,12,Active
"CLARK, RICHARDSON AND BISKUP CONSULTING ENGINEERS, INC.",74325,Foreign Profit Corporation,"1251 NW Briarcliff Parkway, Suite 500, Kansas City, MO, 64116, USA",C T CORPORATION SYSTEM,12,Active
"CLARK-MORTENSON AGENCY, INC.",80224,Foreign Profit Corporation,"80 Flat St. Suite 105, BRATTLEBORO, VT, 05301, USA",JOHN SMITH,7,Active
"CLARKE AND SAMPSON, INC.",79172,Foreign Profit Corporation,"228 S. WASHINGTON ST, ALEXANDRIA, VA, 22314, USA",Dinse P.C.,12,Inactive
CLARKSON CONCEPTS LLC,3930,Domestic Limited Liability Company,"270 LAWRENCE HILL ROAD, WESTON, VT, 05161, USA",SCOTT CLARKSON,12,Inactive
"CLARKSON MANUFACTURING, INC.",129608,Domestic Profit Corporation,"132 VERMONT ROUTE 30, WELLS, VT, 05774, USA","ROBERT B. WILLIAMS, ESQ.",12,Dissolved
CLASSROOMS ON WHEELS,175923,Trade Name,"32 MAIN STREET, BRISTOL, VT, 05443, USA",NONE,,Inactive
CLAUSON ENTERPRISES LLC,354649,Domestic Limited Liability Company,"119 MainStreet, Brattleboro, VT, 05301, USA",Elizabeth J. Clauson,12,Active
"CLAUSON, STRUCKHOFF & KELLY",162429,Trade Name,"GREENSBORO RD., HANOVER, NH, 03755, USA",WILLIAM DONAHUE,,Inactive
"CLAWSON LIMITED, FIREARMS",204083,Trade Name,"160 BURGESS RD., BENNINGTON, VT, 05201, USA",NONE,,Inactive
CLAYTON AND SONS ROOFING,236485,Trade Name,"934 PLEASANT VALLEY, BELLOWS FALLS, VT, 05101, USA",NONE,,Inactive
CLAYTON CORROW AND SON TRUCKING,355980,Trade Name,"279 east wind drive, waterbury center, VT, 05677 - 8489, USA",clayton corrow,,Active
"CLAYTON G. WOODBURY & SON, INC.",54652,Foreign Profit Corporation,"679 GLENS STREET, GLENS FALLS, NY, 12801, USA",WOODBURY LUMBER CORP,11,Inactive
CLEMENT/THOMPSON,175014,Trade Name,"186 COLLEGE STREET, BURLINGTON, VT, 05401, USA",NONE,,Inactive
"CLEMENTS & SONS, INC.",120287,Domestic Profit Corporation,"127 MAIN STREET, 2D, BRATTLEBORO, VT, 05301, USA",MARK L ZWICKER PC,12,Active
CLIFFORD SWENSON BUSINESS SERVICES,275546,Trade Name,"1716 MAPLE HILL RD, BARTON, VT, 05822, USA",NONE,,Expired
CLIFFORD W. JOHNSON CONSULTING,137065,Name Reservation,"PO BOX 1392, STOWE, VT, 05672, USA",NONE,,Expired
CLIFFORD W. JOHNSON CONSULTING,251187,Trade Name,"75 ATWOOD LANE, STOWE, VT, 05672, USA",CLIFFORD W. JOHNSON,,Inactive
CLIFTON GUNDERSON LLP,39471,Foreign Limited Liability Partnership,"301 SW ADAMS STREET, PEORIA, IL, 61602, USA",CORPORATION SERVICE COMPANY,,Withdrawn
CLIFTON R. JOHNSON CORPORATION,51248,Foreign Profit Corporation,"164 WESTERN AVENUE, W SPRINGFIELD, MA, 01089, USA",WALTER ANDERSON,9,Inactive
CLIFTONLARSONALLEN LLP,39936,Foreign Limited Liability Partnership,"220 S 6th St, Ste 300, Minneapolis, MN, 55402, USA",C T CORPORATION SYSTEM,,Active
"CLIMATE ECONOMY ACTION CENTER OF ADDISON COUNTY, INC.",354210,Domestic Non-profit Corporation,"122 Green Mountain Place, Middlebury, VT, 05753, USA",Steven Maier,,Active
CLINT ATKINSON ART AND DESIGN,210791,Trade Name,"BRATTLEBORO, VT, 05301, USA",NONE,,Inactive
"CLOVIS ONCOLOGY, INC.",360049,Foreign Profit Corporation,"5500 Flatiron Pkwy, Suite 100, Boulder, CO, 80301, USA",C T CORPORATION SYSTEM,12,Active
CLYDE HOWE & SON,158884,Trade Name,"BURGESS ROAD, BENNINGTON, VT, 05201, USA",NONE,,Inactive
"CLYDE R. DAVIDSON, INC.",46948,Domestic Profit Corporation,"S RYEGATE, VT, 05069, USA",MURIEL M. DAVIDSON,12,Inactive
COBB AND SON CONSTRUCTION LLC,11816,Domestic Limited Liability Company,"434 WEST ROAD, Vernon, VT, 05354, USA",DEBORAH FANTINI,12,Active
"COBURN/PETERSON MOTOR CARRIER SERVICES, INC.",116843,Domestic Profit Corporation,"336 WATER TOWER CIRCLE, COLCHESTER, VT, 05446, USA",GARY A. PETERSON,10,Inactive
"CODOGNI & SON, L.L.C.",15017,Domestic Limited Liability Company,"128 EAST MAIN STREET, READSBORO, VT, 05350, USA",RICHARD P CODOGNI,12,Dissolved
COLBY & TOBIASON CUSTOM BUILDERS,231093,Trade Name,"47 CENTRAL ST., WOODSTOCK, VT, 05091, USA",NONE,,Inactive
COLBY & TOBIASON CUSTOM BUILDERS,243889,Trade Name,"RT 4 SUNSET FARM, WOODSTOCK, VT, 05091, USA",NONE,,Expired
COLBY & TOBIASON CUSTOM BUILDERS,335432,Trade Name,"21708 Maxham Meadow Way, Woodstock, VT, 05091, USA","Colby & Tobiason Custom Builders, Inc",,Active
"COLBY & TOBIASON CUSTOM BUILDERS, INC.",91226,Domestic Profit Corporation,"21708 Maxham Meadow Way, 21708 Maxham Meadow Way, Woodstock, VT, 05091, USA",ERIK TOBIASON,12,Active
COLDWELL BANKER ALL SEASONS REALTY,200158,Trade Name,"DERBY, VT, 05829, USA",NONE,,Inactive
COLDWELL BANKER CARLSON REAL ESTATE,261425,Trade Name,"25 MAIN ST, STOWE, VT, 05672, USA",NONE,,Inactive
COLDWELL BANKER CARLSON REAL ESTATE,300800,Trade Name,"91 Main Street, Stowe, VT, 05672, USA",CHRISTOPHER J. NORDLE,,Active
COLDWELL BANKER CARLSON REAL ESTATE RENTALS,180137,Trade Name,"91 Main St, STOWE, VT, 05672, USA",Margaret Smith,,Active
COLDWELL BANKER RICHARDSON ASSOCIATES,218142,Trade Name,"MAIN ST., BRADFORD, VT, 05033, USA",NONE,,Inactive
COLDWELL BANKER WATSON REALTY,264722,Trade Name,"182 WOODSTOCK AVE, RUTLAND, VT, 05701, USA",JAMES H. WATSON JR,,Expired
"COLLECTION BUREAU OF THE HUDSON VALLEY, INC.",73644,Foreign Profit Corporation,"155 NORTH PLANK RD, NEWBURGH, NY, 12550, USA",CORPORATION SERVICE COMPANY,12,Active
COLLETTE & SON CLEANING SERVICE,242323,Trade Name,"RR 3 BOX 5003, BENNINGTON, VT, 05201, USA",NONE,,Inactive
"COLLINSON FAMILY REAL ESTATE, LLC",345499,Domestic Limited Liability Company,"3604 Morrison Street NW, Washington, DC, 20015, USA",The Law Office of Matthew C. Little PLLC,12,Active
COLSON GCR2 LLC,10864,Domestic Limited Liability Company,"PO BOX 2544/114 BONNET S, MANCHESTER CTR, VT, 05255, USA",THOMAS A GREENE,12,Inactive
"COLSON PROPERTY MANAGEMENT, LLC",13684,Foreign Limited Liability Company,"PO BOX 539, 115 PAULS W, DORSET, VT, 05251 - 053 , USA",DOUGLAS F COLSON,12,Inactive
"COLUMN TECHNOLOGIES-EDISON, INC.",83813,Foreign Profit Corporation,"1400 OPUS PLACE, STE 110, DOWNERS GROVE, IL, 60515, USA",C T CORPORATION SYSTEM,12,Withdrawn
COMANDERSON & CO. LLC,331688,Domestic Limited Liability Company,"166 Rocky Rd, Fletcher, VT, 05444, USA",Paul Comegno,12,Terminated
"COMMONS ON MORETOWN MOUNTAIN, THE",211781,Trade Name,"RTE 100, WAITSFIELD, VT, 05673, USA",NONE,,Inactive
COMMUNITY ASSOCIATES OF ADDISON COUNTY,161511,Trade Name,"61 COURT STREET, MIDDLEBURY, VT, 05753, USA",NONE,,Inactive
"COMMUNITY BAPTIST CHURCH IN ADDISON, THE",41868,Domestic Non-profit Corporation,"6682 VT RTE 125, Addison, VT, 05491, USA",GORDON HALDEMAN,,Terminated
COMMUNITY HEALTH SERVICES OF ADDISON COUNTY,50091,Domestic Non-profit Corporation,"100 PORTER DRIVE, MIDDLEBURY, VT, 05753, USA",HEIDI SULIS,,Active
COMPARISONMARKET,234117,Trade Name,"29001 SOLON RD, SOLON, OH, 44139, USA",NONE,,Inactive
"COMPASS ONE, LLC",9399,Foreign Limited Liability Company,"c/o Tax Department, 2400 YORKMONT ROAD, CHARLOTTE, NC, 28217, USA",CORPORATION SERVICE COMPANY,9,Active
"COMPUTERS ON WHEELS, INC.",88904,Domestic Profit Corporation,"25 MAIN ST., POULTNEY, VT, 05764, USA",JOSEPH A. DEBONIS,11,Inactive
COMSTOCK & SON LLC,345680,Domestic Limited Liability Company,"441 Quechee Rd., Hartland, VT, 05048, USA",Joseph M.Comstock,12,Active
"CONCERTS ON THE MOUNTAIN, INC.",108604,Domestic Profit Corporation,"STRATTON, VT, 05155, USA","HARRY R. RYAN, III",12,Inactive
CONCORD AND CARSON,155257,Trade Name,"3 ROCKLAND ST, BURLINGTON, VT, 05401, USA",MARIANNA TRZECIAK,,Inactive
CONNERS PERSONNEL CONNECTIONS,200557,Trade Name,"RR 1, BOX 456-5, RICHMOND, VT, 05477, USA",NONE,,Inactive
"CONSOLIDATED EDISON COMMUNICATIONS, INC.",72334,Foreign Profit Corporation,"55 BROAD ST 22FL., NEW YORK, NY, 10004, USA",C T CORPORATION SYSTEM,12,Inactive
"CONSOLIDATED EDISON SOLUTIONS, INC.",75024,Foreign Profit Corporation,"100 SUMMIT LAKE DRIVE, SUITE 210, VALHALLA, NY, 10595, USA",CORPORATION SERVICE COMPANY,12,Active
CONSONA CORPORATION,68438,Foreign Profit Corporation,"450 E. 96TH STREET #300, INDIANAPOLIS, IN, 46240, USA","NATIONAL REGISTERED AGENTS, INC.",12,Inactive
"CONSONA CRM, INC",83743,Foreign Profit Corporation,"450 E. 96TH ST. STE. 300, INDIANAPOLIS, IN, 46240, USA","NATIONAL REGISTERED AGENTS, INC.",12,Withdrawn
CONSULTANT IN PERSONAL/PROFESSIONAL DEVELOPMENT,208598,Trade Name,"HCR 62, BOX 215, BOMOSEEN, VT, 05732, USA",NONE,,Inactive
CONSUMER COMPARISON SERVICE,133629,Name Reservation,"34 PLEASANT STREET, BARRE, VT, 05641, USA",NONE,,Expired
CONSUMER COMPARISON SERVICE,263057,Trade Name,"34 PLEASANT STREET, BARRE, VT, 05641, USA",NONE,,Inactive
"COOGAN, SWANSON & LANGE",225712,Trade Name,"149 CHERRY/POB 4573, BURLINGTON, VT, 05402, USA",NONE,,Inactive
COOKSON'S TRUCKING & EXCAVATION,258495,Trade Name,"1048 LOVELY RD, MARSHFIELD, VT, 05658, USA",GLORY BOOKKEEPING & TAX SERVICES,,Inactive
COOKSON'S TRUCKING AND TRASH HAULING,224567,Trade Name,"1048 LOVELY RD, MARSHFIELD, VT, 05658, USA",NONE,,Inactive
"COOKSON'S TRUCKING, INC.",125398,Domestic Profit Corporation,"1048 LOVELY RD, MARSHFIELD, VT, 05658, USA",DENICE K. BROWN LLC D/B/A GLORY BOO,12,Inactive
COOKSONS TRUCKING LLC,352743,Domestic Limited Liability Company,"1048 Lovely Road, Marshfield, VT, 05658, USA",John L. Cookson,12,Active
COOLEY & SON PAVING CORPORATION,98983,Domestic Profit Corporation,"RR 1, BOX 9979, BARRE, VT, 05641, USA",JOHN F. NICHOLS,12,Inactive
"COOPERATIVE FARM PERSONNEL SERVICE, INC.",41956,Domestic Non-profit Corporation,NONE,HAZEL HASKINS,,Inactive
"CORBIN & SON LOGGING, INC.",116312,Domestic Profit Corporation,"2334 VT RTE 106, READING, VT, 05062, USA",RUSSELL CORBIN,12,Inactive
CORBIN AND SON,194047,Trade Name,"RFD 1, BOX 13A, READING, VT, 05062, USA",NONE,,Inactive
"CORCORAN JENNISON BUILDERS, INC.",62029,Foreign Profit Corporation,"141 WOOD ROAD, BRAINTREE, MA, 02184, USA",C T CORPORATION SYSTEM,12,Withdrawn
"CORCORAN JENNISON HOSPITALITY COMPANY, INC.",64760,Foreign Profit Corporation,"143 WOOD ROAD, BRAINTREE, MA, 02184, USA",C T CORPORATION SYSTEM,12,Withdrawn
"CORMIER CORMIER & MUNSON, P.C.",130582,Domestic Profit Corporation,"204 UNION ST, BENNINGTON, VT, 05201, USA","JAMES J. CORMIER, III",12,Dissolved
CORNER STORE AT JACKSON GORE THE,207748,Trade Name,"77 OKEMO RIDGE RD, LUDLOW, VT, 05149, USA",NONE,,Inactive
CORNER STORE AT JACKSON GORE THE,155597,Trade Name,"LUDLOW, VT, USA","NATIONAL REGISTERED AGENTS, INC.",,Cessated
CORNERSONE GRAPHICS,252776,Trade Name,"2 HARBOR ROAD EXT., SHELBURNE, VT, 05482, USA",NONE,,Inactive
CORNERSTONE MASONRY,177808,Trade Name,"10 SHADY LANE, COLCHESTER, VT, 05446, USA",NONE,,Inactive
CORSONES & CORSONES,245204,Trade Name,"1 NICKWACKETT ST, RUTLAND CITY, VT, 05701, USA",NONE,,Inactive
CORSONES & CORSONES,252122,Trade Name,"1 NICKWACKETT ST, RUTLAND, VT, 05701, USA",NONE,,Inactive
CORSONES & CORSONES,270130,Trade Name,"RUTLAND CITY, VT, USA",NONE,,Inactive
CORSONES & CORSONES,334837,Trade Name,"1 Nickwackett Street, Rutland, VT, 05701, USA",CHRISTOPHER CORSONES,,Active
CORSONES & HANSEN,158866,Trade Name,"1 NICKWACKETT ST, RUTLAND, VT, 05701, USA",NONE,,Inactive
CORSONES FAMILY LIMITED PARTNERSHIP THE,40480,Domestic Limited Partnership,"1 NICKWACKETT STREET, RUTLAND, VT, 05701, USA",CHRISTOPHER CORSONES,,Active
CORSONES REALTY,184838,Trade Name,"BOX 309, BRANDON, VT, 05733, USA",NONE,,Inactive
"COUNSELING SERVICE OF ADDISON COUNTY, INC.",41981,Domestic Non-profit Corporation,"89 MAIN STREET, MIDDLEBURY, VT, 05753, USA",ROBERT S THORN,,Active
COUNTRY LIVING PERSONAL CARE HOME LLC,299035,Domestic Limited Liability Company,"372 mount hunger road, Lyndonville, VT, 05851, USA",Marilyn O'Connor,12,Terminated
COUNTRY SEASON'S STORE,208952,Trade Name,"PO BOX 638, CHESTER, VT, 05143, USA",NONE,,Inactive
"COUNTRY SEASONINGS CO., INC.",87579,Domestic Profit Corporation,"PO BOX 46, BELMONT, VT, 05730, USA",JOHN DES JARDINS,7,Inactive
COUNTRYMAN'S MASONRY,167193,Trade Name,"TUNBRIDGE, VT, USA",NONE,,Expired
COURRIER CAN. U.S. LIAISON (1986) INC.,65869,Foreign Profit Corporation,"67 LINDSAY, DORVAL QUEBEC, H9P2S",CLAUDE SCHWESIG,7,Inactive
COURT THOMPSON RESTORATION,232085,Trade Name,"120 FAIRFIELD ST, ST ALBANS, VT, 05478, USA",NONE,,Inactive
COURTENAY THOMPSON & ASSOCIATES,265336,Trade Name,"10,000 N CENTRAL EXP, DALLAS, TX, 75231, USA",AGENT RESIGNED,,Inactive
CR AND SONS CONSTRUCTION,226856,Trade Name,"36 CIRCLE RD, MILTON, VT, 05468, USA",NONE,,Inactive
"CR AND SONS CONSTRUCTION, LLC",16947,Domestic Limited Liability Company,"171 KAY DRIVE, FAIRFAX, VT, 05454, USA",CRAIG T REED,12,Active
"CRABBE HUSON SECURITIES, INC.",64126,Foreign Profit Corporation,"121 SW MORRISON, PORTLAND, OR, 97204, USA",C T CORPORATION SYSTEM,12,Inactive
CRAGIN & SONS BUILDERS,159183,Trade Name,"HANSCOM EXT., E. WATERBORO, ME, 04030, USA",JAMES CRAGIN,,Inactive
CRAIG ANDERSON GUITARS,185000,Trade Name,"86 BORESTONE LANE, BURLINGTON, VT, 05401, USA",NONE,,Inactive
CRAIG HANSSON PROPERTY MAINTENANCE & MANAGEMENT CO.,117662,Domestic Profit Corporation,NONE,MELVIN B NEISNER JR PC,12,Inactive
"CRAIG LANCE JOHNSON, LTD.",106534,Domestic Profit Corporation,"2076 MCCONNELL ROAD, BRANDON, VT, 05733, USA",CRAIG L. JOHNSON,12,Inactive
"CRAIG M. FERGUSON & CO., INC.",76746,Foreign Profit Corporation,"1281 MAIN STREET, STAMFORD, CT, 06902, USA",CORPORATION SERVICE COMPANY,12,Withdrawn
"CRAZY LADIES OF BENSON, VERMONT",181205,Trade Name,"4789 ROUTE 22A, BENSON, VT, 05743, USA",NONE,,Inactive
CRESSONE LLC,6396,Domestic Limited Liability Company,"PO BOX 26557, LARNACA CYPRUS",WESLEY A MERRIAM,12,Inactive
"CRICHTON, BRANDON, JACKSON & WARD, INC.",80285,Foreign Profit Corporation,"3011 ARMORY DR. STE 250, NASHVILLE, TN, 37204, USA","3H Agent Services, Inc.",12,Active
CRIMSON BUGGY,272072,Trade Name,"RR#2, BOX 2122, RT 7, PITTSFORD, VT, 05765, USA",NONE,,Inactive
CRIMSON CLOVER DESIGNS,273481,Trade Name,"28 MECHANIC STREET, FAIR HAVEN, VT, 05743, USA",NONE,,Inactive
CRIMSON GARDEN FOODSERVICE,237625,Trade Name,"PO BOX 1581, MANCHESTER CTR, VT, 05255, USA",NONE,,Inactive
"CRIMSON GARDEN FOODSERVICE, INC.",116037,Domestic Profit Corporation,NONE,JEFFREY J. COOK,12,Inactive
CRIMSON KING MOTEL,157693,Trade Name,"49 VANASEE RD, MORRISVILLE, VT, 05661, USA",NONE,,Inactive
CRIMSON KING MOTEL,180315,Trade Name,"RT #100 SOUTH, MORRISTOWN, VT, 05661, USA",NONE,,Inactive
"CRIMSON KING MOTEL, INC.",84512,Domestic Profit Corporation,"STAR RT BOX 260, MORRISVILLE, VT, 05661, USA",GEORGE STEARNS,3,Dissolved
CRIMSON LANDSCAPING DESIGNERS,182967,Trade Name,"29 PORTERS PT. RD., COLCHESTER, VT, 05446, USA",NONE,,Inactive
CRIMSON MAPLE ENTERPRISES,239210,Trade Name,"RFD BOX 169, DANBY, VT, 05739, USA",NONE,,Expired
"CRIMSON PHOENIX, LLC",21416,Domestic Limited Liability Company,"346 SHELBURNE ROAD, BURLINGTON, VT, 05401, USA",FRED V PEET ESQ,12,Active
CRIMSON POPPY FLOWER SHOP LLC,366355,Domestic Limited Liability Company,"54 Bridge St, Richmond, VT, 05477, USA",REGISTERED AGENTS INC.,12,Hold
CRIMSON POPPY FLOWER SHOPPE THE,222499,Trade Name,"PO BOX 587, RICHMOND, VT, 05477, USA",NONE,,Expired
CRIMSON RESIDENTIAL ASSETS CORP.,292129,Foreign Profit Corporation,"350 PARK AVENUE, 20TH FLOOR, NEW YORK, NY, 10022, USA",CORPORATION SERVICE COMPANY,12,Active
"CRIMSON SKY SALES, INC.",129249,Domestic Profit Corporation,"146 MAIN ST., LUDLOW, VT, 05149, USA",CHRISTINA GRAVES,12,Inactive
"CRIMSON TECH, INC.",75995,Foreign Profit Corporation,"33 UPTON DRIVE, WILMINGTON, MA, 01887, USA",C T CORPORATION SYSTEM,12,Inactive
CRIMSON WOODS,184355,Trade Name,"792 BEANVILLE RD, RANDOLPH, VT, 05060, USA",NONE,,Inactive
"CRIMSON, INC.",64969,Foreign Profit Corporation,"100 CAMBRIDGPARK DRIVE, CAMBRIDGE, MA, 02140, USA",C T CORPORATION SYSTEM,12,Inactive
CROSBY HOWE & SON,189784,Trade Name,"677 MIDDLE POWNAL RD, BENNINGTON, VT, 05201, USA",NONE,,Inactive
CROSS MASONRY & STONEWORK,150345,Trade Name,"307 GROVE STREET, BENNINGTON, VT, 05201, USA",NONE,,Inactive
CROWNSON'S PEWTERWARE,239735,Trade Name,"PO BOX 626, BELLOWS FALLS, VT, 05101, USA",NONE,,Inactive
CRUM AND FORSTER PERSONAL INSURANCE,194159,Trade Name,"299 MADISON AVENUE, MORRISTOWN, NJ, 07960, USA",UNITED STATES CORPORATION COMPANY,,Inactive
"CRYSTAL A. EMERSON, LLC",6746,Domestic Limited Liability Company,"36 LEDGE DRIVE, BARRE, VT, 05641, USA",CRYSTAL A. EMERSON,12,Inactive
"CS & SONS LOGGING, LLC",305664,Domestic Limited Liability Company,"235 KENDRICKS CORNER ROAD, WEATHERSFIELD, VT, 05151, USA",CRAIG MARTIN SMITH,12,Active
"CUHACI & PETERSON, ARCHITECTS, ENGINEERS, PLANNERS, INC.",313214,Foreign Profit Corporation,"1925 Prospect Avenue, Orlando, FL, 32814, USA",COGENCY GLOBAL INC.,12,Active
"CUHACI & PETERSON, ARCHITECTS, L.L.C.",25703,Foreign Limited Liability Company,"1925 PROSPECT AVE, ORLANDO, FL, 32814, USA","NATIONAL REGISTERED AGENTS, INC.",12,Cancelled
"CULBERTSON HOUSE, LLC",33333,Domestic Limited Liability Company,"11 CULBERTSON DR., UN #2, BRATTLEBORO, VT, 05301, USA",JEAN ANNE KIEWEL,12,Inactive
CUMMINGS & SON LAND CLEARING,266057,Trade Name,"32 UNION ST, BRANDON, VT, 05733, USA",NONE,,Inactive
"CUMMINGS & SON LAND CLEARING, INC.",126028,Domestic Profit Corporation,"325 BRONTO LANE, BRANDON, VT, 05733, USA",DOUGLAS A CUMMINGS,12,Active
CURRAN & SON AUTO REPAIR,216013,Trade Name,"FRENCH HILL RD., JOHNSON, VT, 05656, USA",NONE,,Inactive
"CURRAN & SONS TRANSPORT, LLC",307,Domestic Limited Liability Company,"PO BOX 216, JOHNSON, VT, 05656, USA",DARYL CURRAN,12,Inactive
CURRIE AND SON'S TRUCKING,300866,Trade Name,"280 CRAWFORD HILL RD, WEST CHARLESTON, VT, 05872, USA",ZACHARY CURRIE,,Cessated
"CURTIN MATHESON SCIENTIFIC, INC.",62912,Foreign Profit Corporation,"9999VETERANS MEMORIAL DR, HOUSTON, TX, 77038, USA",UNITED STATES CORPORATION COMPANY,12,Withdrawn
CURTIS MASONRY,187276,Trade Name,"54 Raymond Ave., 54 Raymond Ave., Newport, VT, 05855, USA",CLARK W. CURTIS,,Active
CURTIS SWENSON STUDIOS,166099,Trade Name,"STOWE, VT, 05672, USA",NONE,,Inactive
"CUSHING & SONS, INC.",51539,Foreign Profit Corporation,"BOX 668, WALPOLE, NH, 03608, USA",WILLIAM SMITH,2,Active
CUSSON CORPORATION,110230,Domestic Profit Corporation,"PO BOX 86, HYDE PARK, VT, 05655, USA",ALLEN CUSSON,12,Inactive
CUSSON L.L.C.,303693,Domestic Limited Liability Company,"432 Golf Course Road, Warren, VT, 05674, USA",DONNA CUSSON,12,Active
CUSSON'S TAX PREP & ACCOUNTING LLC,284651,Domestic Limited Liability Company,"540 RTE 15E, MORRISVILLE, VT, 05661, USA",ALLEN CUSSON,12,Active
CUTS ON MAIN,309850,Trade Name,"328 S main st, Richford, VT, 05476, USA",Dakota Alexander,,Active
CV HARDSCAPES & MASONRY SUPPLY,299357,Trade Name,"3062 Williston Road, South Burlington, VT, 05403, USA",AGENT RESIGNED,,Terminated
CVOEO ADDISON COMMUNITY FOOD SHELF,290728,Trade Name,"255 South Champlain Street, Burlington, VT, 05401, USA",Jan F Demers,,Active
"CYCLE ADDISON COUNTY, INC.",283470,Domestic Non-profit Corporation,"93 Court Street, Middlebury, VT, 05753, USA",EBENEZER PUNDERSON,,Dissolved
CYCLISTS ON PATROL,173636,Trade Name,"823 SNIPE IRELAND RD, RICHMOND, VT, 05477, USA",Jared Katz,,Expired
CYCLISTS ON PATROL,221011,Trade Name,"100 SNIPE IRELAND RD, RICHMOND, VT, 05477, USA",NONE,,Inactive
CYNTHIA PARSONS MEMORIAL FOUNDATION,144172,Name Reservation,"PO BOX 499, CHESTER, VT, 05143, USA",NONE,,Expired
"CYNTHIA PARSONS MEMORIAL FOUNDATION, INC.",91863,Domestic Non-profit Corporation,"1100 GULF SHORE BLVD, N. NAPLES, FL, 34102, USA","WILLIAM E DAKIN, P.A.",,Terminated
D & E PARSONS TRUCKING,240055,Trade Name,"RUTLAND, VT, USA",NONE,,Inactive
"D & E PARSONS TRUCKING, INC.",117882,Domestic Profit Corporation,"RTE 140, WALLINGFORD, VT, 05472, USA",ELLRAINA PARSONS,12,Inactive
D & R AND SONS AUTO REPAIR,220709,Trade Name,"185 RTE 123, WESTMINSTER STATION, VT, 05159, USA",Dale Felion,,Active
"D & R AND SONS AUTO REPAIR, LLC",795,Domestic Limited Liability Company,"185 RTE 123, WESTMINSTER ST, VT, 05159, USA",JOYCE H PRATT,12,Active
"D R ROBINSON, LLC",23062,Domestic Limited Liability Company,"2702 CREPEAULT HILL ROAD, ST JOHNSBURY, VT, 05819, USA",DONNA ROBINSON,12,Active
D S MASONRY,285529,Trade Name,"51 BOYCE AVE, POULTNEY, VT, 05764, USA",NONE,,Cessated
