Business Name,Control Number,Business Type,Principal Office Address,Registered / Designated Agent Name,Status
"Daughters of Zelophehad enterprise,LLC",14099967,Domestic Limited Liability Company,"412 Ashley Lane, Loganville , USA",Karim Woods,Admin. Dissolved
DAUGHTERS OF ZELOPHEHAD ENTERPRISE INC.,13399881,Name Reservation,NONE,NONE,Expired
"DAUGHTERS OF ZION COVENANT MINISTRIES, INC.",466404,Domestic Nonprofit Corporation,"P.O. BOX 831288, STONE MOUNTAIN, GA, 30083, USA",CORA D. THORNTON,Admin. Dissolved
"DAUGHTERS OF ZION INTERNATIONAL MINISTRIES, INC.",141919,Domestic Nonprofit Corporation,"676 Bralorne Drive, Stone Mountain, GA, 30087, USA",Jean Randall,Admin. Dissolved
Daughters of Zion LLC,19025784,Domestic Limited Liability Company,"11101 Leafstone Dr., Covington, GA, 30014, USA",Nijah Belote,Active/Compliance
Daughters of Zion Mentoring for girls LLC,14014386,Domestic Limited Liability Company,"1478 Eastmont Drive, Conyers, GA, 30012",Tenisha Y Bibbs,Admin. Dissolved
DAUGHTERS OF ZION MINISTRIES FOR INDIA INCORPORATED,11026444,Domestic Nonprofit Corporation,"3936 DEVONSHIRE DRIVE, MARIETTA, GA, 30066, USA","MUKHERJEE, LETITIA",Active/Compliance
"Daughters of Zion Publishing, L.L.C.",13400186,Domestic Limited Liability Company,"3355 Lenox Road, Suite 750, Atlanta, GA, 30326",Karma Denise Walton,Admin. Dissolved
"DAUGHTERS OF ZION STREET MINISTRIES, INC.",7020929,Domestic Nonprofit Corporation,"3214 Ridge Brook Trail, Duluth, GA, 30096",NONE,Admin. Dissolved
"DAUGHTERS OF ZION TRANSITIONAL HOUSING, INC.",660416,Domestic Nonprofit Corporation,"PO Box 3214, 3350 River Wood Pkwy, Suite 1900, Atlanta, GA, 30339, USA",Janet M Mack,Admin. Dissolved
"DAUGHTERS OF ZION, INC.",250434,Domestic Nonprofit Corporation,"790 SUMMERSET PL, MONROE, GA, 30656-4154, USA",DEBRA TAYLOR,Dissolved
Daughters Redefined,,Name Reservation,NONE,NONE,Expired
"Daughters Redefined, LLC",17056268,Domestic Limited Liability Company,"1845 Meadowchase Court, Snellville, GA, 30078, USA",Lakeila Meadows,Active/Compliance
"DAUGHTERS TO DIVAS, LLC",12046955,Domestic Limited Liability Company,"708 Woodberry Place, Decatur, GA, 30034, USA","Payne, Ebony Latoya",Admin. Dissolved
"DAUGHTERS VINTAGE, LLC",11079545,Domestic Limited Liability Company,"5627 Church Street, Flowery Branch, GA, 30542, USA","O'connor, Thomas",Active/Compliance
DAUGHTERS VISION COMMUNITY ORGANIZATION,,Name Reservation,NONE,NONE,Expired
DAUGHTERS WITHOUT A MOTHER Inc.,13386351,Domestic Nonprofit Corporation,"1959 LONGDALE DRIVE, DECATUR, GA, 30032","United States Corporation Agents, Inc.",Admin. Dissolved
DAUGHTERS' OF THE CONFEDERACY,0C00246,Domestic Nonprofit Corporation,"PO BOX 1468, RINCON, GA, 31326",NONE,Admin. Dissolved
"DAUGHTERS, L.L.C.",K528299,Domestic Limited Liability Company,"445 Bishop Street, Suite 200, Atlanta, GA, 30318, USA",MURRAY REAVIS,Active/Compliance
Daughters1st Inc,15005028,Domestic Nonprofit Corporation,"P. O. Box 82947, Conyers, GA, 30013, USA",Zaneta Bailey,Admin. Dissolved
DAUGHTERS4HIRE LLC,12000176,Domestic Limited Liability Company,"3605 Sandy Plains Rd , Suite 240-209, Marietta, GA, 30066, USA","Sundvik, Patricia",Admin. Dissolved
DAUGHTERY CORPORATION,H204797,Domestic Profit Corporation,"3434 ROSS DR, EAST POINT, GA, 30344-5618, USA","JR., DAUGHERTY E. W.",Admin. Dissolved
Daughtery Dynasty Enterprises LLC,14059753,Name Reservation,NONE,NONE,Redeemed
Daughtery Dynasty Enterprises LLC,14062250,Domestic Limited Liability Company,"8202 Wiles Rd unit 122, Coral Springs, FL, 33067",Sandy Mccormick,Admin. Dissolved
Daughterz of Zion Inc,17107963,Domestic Nonprofit Corporation,"704 Mountain Springs Dr, Stone Mountain, GA, 30083, USA",LaTeehah Linton,Active/Compliance
"David Daughters & Co, LLC",19063538,Domestic Limited Liability Company,"506 Roswell Street, Building 300, Marietta, GA, 30060, USA","Clarence E David, III",Active/Compliance
DAWN'S DAUGHTER,,Name Reservation,NONE,NONE,Expired
"Dawn's Daughter, Limited",16012315,Domestic Nonprofit Corporation,"1740 East 32nd Street, Savannah, GA, 31404, USA",Dawn Baker,Active/Compliance
DD's Place Inc. (Delores's Daughter's Inc.),17041520,Domestic Profit Corporation,"125 Preston Park Drive, Duluth, 30096, GEO",Danielle Canise Larkins,Active/Compliance
"Deacon's Daughter, Inc.",14004074,Domestic Profit Corporation,"3529 Springrun Dirve, Decatur, GA, 30032, USA",Suzanne Alexander,Active/Compliance
"Debbie's Daughters, LLC",19081257,Domestic Limited Liability Company,"2588 GRAYTON LOOP, VILLA RICA, GA, 30180, USA",LEIA WILLIAMS,Active/Compliance
"Deborah's Daughters,",,Name Reservation,NONE,NONE,Expired
Declaration Daughters Inc,16085828,Domestic Nonprofit Corporation,"4850 sugarloaf pkwy, Lawrenceville, GA, 30044, USA","Charles Johnson, Darnell",Active/Compliance
Deliverance Tabernacle Inc.,13471797,Domestic Nonprofit Corporation,"525 Jackson Ave., Americus, GA, 31719, USA",Tonya Cannon,Active/Compliance
"DEMING AND DAUGHTERS, LLC",7001778,Domestic Limited Liability Company,"30 CHEROKEE LANE, Ashburn, GA, 31714","Sandifer, T. Mark",Admin. Dissolved
"Dendy Daughter, LLC",18054634,Domestic Limited Liability Company,"2 W Wesley Road, NW, Unit 2, Atlanta, GA, 30305, USA",Deborah Dendy Ashendorf,Active/Compliance
"DESTINY'S DAUGHTERS OF PROMISE, INC.",8012279,Domestic Nonprofit Corporation,"P. O. BOX 801479, ACWORTH, GA, 30101, USA",LORRAINE E. THOMAS,Active/Compliance
"Developing Daughters, LLC",17111696,Domestic Limited Liability Company,"2011 Corbin Dr, Statham, GA, 30666, USA",Kenya Rakestraw,Active/Compliance
"Diary of the Dragon's Daughter, LLC",16094550,Domestic Limited Liability Company,"6096 Courtside Drive, Peachtree Corness, GA, 30092-4530, USA",BiLan Liao,Active/Compliance
"Diary to My Daughter, LLC",18138159,Domestic Limited Liability Company,"6590 Jones Road, College Park, GA, 30349, USA",Courtney Denae Harris,Active/Compliance
DINA'S DAUGHTER LIMITED CO.,18044474,Domestic Limited Liability Company,"PO BOX 250174, ATLANTA, GA, 30325, USA",LEGALINC CORPORATE SERVICES INC.,Admin. Dissolved
"Divine Dad & Daughter Properties, LLC",17082081,Domestic Limited Liability Company,"106 Mirramont Lake Dr., Woodstock, GA, 30189, USA","Stephen Glenn Divine, Mr.",Active/Compliance
"Divine Daughters Atlanta, USA. Inc",15027026,Name Reservation,NONE,NONE,Expired
Divine Daughters International INC,15042379,Name Reservation,NONE,NONE,Expired
Divine Daughters International Inc.,15043444,Domestic Nonprofit Corporation,"1160 Chapel Estates Way, Dacula, GA, 30019, USA",Uloma Edith Utah,Active/Compliance
"Divine Daughters International, Inc.",15026198,Name Reservation,NONE,NONE,Expired
"Divine Daughters of Atlanta INC, GA. USA",15042378,Name Reservation,NONE,NONE,Expired
"Divine Daughters of Atlanta INC, GA. USA",15062219,Domestic Nonprofit Corporation,"1160 Chapel Estates Way, Dacula, GA, 30019, USA",Uloma Edith Utah,Active/Compliance
DIXIE'S DAUGHTERS INC.,8026799,Domestic Profit Corporation,"7626 Rivercrest Drive, Columbus, GA, 31904","Abell, Teresa T.",Admin. Dissolved
DJ'SDAUGHTERS Limited liability company,17116009,Domestic Limited Liability Company,"1304 Lakeview Dr, Conyers, GA, 30012-4485, USA",Demeatrus Darnell Jackson,Terminated
"DONZA & DAUGHTERS, LLC",10053891,Domestic Limited Liability Company,"1475 terrell mill rd , suite 110, marietta, GA, 30067","Montgomery, Donza Key",Admin. Dissolved
Dora's Daughters LLC,19090096,Domestic Limited Liability Company,"1512 Fieldgreen Overlook, Stone Mountain, GA, 30088, USA",Natasha Faulkner,Active/Compliance
"Doris Ann's Daughters Inc,",19019184,Domestic Nonprofit Corporation,"3699 Robindale Court, Decatur, GA, 30034, USA",Doris Ann's Daughters,Active/Compliance
"DOUGLAS & DAUGHTERS, LLC",14021803,Domestic Limited Liability Company,"108 Sweet Bailey Cove, Savannah, GA, 31410, USA",Patrick F. Douglas,Active/Compliance
DOVETIQUETTE DAUGHTERS OF VIRTUE ETIQUETTE SCHOOL L.L.C.,11043407,Domestic Limited Liability Company,"P.O. Box 56138, Atlanta, GA, 30343",NONE,Admin. Dissolved
"DRAKE & DAUGHTERS, LLC",12015688,Domestic Limited Liability Company,"231 Chatuge Way, Hiawassee, GA, 30546","Stephanie W. McConnell, PC",Admin. Dissolved
DSSD Daughter Sister Stepper Dancer Ltd Company,16099939,Domestic Limited Liability Company,"5304 Panola Industrial Blvd Suite D, Decatur, GA, 30035, USA",LaTodda Wallace,Active/Compliance
DURBANS DAUGHTER'S #162 INC.,,Domestic Nonprofit Corporation,"6555 SUGARLOAF , SUITE 307, Duluth, GA, 30097, USA",NONE,Flawed/Deficient
"DUSK DAUGHTERS, INC.",502972,Domestic Profit Corporation,"2203 SPRING CREEK CIRCLE, ATLANTA, GA, 30350, USA",TAMARA PRYCE,Admin. Dissolved
"Ellas Daughter Card Collection, Inc",17053020,Domestic Profit Corporation,"636 North Ave., Unit 15B, Jonesboro, GA, 30236, USA",Laverne Ward,Admin. Dissolved
"EVE'S DAUGHTERS, INC",13466703,,",",,
EVERYBODY'S DAUGHTER LLC,10040193,Domestic Limited Liability Company,"855-Mt. Zion Rd #B03, Apt D11, Jonesboro, GA, 30236, USA",Vivian Denise Miller-Jackson,Active/Compliance
FARMER'S DAUGHTER CONTRACTING LLC,18104255,Domestic Limited Liability Company,"742 MOUNTAIN VILLAGE DR, STONE MOUNTAIN, GA, 30083, USA",MAURITA FARMER,Admin. Dissolved
"FARMER'S DAUGHTER OF DIXIE, INC.",A805746,Domestic Profit Corporation,", GA, 30303, USA",NONE,Admin. Dissolved
"FARMER'S DAUGHTER OF DIXIE, INC. (M-INVD 5/1/81)",G805746,Domestic Profit Corporation,", USA",NONE,Admin. Dissolved
Farmer's Daughter Vineyards LLC,14008920,Name Reservation,NONE,NONE,Expired
"Farmer's Daughter Vineyards, LLC",14056317,Name Reservation,NONE,NONE,Redeemed
"Farmer's Daughter Vineyards, LLC",14059526,Domestic Limited Liability Company,"109 Imperial Drive, Thomas, GA, 31792",Michael A. Strickland,Active/Compliance
"FATHER & DAUGHTER ENTERPRISES, INC.",K838737,Domestic Profit Corporation,"4040 UNIVERSITY AVE, COLUMBUS, GA, 31907-5633, USA",NONE,Admin. Dissolved
FATHER DAUGHTER DANCE CAMDEN COUNTY INC.,12051673,Domestic Nonprofit Corporation,"217 EBB TIDE CROSSING, SAINT MARYS, GA, 31558, USA","Roland, Chare",Active/Compliance
Father&Daughters Concrete + LLC,19024958,Domestic Limited Liability Company,"1511 startford st, savannah, GA, 31415, USA","LegalCorp Solutions, Inc",Active/Compliance
FATHERLESS DAUGHTERS OF AMERICA,,Name Reservation,NONE,NONE,Expired
Fatherless Daughters of America Inc.,17035816,Domestic Nonprofit Corporation,"422 Shadowbrook Circle, Springfield, GA, 31329, USA",Shaneka Nichole White,Admin. Dissolved
"FATHERS & DAUGHTERS, L.L.C.",549214,Domestic Limited Liability Company,"4341 HAMMERSTONE COURT, NORCROSS, GA, 30092, USA",GEORGE M. FOX,Admin. Dissolved
"FATHERS AND DAUGHTERS,",,Name Reservation,NONE,NONE,Expired
"FATHERS AND DAUGHTERS, LLC",16096341,Domestic Limited Liability Company,"5025 Duxford Drive SE, Smyrna, GA, 30082, USA","Jennifer Maxell, W",Active/Compliance
"FERBER AND DAUGHTERS, LLC",582491,Domestic Limited Liability Company,"P.O. BOX 756, Wrens, GA, 30833, USA","DUBE, CHRISTOPHER N.",Admin. Dissolved
"FIVE DAUGHTERS, L.L.C.",641111,Domestic Limited Liability Company,"881 Memorial DR SE , Unit 111, Atlanta, GA, 30316",NONE,Admin. Dissolved
"For My Daughters Sake, Inc.",13445911,Name Reservation,NONE,NONE,Expired
"For My Daughters' Sake, Inc.",14075559,Domestic Nonprofit Corporation,"862 Joe Findley Road, Royston, GA, 30662, USA",William Burnell,Admin. Dissolved
For Our Daughter's Foundation Inc,17100023,Domestic Nonprofit Corporation,"2400 Herodian Way SE, Suite 220, Smyrna, GA, 30080, USA",Chi T. Mathias,Admin. Dissolved
"FOUR DAUGHTER DIRECTIONALS, INC.",K911574,Domestic Profit Corporation,"KURT OAK MEADOW DR, SNELLVILLE, GA, 30078, USA",KURT GIBSON,Admin. Dissolved
FOUR S DAUGHTERS CORPORATION,K406074,Domestic Profit Corporation,"188 RIVOLI LNDG, MACON, GA, 31210-8632, USA",LILA S. PATEL,Admin. Dissolved
"FRIENDS & DAUGHTERS, LLC",7034675,Domestic Limited Liability Company,"1031 State Street , #304, Atlanta, GA, 30318","Cowan, Bethany V",Admin. Dissolved
"FUNG AND DAUGHTERS, INC.",J401410,Domestic Profit Corporation,"1115 POWDER SPRINGS RD SW STE, MARIETTA, GA, 30064-5276, USA",FUNG OMEI SANG,Admin. Dissolved
"G.L. Williams & Daughter Trucking, Inc.",16062179,Foreign Profit Corporation,"501 Rainbow Falls Road, Graniteville, SC, 29829, USA","Donald White, H.",Active/Compliance
"GENERAL JAMES JACKSON CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",36765,Domestic Nonprofit Corporation,"4603 Clayton Drive, Lake Park, GA, 31602-2817, USA",Irene Damato,Active/Compliance
"GENERAL SONS AND DAUGHTERS, INC.",11004325,Domestic Nonprofit Corporation,"390 Racetrack Rd, McDonough, GA, 30252, USA",NONE,Admin. Dissolved
"GEORGIA DIVISION UNITED DAUGHTERS OF THE CONFEDERACY, INCORPORATED",0C02142,Domestic Nonprofit Corporation,"1604 Executive Park N.E., Atlanta, GA, 30329-3115, USA","Howell, Barbara S",Active/Compliance
"GEORGIA STATE SOCIETY NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS, INC.",9022919,Domestic Nonprofit Corporation,"50 Coffey Church Rd., Crandall, GA, 30711-5164, USA","Harvey, Linda",Active/Compliance
"GETTY'S DAUGHTER, INC.",351659,Domestic Profit Corporation,"PO BOX 3078, PEACHTREE CITY, GA, 30269, USA",NONE,Admin. Dissolved
"GOD'S ANOINTED DAUGHTER PRODUCTIONS, INC.",11014258,Domestic Profit Corporation,"4330 Pasuth Lane, Conley, GA, 30288-1641, USA","UNITED STATES CORPORATION AGENTS, INC.",Active/Compliance
"Good Daughter,LLC",14031107,Domestic Limited Liability Company,"525 Willow View Way, Roswell, LA, 30075",Megan Mannino,Admin. Dissolved
"grace4ourdaughters, llc",15007242,Domestic Limited Liability Company,"4914 Waterport Way, Peachtree Corners, GA, 30096",Deborah Higginbotham,Admin. Dissolved
"grace4ourdaughters, llc",14110724,Name Reservation,NONE,NONE,Expired
Granddaughter Phoebe L.L.C,13029008,,",",,
GRANDDAUGHTER PHOEBE L.L.C,13029008,Domestic Limited Liability Company,"8070 Fair Oaks Court , Jonesboro, GA, 30236",Eric,Merged
"GREAT GREAT GRAND DAUGHTER, INC.",11067195,Domestic Nonprofit Corporation,"1107 ROCKMONT CIRCLE, Conyers, GA, 30094, USA",NONE,Admin. Dissolved
"Gunner's Daughter, LLC",16100149,Domestic Limited Liability Company,"23 Carriage Drive, Saint Simons Island, GA, 31522-5457, USA","Erin Findlay, Goodman",Active/Compliance
"Gussie's Daughter, Inc.",17122617,Domestic Profit Corporation,"100 N Lee St., Kingsland, GA, 31548, USA","UNITED STATES CORPORATION AGENTS, INC.",Dissolved
HAMILTON'S DAUGHTER L.L.C,11026207,Domestic Limited Liability Company,"6888 Smoke Ridge Dr, College Park, GA, 30349, USA","Henderson, Kimberly T",Admin. Dissolved
HAROLD'S DAUGHTER PHOTOGRAPHY L.L.C.,9076023,Domestic Limited Liability Company,"14 avery place, fort mitchell, AL, 36856, USA","Gray, Secunda",Admin. Dissolved
Harriett's Daughters,,Name Reservation,NONE,NONE,Expired
Harriett's Daughters,,Name Reservation,NONE,NONE,Expired
"HARRIETT'S DAUGHTERS, INC.",17120064,Domestic Nonprofit Corporation,"2870 Peachtree Road, P.O. Box 864, Atlanta, GA, 30305, USA",William Calvin Bomar,Active/Compliance
His Daughter Boutique LLC,17035400,Domestic Limited Liability Company,"118 Pepperdine Court, Thomasville, GA, 31757, USA",Lori L Roach,Active/Compliance
"HUCKABEE AND DAUGHTERS, L.L.C.",9069047,Domestic Limited Liability Company,"2123 Belvedere drive, Atlanta, GA, 30318","Huckabee, Ted Hurt",Admin. Dissolved
"INDEPENDENT DAUGHTERS OF BETHEL SOCIETY, INC.",0G00606,Domestic Nonprofit Corporation,"255 HOPKINS ST SW, ATLANTA, GA, 30314-2627",WILLIE LOUISE ROBINSON,Dissolved
INDEPENDENT SONS AND DAUGHTERS OF JERUSALEM SOCIETY,A604000,Domestic Nonprofit Corporation,", USA",NONE,Admin. Dissolved
INTREPID DAUGHTERS AND SONS LLC,15112703,Domestic Limited Liability Company,"487 Ansley Court NE, Atlanta, GA, 30324, USA",IVY SHOU,Admin. Dissolved
J & DAUGHTERS CLEANING SERVICES LLC,17012706,Domestic Limited Liability Company,"27 ROSEBERRY CIR, PORT WENTWORTH, GA, 31407, USA","JOHANNA FLORES, V",Admin. Dissolved
"J.L. Wilson, Jr. & Daughter, LLC",17054949,Domestic Limited Liability Company,"491 Martin Luther King Jr. Blvd., Macon, GA, 31201, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin. Dissolved
JB&DAUGHTER TRUCKING LLC,16072942,Domestic Limited Liability Company,"100 POSTMASTER DRIVE, BOX 897, MCDONOUGH, GA, 30253, USA",LEGALINC CORPORATE SERVICES INC,Active/Compliance
JE and Daughters cleaning,,Name Reservation,NONE,NONE,Redeemed
JE and Daughters cleaning LLC,19071354,Domestic Limited Liability Company,"112 Amber dr, Warner Robins, GA, 31088, USA",Johnny Green,Active/Compliance
"Jehovah's Daughters of Empowerment, Inc.",16006010,Domestic Nonprofit Corporation,"1776 Boxwood Place #137, Columbus, GA, 31906, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin. Dissolved
"JMK father son and daughter, LLC",17078441,Domestic Limited Liability Company,"11559 Holly Ln., Hampton, GA, 30228, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin. Dissolved
JOESDAUGHTER RECORDS LLC,12061444,Domestic Limited Liability Company,"201 Flora Circle, Warner Robins, GA, 31088","UNITED STATES CORPORATION AGENTS, INC.",Terminated
"JONES, SONS, AND DAUGHTERS, INC.",6109522,Domestic Profit Corporation,"PO BOX 1604, Thomasville, GA, 31799, USA",Harry T Jones,Active/Compliance
"JUDY GERMAN & DAUGHTERS CO., INC.",329716,Domestic Profit Corporation,"115 SILVER LEAF DRIVE, FAYETTEVILLE, GA, 30214",JUDITH S. GERMAN,Admin. Dissolved
"JUNKMAN'S DAUGHTER'S BROTHER, INC.",K316123,Domestic Profit Corporation,"458 E CLAYTON ST, ATHENS, GA, 30601-2701",MARK GAVRON,Admin. Dissolved
"JUST LIKE A DAUGHTER, LLC",9028275,Domestic Limited Liability Company,"2232 Eagles Nest Circle, Decatr, GA, 30035","Ryles, Sheila",Admin. Dissolved
"K DAUGHTERS GROUP, L.L.C.",7096360,Domestic Limited Liability Company,"201 Cardigan Circle, Lilburn, GA, 30047","Fox, George M",Admin. Dissolved
"KAT DAUGHTERS 3, LLC",13390080,Domestic Limited Liability Company,"356 FOREST LAKE RD., LAWRENCEVILLE, GA, 30046",KATHERINE M. MCMILLAN,Admin. Dissolved
KEMPSON & DAUGHTERS CONSTRUCTION COMPANY,K944458,Domestic Profit Corporation,"8938 WESTERN PINES DR, DOUGLASVILLE, GA, 30134-1780, USA",GREGORY D. KEMPSON,Admin. Dissolved
"L&M SONS AND DAUGHTERS ENTERPRISE, INC.",14106743,Domestic Nonprofit Corporation,"1733 Bennett Drive, McDonough, GA, 30253, USA",MICHELLE WILTSHIRE-BROWN,Active/Compliance
LAMBRIGHT DAUGHTERS AND SONS ETC INCORPORATED,10067767,Domestic Profit Corporation,"1402 Knights Trail, Stone Mountain, GA, 30083, USA","Lambright, Thomas J.",Admin. Dissolved
LAMBRIGHT DAUGHTERS AND SONS INCORPORATED,9054984,Domestic Profit Corporation,"PO BOX 362115, ATLANTA, GA, 30036, USA","LAMBRIGHT, THOMAS",Admin. Dissolved
"LaVal and Daughters Properties, LLC",17124091,Foreign Limited Liability Company,"12503 Parkton Street, Fort Washington, MD, 20744, USA",Walt Freeman,Active/Compliance
"LIKE MOTHER LIKE DAUGHTER (LMLD), LLC",329535,Domestic Limited Liability Company,"2055 SCENIC HIGHWAY, STE C, SNELLVILLE, GA, 30078, USA",BRENDA R. ANDERS,Admin. Dissolved
"LIKE MOTHER LIKE DAUGHTER BOUTIQUE, LLC",16091703,Domestic Limited Liability Company,"115-A SOUTH ELM STREET, ADEL, GA, 31620, USA",Maria Cowart,Active/Compliance
Lou's Three Daughters LLC,15043588,Name Reservation,NONE,NONE,Redeemed
Lou's Three Daughters LLC,15047110,Domestic Limited Liability Company,"524 Trotters Lane SE, Conyers, GA, 30094, USA",Eleanor Morris,Admin. Dissolved
"LOVE AND DAUGHTERS, INC.",K818494,Domestic Profit Corporation,"2825 E COLLEGE AVE, DECATUR, GA, 30030-4059, USA",IDA H. LOVE,Admin. Dissolved
"LUCIA ROSE & DAUGHTERS, LLC",7009751,Domestic Limited Liability Company,"620 Regency Forest Court, Atlanta, GA, 30342","Waisner, Monica Rose",Dissolved
"M. CARY & DAUGHTERS PLUMBING CONTRACTORS, INC.",J415095,Domestic Profit Corporation,"1370 church st, decatur, GA, 30030",MICHELLE O'KEEFFE,Active/Compliance
"M. W. SONS AND DAUGHTERS OF HAITI GRAND LODGE NO. 1, INC. U.S.A. (A.F.&A.M.)",258115,Domestic Nonprofit Corporation,"984 SOUTH DESHON ROAD, LITHONIA, GA, 30058","Pryor, Cecil",Admin. Dissolved
Mama's Daughter,,Name Reservation,NONE,NONE,Expired
Mama's Daughter LLC,17067003,Domestic Limited Liability Company,"6650 Grand Magnolia Dr, Sugar Hill, GA, 30518, USA",Elisabeth Maria Fowler,Active/Compliance
Manifested Sons and Daughters of Destiny Incorporated,16044444,Domestic Nonprofit Corporation,"2237 Tuley Drive, Douglasville, GA, 30135, USA","Brenda Harrison , Lee",Admin. Dissolved
"MANN, DAUGHTER & FAMILY, LLC",10072921,Domestic Limited Liability Company,"8300 Woodland Prairie Avenue, Las Vegas, NV, 89129, USA","THE INCOME TAX OFFICE, LLC",Flawed/Deficient
"Marco's Daughter, Inc.",18048774,Domestic Nonprofit Corporation,"4514 Chamblee Dunwoody Road, Suite 282, Dunwoody, GA, 30338, USA",Maina Dennany,Active/Compliance
Marshall's Daughters LLC,13467943,Domestic Limited Liability Company,"1731 Potomac Road, Atlanta, GA, 30338",Kishawna Pritchard,Admin. Dissolved
Marshall's Daughters LLC,13458421,Name Reservation,NONE,NONE,Redeemed
"Mary Jane's Daughter,",,Name Reservation,NONE,NONE,Redeemed
"Mary Jane's Daughter, LLC",17130707,Domestic Limited Liability Company,"3330 Cobb Pkwy, Ste 324373, Acworth, GA, 30101, USA",Lori Pruitt,Active/Compliance
Mason and Daughters Inc.,18092588,Domestic Profit Corporation,"262 Martha Avenue NE, Atlanta, GA, 30317, USA",Todd Larsen,Active/Compliance
"MD BROWN & DAUGHTERS, LLC",9050741,Domestic Limited Liability Company,"303 Deergrass Trail, Peachtree City, GA, 30269, USA","Brown, Marvin",Admin. Dissolved
"MICHAEL D. REYNOLDS & DAUGHTERS, INC.",J709568,Domestic Profit Corporation,"4710 MASSEY RD, MACON, GA, 31206-4146, USA","REYNOLDS, JEANNINE",Admin. Dissolved
"MISTER HATTER'S DAUGHTER, LLC",559949,Domestic Limited Liability Company,"6398 CHARTER WAY, LITHONIA, GA, 30058",ANDREA M. HATTER,Admin. Dissolved
"MKC DAUGHTERS OF DESTINY, INC.",507236,Domestic Nonprofit Corporation,"12 E. 41ST ST, SAVANNAH, GA, 31401, USA",MIRIAM CENTER,Admin. Dissolved
Mom & Daughter's Eco friendly Maid service LLC,14047933,Domestic Limited Liability Company,"2310 Roundup Drive, Hephzibah, GA, 30815",Cythnia Baynard,Admin. Dissolved
"Mommy and Daughter Tea Party, LLC",19041956,Domestic Limited Liability Company,"2495 Deer Springs CT, Ellenwood, GA, 30294, USA",Constana Seals,Active/Compliance
"MOON DAUGHTER ENTERPRISES, LLC",12072289,Domestic Limited Liability Company,"4054 Mount Vernon Drive, Woodstock, GA, 30189, USA","Luo, Hairong",Active/Compliance
MOTHER & DAUGHTER CLEANING,,Name Reservation,NONE,NONE,Expired
"Mother & Daughter Event Planning, Decor, & Catering, LLC",17056734,Domestic Limited Liability Company,"786 Moon Road, Waco, GA, 30182-3188, USA",Robin Waldon,Active/Compliance
"Mother & Daughter House Flippers, LLC",17000435,Domestic Limited Liability Company,"7669 Battle way, Fairburn, GA, 30213, USA",Valda Rhoden,Active/Compliance
"Mother & Daughter Investors, LLC",19145032,Domestic Limited Liability Company,"2400 Parkland Drive, Unit 216, Atlanta, GA, 30324, USA",Lisa Hutchins,Active/Compliance
"MOTHER & DAUGHTER, INC",K931321,Domestic Profit Corporation,"3617 HILTON AVE STE 115, COLUMBUS, GA, 31904-7374, USA",CANDACE ADDISON,Admin. Dissolved
Mother and Daughter Beauty Supply inc.,16045234,Domestic Profit Corporation,"464 W 3Rd Street #110, jackson, GA, 30233, USA",allegra akins,Admin. Dissolved
"Mother and Daughter Enterprise, LLC",14117566,Domestic Limited Liability Company,"P.O. Box 51262, Albany, GA, 31703, USA","United States Corporation Agents, Inc.",Active/Compliance
Mother and Daughter Kreattions LLC,19045096,Domestic Limited Liability Company,"1521 Holcomb Bridge Rd #A, Norcross, GA, 30092, USA",Aisha Patric Smith,Active/Compliance
"MOTHER AND DAUGHTER PAYEE AND MORE, INC.",9084712,Domestic Profit Corporation,"1923 Kissingbower Road, Augusta, GA, 30904","Ferguson, Al",Admin. Dissolved
"MOTHER AND DAUGHTER PERSONAL CARE HOME, INC.",9084712,,",",,
"Mother and Daughter Remodeling, LLC",18078943,Domestic Limited Liability Company,"2034 Happy Valley Cir, Newnan, GA, 30263, USA",Linda Thompson,Active/Compliance
MOTHER AND DAUGHTER SUPPLY LLC,12071142,Domestic Limited Liability Company,"7405 Heard Road, Cumming, GA, 30041, USA","Rhys, Kim",Admin. Dissolved
Mother Reaching Daughters Inc.,14038994,Domestic Nonprofit Corporation,"1321 Laura Lane, Austell, GA, 30168",Latasha D.Fulgham,Admin. Dissolved
Mother Reaching Daughters Inc.,14037803,Name Reservation,NONE,NONE,Redeemed
"MOTHER-DAUGHTER, LLC",12008622,Domestic Limited Liability Company,"5383 Forest East Ln., Stone Mountain, GA, 30088, USA","GUNTER, LISA GAIL",Admin. Dissolved
Motherless Daughters Inc.,13408215,Domestic Nonprofit Corporation,"5241 W Fayetteville Rd, College Park, GA, 30349, USA",Rassalyn Willis,Active/Compliance
"Mothers & Daughters Are One, Inc.",14108080,Name Reservation,NONE,NONE,Expired
"Mothers & Daughters Are One, LLC.",15005437,Name Reservation,NONE,NONE,Expired
Mothers & Daughters Cleaning Service LLC,17015245,Domestic Limited Liability Company,"21 Ethan Moor, Jonesboro, GA, 30237, USA",Anna Dodson,Active/Compliance
"MOTHERS & DAUGHTERS, INC.",K021030,Domestic Profit Corporation,"5102 STATION CIR, NORCROSS, GA, 30071-3184, USA","SIMMONS, REGINALD",Admin. Dissolved
