Entity Type,Entity #,Entity Name,Name Type,Status
Business Corporation,52584D,"ERICKSON RENTALS, INC.",Legal Name,Involuntarily Dissolved
Name Reservation,10014069,"ERICKSON TRANSPORT, INC.",Legal Name,Expired Name
Name Reservation,10016949,"Erickson Transport, Inc.",Legal Name,Canceled Name
Business Corporation,5144D,"Erickson Transport, Inc.",Legal Name,Good Standing
Limited Liability Company,135607,Erickson Unlimited LLC,Legal Name,Good Standing
Limited Liability Company,118320,"Ericson Enterprises, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,49225F,ERICSSON INC,Legal Name,Good Standing
Business Corporation,124731,Ericsson Services Inc.,Legal Name,Merged
Business Corporation,69846F,ERICSSON WIRELESS COMMUNICATIONS INC.,Legal Name,Withdrawn
Limited Liability Company,92167,"Erikson Heritage, LLC",Legal Name,Good Standing
Limited Liability Company,82728D,"ERIKSSON, LLC",Legal Name,Good Standing
Limited Liability Company,104784,"Eveningsong, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10087800,"Eveningsong, LLC",Legal Name,Good Standing
Business Name Registration,93167,Executive Chef Seasoning,Legal Name,Expired Name
Business Corporation,96710,Express One Mortgage Corp.,Legal Name,Revoked
Limited Liability Company,62878D,"EYAK-WILSON, LLC",Legal Name,Voluntarily Dissolved
Limited Liability Company,10041787,Eyes On Site LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10030481,"Eyes On the Road Management, LLC",Legal Name,Good Standing
Business Corporation,22627D,F.M. GABOR & SONS CO.INC.,Legal Name,Involuntarily Dissolved
Business Corporation,56927D,"F/V FOUR CEASONS, LTD.",Legal Name,Good Standing
Business Corporation,60304D,"F/V MISS ALISON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,48653D,"F/V WHALESONG, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10087346,Faes One LLC,Legal Name,Good Standing
Nonprofit Corporation,9975D,"Fairbanks North Star Chapter #770 Of American Association Of Retired Persons, Inc",Previous Legal Name,Involuntarily Dissolved
Business Corporation,47078D,"Fairbanks Oncology, Inc.",Legal Name,Voluntarily Dissolved
Business Corporation,47078D,"Fairbanks Oncology, P.C.",Previous Legal Name,Voluntarily Dissolved
Business Corporation,3785D,"FAIRBANKS PLUMBING AND HEATING SAMSON HARDWARE, INC.",Previous Legal Name,Good Standing
Business Corporation,57324F,"FAIRN & SWANSON, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10001004,"Fairweather North Masonry, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,64442D,FALLON MASONRY INC.,Legal Name,Involuntarily Dissolved
Limited Liability Company,10006543,Fantasies on 5th Avenue LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10049873,Father and Son Snow Removal LLC,Legal Name,Good Standing
Business Corporation,49242D,"FEATHERLY & SON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,10036069,FERGUSON AND SMITH ENTERPRISES INC.,Legal Name,Good Standing
Business Corporation,54568F,"FERGUSON CONSTRUCTION, INC.",Legal Name,Good Standing
Business Corporation,81757F,"FERGUSON ENTERPRISES, INC.",Legal Name,Withdrawn
Limited Liability Company,10104962,"Ferguson Enterprises, LLC",Legal Name,Good Standing
Business Corporation,78453F,"Ferguson Fire & Fabrication, Inc.",Legal Name,Good Standing
Business Corporation,110508,"Ferguson Hardwoods, Inc.",Legal Name,Revoked
Limited Liability Company,10027852,"Ferguson Holdings, LLC",Legal Name,Good Standing
Business Corporation,102068,Ferguson Industries Incorporated,Legal Name,Involuntarily Dissolved
Business Corporation,47000D,FERGUSON LIMITED,Legal Name,Involuntarily Dissolved
Limited Liability Company,10038209,"Ferguson Masonry, LLC",Legal Name,Good Standing
Business Corporation,120882,Ferguson Placer Incorporated,Legal Name,Good Standing
Limited Liability Company,10046151,"Ferguson Properties, LLC",Legal Name,Good Standing
Business Name Registration,10114720,Ferguson Waterworks,Legal Name,Active Name
Business Corporation,57491D,"FERGUSSON & ASSOCIATES, INC.",Legal Name,Good Standing
Limited Liability Company,10044128,"FERGUSSON INVESTMENTS, LLC",Legal Name,Good Standing
Business Corporation,130553,"Ferrandino & Son, Inc.",Legal Name,Good Standing
Limited Liability Company,100362,"Feucht Tomlinson & Associates, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,20087D,FIELDS & SONS INCORPORATED,Legal Name,Good Standing
Business Corporation,10054972,Filson Corporation,Assumed Name,Withdrawn
Business Corporation,128217,"Fisher & Sons, Inc.",Previous Legal Name,Good Standing
Business Corporation,48850F,"FISONS INSTRUMENTS, INC.",Legal Name,Revoked
Limited Partnership,136343,Five Stones - Lawson Family Limited Partnership,Legal Name,Good Standing
Limited Liability Company,10049320,"FJMPF Benson, LLC",Legal Name,Good Standing
Business Corporation,67742D,"FLOOR SEASONS, INC.",Legal Name,Voluntarily Dissolved
Business Corporation,17359D,"FLOYD & SONS, INC.",Legal Name,Good Standing
Business Name Registration,26993,FOCUS ON ALASKA,Legal Name,Expired Name
Limited Liability Company,10055779,"Focus on Sponsorship, LLC",Legal Name,Good Standing
Nonprofit Corporation,74329F,FOCUS ON THE FAMILY,Legal Name,Good Standing
Limited Liability Company,136527,FocusOne Solutions LLC,Legal Name,Good Standing
Professional Corporation,42563D,"FOLEY, FOLEY & PEARSON, A PROFESSIONAL CORPORATION",Legal Name,Good Standing
Business Corporation,88618D,"FORST/BRYSON ENTERPRISES, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,10113495,FORTSON DERMATOLOGY AND SKIN CARE CENTER,Legal Name,Active Name
Limited Liability Company,68685D,"Fortson Dermatology and Skin Care Center, LLC",Previous Legal Name,Good Standing
Limited Liability Partnership,75863D,FOSTER & SONS LLP,Legal Name,Involuntarily Dissolved
Limited Liability Company,10035781,Four Season Painting LLC,Legal Name,Good Standing
Business Corporation,64392D,"FOUR SEASONS BAZAAR, INC.",Legal Name,Good Standing
Business Name Registration,128264,Four Seasons Catering,Legal Name,Canceled Name
Limited Liability Company,128280,Four Seasons Catering LLC.,Legal Name,Involuntarily Dissolved
Limited Liability Company,109529,"FOUR SEASONS FENCE, LLC",Legal Name,Good Standing
Business Corporation,102537,"Four Seasons Forestry Services, Inc.",Legal Name,Revoked
Business Name Registration,30667,FOUR SEASONS HOME REMODELING,Legal Name,Expired Name
Limited Liability Company,70168D,FOUR SEASONS LLC,Legal Name,Good Standing
Business Name Registration,25180,FOUR SEASONS MARINE,Legal Name,Expired Name
Business Name Registration,10017336,FOUR SEASONS MARINE,Legal Name,Active Name
Business Corporation,58372F,Four Seasons Marine Services Corporation,Legal Name,Good Standing
Business Corporation,58372F,FOUR SEASONS MARINE SERVICES MANAGEMENT CORP,Previous Legal Name,Good Standing
Limited Liability Company,70993D,"FOUR SEASONS MARINE SERVICES, LLC",Legal Name,Voluntarily Dissolved
Name Reservation,10035745,Four Seasons Painting,Legal Name,Expired Name
Business Corporation,92265,"Four Seasons Rain Gutters, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,92597,"Four Seasons Roofing, LLC",Legal Name,Voluntarily Dissolved
Business Name Registration,31624,FOUR SEASONS TOURS,Legal Name,Expired Name
Business Name Registration,10017334,FOUR SEASONS TOURS,Legal Name,Active Name
Limited Liability Company,10034046,"Four Seasons Trans Group, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10005803,Four Seasons Transportation Group llc,Legal Name,Involuntarily Dissolved
Business Name Registration,30786,FOUR SEASONS TRAVEL,Legal Name,Expired Name
Limited Liability Company,10034887,Four Sons Aviation LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,66269D,Frances Johnson Memorial Presbyterian Church,Legal Name,Non-Compliant
Nonprofit Corporation,66269D,FRANCIS JOHNSON MEMORIAL PRESBYTERIAN CHURCH CORP.,Previous Legal Name,Non-Compliant
Nonprofit Corporation,81908D,FRANK R. FERGUSON FOUNDATION,Legal Name,Non-Compliant
Limited Liability Company,112031,Franklin Ellenson MD LLC,Previous Legal Name,Good Standing
Limited Liability Company,113684,FRANKLIN MADISON GROUP LLC,Legal Name,Good Standing
Limited Liability Company,10110298,FRANKLIN MADISON INSURANCE LLC,Legal Name,Good Standing
Business Corporation,26797D,"FRED ADKERSON, INC.",Legal Name,Good Standing
Business Corporation,106325,FREDERICK AND NELSON INC,Legal Name,Good Standing
Business Corporation,57463D,"FREDRICKSON PAINTING, INC.",Legal Name,Good Standing
Limited Liability Company,10071358,"Frichardson, LLC",Legal Name,Good Standing
Nonprofit Corporation,128563,Friends of Jensen-Olson Arboretum,Legal Name,Good Standing
Nonprofit Corporation,72976D,"FRIENDS OF KETTLESON MEMORIAL LIBRARY, INC.",Previous Legal Name,Non-Compliant
Nonprofit Corporation,72976D,FRIENDS OF THE KETTLESON MEMORIAL LIBRARY,Previous Legal Name,Non-Compliant
Nonprofit Corporation,36992D,FRIENDS OF THE SHELDON JACKSON MUSEUM,Legal Name,Good Standing
Limited Liability Company,10055193,"FRISSON FARMS, LLC.",Legal Name,Good Standing
Business Corporation,10059971,"FROELING & ROBERTSON, INC.",Legal Name,Good Standing
Nonprofit Corporation,10099043,"Ft. Richardson - Elmendorf AFB Chapter 036, Ducks Unlimited, MGD",Legal Name,Good Standing
Business Corporation,10013676,"Fujifilm Sonosite, Inc.",Legal Name,Revoked
Business Corporation,10043307,"FUJIFILM SonoSite, Inc.",Legal Name,Good Standing
Limited Liability Company,115885,"FV Lady Simpson, LLC",Legal Name,Good Standing
Business Corporation,10027535,G & E Anderson Inc,Previous Legal Name,Good Standing
Business Corporation,29330D,G. O. ANDERSSON INC.,Legal Name,Involuntarily Dissolved
Business Corporation,62680D,G. WHITE & SON COMPANY,Legal Name,Involuntarily Dissolved
Limited Liability Company,10030638,"Gabrielson Energy Services, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,65768D,"GAGNON MASONARY, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,37026D,GARRISON CORPORATION,Legal Name,Involuntarily Dissolved
Limited Liability Company,10116460,"GARRISON ENTERPRISES, L.L.C.",Legal Name,Good Standing
Limited Liability Company,64016D,GARRISON-STONE PROPERTIES LIMITED LIABILITY COMPANY,Previous Legal Name,Good Standing
Limited Liability Company,10018774,Gary Bryson Country Financial LLC,Legal Name,Voluntarily Dissolved
Business Corporation,50256D,"GARY PETERSON AND ASSOCIATES, INC.",Legal Name,Voluntarily Dissolved
Limited Liability Company,10031052,"Gates & Son Construction ,LLC",Legal Name,Involuntarily Dissolved
Professional Corporation,87726D,"GEORGE E JOHNSON, DDS, P.C.",Legal Name,Involuntarily Dissolved
Business Name Registration,10019557,GERRY GIBSON DIVERSIFIED SERVICES,Legal Name,Expired Name
Business Corporation,109466,GIBSON & ASSOCIATES TECHNICAL SERVICES CORPORATION,Legal Name,Withdrawn
Business Corporation,10026617,"Gibson Door & Millwork, Inc.",Legal Name,Revoked
Business Corporation,76650F,"GIBSON INSURANCE AGENCY, INC.",Legal Name,Good Standing
Limited Liability Company,10035234,Gibson Rentals LLC,Legal Name,Good Standing
Business Corporation,100794,"Gibson Roofing, Inc.",Legal Name,Good Standing
Business Corporation,56332D,"GIBSON WOOD PRODUCTS, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,10049423,GIFTS ON THE FLY,Legal Name,Active Name
Business Corporation,71242D,"GILLESPIE AND SONS, INC.",Legal Name,Good Standing
Limited Liability Company,10056253,"Gilson Construction, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,121654,Gilson Contracting LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,10018456,Girls on the Run Southcentral AK,Legal Name,Good Standing
Limited Liability Company,128149,"GK Soni II, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,112164,"GK SONI, LLC",Legal Name,Good Standing
Limited Liability Company,10022787,"GKV and Sons, LLC",Legal Name,Good Standing
Nonprofit Corporation,113152,Glacier Masonic Lodge Title Holding Company,Legal Name,Involuntarily Dissolved
Business Corporation,61233D,Glacier Masonry & Excavation Corp. INC.,Previous Legal Name,Good Standing
Business Corporation,61233D,Glacier Masonry & Excavation Inc.,Legal Name,Good Standing
Business Corporation,61233D,"GLACIER MASONRY AND EXCAVATING, INC.",Previous Legal Name,Good Standing
Limited Liability Company,10051316,Glass on Fifth llc,Legal Name,Involuntarily Dissolved
Business Corporation,72671F,"GLEASON FINANCIAL LTD., INC.",Legal Name,Revoked
Limited Liability Company,10028028,"GLEASON KNIK HOMESTEADS, LLC",Legal Name,Good Standing
Business Corporation,41580D,"GLEASON RESEARCH, INC.",Legal Name,Voluntarily Dissolved
Limited Liability Company,98288,"Gleason Research, LLC",Legal Name,Good Standing
Limited Liability Company,74859D,"GLENWOOD-JACKSON, LLC",Legal Name,Good Standing
Name Reservation,10005718,Global Defense Personnel Incorporated,Legal Name,Expired Name
Limited Liability Company,10058845,Global Loop Tucson LLC,Legal Name,Good Standing
Business Corporation,63960D,"GLOBAL UNISON, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10090946,Goats on a Roof LLC,Legal Name,Good Standing
Limited Liability Company,10008812,"Goodson Holding, L.L.C.",Legal Name,Good Standing
Business Corporation,10006428,Google Comparison Inc.,Previous Legal Name,Withdrawn
Limited Partnership,10042819,Grayson Family Limited Partnership,Legal Name,Non-Compliant
Business Corporation,87988F,"GRAYSON FINANCIAL AMERICA, INC.",Legal Name,Involuntarily Dissolved
Professional Corporation,55620D,"GREGORY L. JOHNSON, D.D.S., P.C.",Previous Legal Name,Voluntarily Dissolved
Business Corporation,52746D,"GUNDERSON EQUIPMENT, LTD.",Legal Name,Involuntarily Dissolved
Business Corporation,72586D,"GUNNERSON CONSTRUCTION, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10029623,"Gunnison Drive, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,91374,"Gus Johnson Family, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,14852D,"GUSTAFSON GENERAL CONTRACTORS, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,63394F,GUY F. ATKINSON CONSTRUCTION CORPORATION,Legal Name,Merged
Limited Liability Company,71913F,"GUY F. ATKINSON CONSTRUCTION, LLC",Legal Name,Good Standing
Business Corporation,77731F,"GUY NIELSON COMPANY, INDUSTRIAL DIVISION, INC.",Legal Name,Good Standing
Limited Liability Company,63791D,H D SONNOY CONSTRUCTION LLC,Legal Name,Involuntarily Dissolved
Business Corporation,73053F,"H.J. MARTIN & SON, INC.",Legal Name,Good Standing
Business Name Registration,91810,Haakenson Electric,Legal Name,Expired Name
Business Name Registration,10092323,HAAKENSON ELECTRIC,Legal Name,Active Name
Limited Liability Company,61566D,"HAAS, MORGAN & HUDSON TECHNICAL ENVIRONMENTAL CONSULTING, LLC.",Legal Name,Voluntarily Dissolved
Limited Liability Company,10062584,"Hair Doctors on Lake Otis, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10027492,"HALE '98 Gray/Robinson Trysts, LLC",Legal Name,Good Standing
Limited Liability Company,134271,"Hall & Sons Scaffolding, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,54583F,"HALL, CONWAY, JACKSON, INC.",Legal Name,Revoked
Business Name Registration,87890,HALL-CONWAY-JACKSON CASCADE INSURANCE GROUP A JOINT VENTURE,Legal Name,Expired Name
Limited Liability Company,10110058,"HALVERSON 940, LLC",Legal Name,Good Standing
Limited Liability Company,78141D,"HALVERSON BROTHERS, LLC",Legal Name,Good Standing
Business Corporation,50769D,"HALVERSON PROPERTIES, INC.",Legal Name,Good Standing
Limited Liability Partnership,102637,"Halverson, Sorenson & White LLP",Legal Name,Good Standing
Limited Liability Partnership,102637,"Halverson, Sorenson and White Investment Company Limited Liability Partnership",Previous Legal Name,Good Standing
Limited Liability Partnership,102634,Halverson/Sorenson Limited Liability Partnership,Legal Name,Good Standing
Limited Liability Company,10011719,"Halvorson Construction Group, LLC",Legal Name,Withdrawn
Business Corporation,110056,"HAMMEL, GREEN AND ABRAHAMSON, INC.",Legal Name,Good Standing
Foreign Corporate Name Registration,97277,"Hammel, Green and Abrahamson, Inc.",Legal Name,Expired Name
Limited Liability Company,101391,Hand & Sons LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,87168D,HANDS ON CHARTERS LLC,Legal Name,Involuntarily Dissolved
Business Name Registration,10023901,HANDS ON HEALTH OF BIG DELTA,Legal Name,Active Name
Business Name Registration,101025,Hands On Horse,Legal Name,Expired Name
Business Corporation,10002499,"HANDS ON THERAPY, INC.",Legal Name,Good Standing
Business Name Registration,81961,HANDS-ON-PAINTING,Legal Name,Expired Name
Nonprofit Corporation,102085,Hanson Acres Condominium Association,Legal Name,Good Standing
Limited Liability Company,76132D,HANSON ACRES LLC,Legal Name,Involuntarily Dissolved
Business Corporation,10013242,"Hanson Alaska Professional Services, Inc.",Legal Name,Good Standing
Limited Liability Company,114554,"Hanson Alaska, LLC",Legal Name,Voluntarily Dissolved
Nonprofit Corporation,77113D,HANSON APARTMENT BUILDING CONDOMINIUM ASSOCIATION,Legal Name,Involuntarily Dissolved
Limited Liability Company,335PD,HANSON ASSOCIATES A LIMITED PARTNERSHIP,Previous Legal Name,Good Standing
Limited Liability Company,335PD,"Hanson Associates, LLC",Legal Name,Good Standing
Limited Liability Company,98196,"Hanson Capital, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,118982,"HANSON CONSTRUCTION, INC",Legal Name,Good Standing
Limited Liability Company,10034465,Hanson Enterprises LLC,Legal Name,Good Standing
Business Corporation,51445F,"HANSON ENVIRONMENTAL RESEARCH SERVICES, INC.",Legal Name,Withdrawn
Limited Liability Company,75184D,"HANSON HYDRAULIC REPAIR, LLC",Legal Name,Good Standing
Business Corporation,40117F,"HANSON INDUSTRIES, INC.",Legal Name,Revoked
Business Corporation,10029390,"Hanson Industries, Inc.",Legal Name,Good Standing
Business Corporation,10031659,Hanson Maritime Co.,Legal Name,Good Standing
Business Corporation,84649D,"HANSON MARITIME, CO.",Legal Name,Involuntarily Dissolved
Business Corporation,68197F,HANSON PROFESSIONAL SERVICES INC.,Legal Name,Good Standing
Nonprofit Corporation,75524D,"HANSON SQUARE CONDOMINIUMS OWNERS ASSOCIATION, INC.",Legal Name,Good Standing
Limited Liability Company,125052,Hanson Surveying and Mapping LLC,Legal Name,Good Standing
Business Corporation,10006212,"HANSON'S ROOFING, INC.",Legal Name,Good Standing
Business Corporation,90283F,"Hanson-Wilson, Inc.",Legal Name,Withdrawn
Business Corporation,42545F,HARBISON-WALKER REFRACTORIES COMPANY,Legal Name,Withdrawn
Business Corporation,61399F,"HARDESTY & SONS, INC.",Legal Name,Good Standing
Business Corporation,55227F,"HARDING LAWSON ASSOCIATES INFRASTRUCTURE, INC.",Legal Name,Merged
Business Corporation,54359D,"HARLEY-DAVIDSON FARTHEST NORTH OUTPOST, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,55758F,HARLEY-DAVIDSON MOTOR COMPANY,Legal Name,Withdrawn
Business Corporation,10111274,"Harley-Davidson Retail, Inc.",Legal Name,Good Standing
Limited Liability Company,10004079,"Harman & Sons Fishing Co., LLC",Legal Name,Good Standing
Business Corporation,54633F,HARRIS MILLER MILLER & HANSON INC.,Legal Name,Good Standing
Business Corporation,57225D,"HARRISON CONSTRUCTION, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10004996,"Harrison Engineering, LLC",Legal Name,Good Standing
Business Corporation,46075D,"HARRISON ENTERPRISES, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,130556,"Harrison French & Associates, LTD",Legal Name,Good Standing
Limited Liability Company,102850,"Harrison Properties, LLC",Legal Name,Non-Compliant
Business Corporation,82202D,"HARRISON QUALITY HOMES, INC.",Legal Name,Good Standing
Limited Partnership,10107564,"HARRISON SEA, LIMITED PARTNERSHIP",Legal Name,Good Standing
Business Corporation,96492,Harrison Western Construction Corporation,Legal Name,Revoked
Business Corporation,10035410,Harrison Western Construction Corporation,Legal Name,Good Standing
Business Corporation,61504F,HARRISON WESTERN MINING CORPORATION,Legal Name,Revoked
Business Corporation,70874D,HARRISON-MUNN CORP.,Legal Name,Good Standing
Business Corporation,44603D,HARRY OLSON CONSTRUCTION CO.,Legal Name,Involuntarily Dissolved
Limited Liability Company,131761,"Hart & Johnson, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,125416,Hart & Sons LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,72973D,HARVEY SAMUELSON SCHOLARSHIP TRUST,Legal Name,Good Standing
Name Reservation,10026172,Hatley and Sons,Legal Name,Expired Name
Business Corporation,92872,"Hausle-Johnson Tiles, Inc.",Legal Name,Good Standing
Business Corporation,53352D,"HAWKINSON CONSTRUCTION, INC.",Legal Name,Good Standing
Limited Liability Company,10007387,Hawkinson Consulting LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,107001,"HAYDON/JOHNSON HANGARS, LLC",Legal Name,Good Standing
Limited Liability Company,114283,"Hazard Ranch Company-Jackson, LLC",Legal Name,Good Standing
Limited Liability Company,62041D,"HEADS ONLY, LLC",Legal Name,Voluntarily Dissolved
Limited Liability Company,82300D,"HEADS ONLY, LLC",Previous Legal Name,Involuntarily Dissolved
Business Corporation,76296F,HEALTH PERSONNEL OPTIONS CORPORATION,Legal Name,Withdrawn
Limited Liability Company,10057970,"Heartsong Asset Management, LLC",Legal Name,Good Standing
Professional Corporation,14952D,"HEDRIC B. HANSON, M.D., A PROFESSIONAL CORPORATION",Legal Name,Involuntarily Dissolved
Business Corporation,42992F,"HEGEDUS AND SONS, INC.",Legal Name,Revoked
Limited Liability Company,132909,"Heidi S. Johnson, MS CCC-SLP, LLC",Legal Name,Good Standing
Business Corporation,38587D,"HELEN L. HENDERSON, INC.",Legal Name,Good Standing
Limited Liability Company,87785D,HELGESON TRUCKING LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,10031537,Helmets On Heads Inc,Legal Name,Good Standing
Limited Liability Company,79663D,"HELPING HANDS ON THE HILLSIDE, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,39484D,"HENDERSON & KOLIVOSKY, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,95112,"Henderson & Phillips, Incorporated",Legal Name,Merged
Business Corporation,81111F,"HENDERSON ENGINEERS, INC.",Legal Name,Good Standing
Business Corporation,54361D,"HENDERSON ENTERPRISES, INC",Previous Legal Name,Good Standing
Limited Liability Company,82297D,"HENDERSON FAMILY PROPERTIES, LLC.",Legal Name,Good Standing
Business Corporation,72613F,HENDERSON GLOBAL INVESTORS (NORTH AMERICA) INC.,Legal Name,Revoked
Limited Liability Company,10088897,"Henderson Homestead, LLC",Legal Name,Good Standing
Limited Partnership,10089970,Henderson Investments Limited Partnership,Legal Name,Non-Compliant
Limited Liability Company,10088904,"Henderson Management, LLC",Legal Name,Good Standing
Business Corporation,10013317,"Henderson Products, Inc.",Legal Name,Good Standing
Business Corporation,78180D,"HENDERSON PROPERTIES, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,94743,"Henderson Realty, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,54729D,"HENDERSON UNIVERSITY, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10003335,Hendrickson & Associates,Previous Legal Name,Involuntarily Dissolved
Limited Liability Company,10003335,Hendrickson & Associates LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,62375D,"HENDRICKSON EXPLORATION AND MINING CO., LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,72369D,HENRICKSON ENTERPRISES LLC,Legal Name,Good Standing
Limited Partnership,10047049,"HENRIKLARSON ASSETS, LIMITED PARTNERSHIP",Legal Name,Good Standing
Business Corporation,49559D,"HENSON & ASSOCIATES, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10040768,"Henson & Money, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10019860,"Henson Robotics Machining Co.,LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,104011,"Herbert L. Jamison & Co., LLC",Previous Legal Name,Good Standing
Limited Liability Partnership,131667,Hermanson Company LLP,Legal Name,Good Standing
Business Corporation,6150F,HERMANSON CORPORATION,Legal Name,Revoked
Business Corporation,49508D,"HERNDON & THOMPSON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,43932D,"HESSON & DEAKINS, INC.",Legal Name,Good Standing
Limited Liability Company,93859,Hetrick and Sons L.L.C.,Legal Name,Good Standing
Business Corporation,10005714,Hillside Concrete and Masonry Inc,Legal Name,Good Standing
Limited Liability Company,10107621,"HIPPO BUILDERS ONE INSURANCE AGENCY, LLC",Legal Name,Good Standing
Business Corporation,72963F,HOLD BROTHERS ON-LINE INVESTMENT SERVICES INC.,Legal Name,Withdrawn
Limited Partnership,10019539,Hopson Family Limited Partnership,Legal Name,Good Standing
Professional Corporation,8352D,"HOUSTON & HENDERSON, A PROFESSIONAL CORPORATION",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,10041205,"Howard and Susie Patterson Reunion, Inc",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,74296D,"HOWARD AND SUSIE PATTERSON REUNION, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,89090F,"HOWARD JOHNSON INTERNATIONAL, INC.",Legal Name,Good Standing
Business Corporation,10011750,"HR Holdings One, Inc",Legal Name,Good Standing
Limited Liability Company,10021313,"HSONA, LLC.",Legal Name,Involuntarily Dissolved
Business Corporation,54730F,Hub International Personal Insurance Ltd.,Legal Name,Merged
Limited Liability Company,109881,"Hudson & Keyse, L.L.C.",Legal Name,Revoked
Limited Liability Company,133236,"Hudson & Marshall, LLC",Legal Name,Good Standing
Limited Liability Company,123508,Hudson Advisors Insurance Agency LLC,Legal Name,Withdrawn
Business Corporation,28904D,"HUDSON AIR SERVICE, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,76537F,HUDSON BAY INSULATION CO.,Legal Name,Good Standing
Limited Liability Company,10110156,"Hudson Bayou PPLI, LLC",Legal Name,Good Standing
Limited Liability Company,10075168,Hudson Enterprises LLC,Legal Name,Good Standing
Business Corporation,132986,"Hudson Enterprises, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10009266,Hudson Family LLC,Legal Name,Good Standing
Limited Liability Company,10095809,Hudson Family Services LLC,Legal Name,Good Standing
Limited Liability Company,125819,"Hudson Finance, LLC",Previous Legal Name,Revoked
Limited Liability Company,10015470,Hudson Group (HG) Retail LLC,Legal Name,Good Standing
Limited Liability Company,128445,"Hudson Group (HG) Retail, LLC",Legal Name,Revoked
Limited Liability Company,10085783,Hudson Homes Management LLC,Legal Name,Good Standing
Business Corporation,116675,Hudson News Company,Legal Name,Revoked
Business Corporation,48441F,HUDSON PRODUCTS CORPORATION,Legal Name,Revoked
Limited Liability Company,72203D,HUDSON PROPERTIES LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,121381,"Hudson Servicing Solutions, LLC",Legal Name,Withdrawn
Business Name Registration,125492,Hudson Sky Transport,Legal Name,Expired Name
Limited Liability Company,10037433,"Hudson Valley Agency Alliance, LLC",Legal Name,Good Standing
Limited Liability Company,129375,"Hudson Valley Consultants, LLC",Legal Name,Revoked
Business Corporation,40975D,HUDSON WHOLESALES LTD.,Legal Name,Involuntarily Dissolved
Limited Liability Company,10029224,"Hudson's Crossing, LLC",Legal Name,Good Standing
Limited Liability Company,10005266,HUDSONVIEW LLC,Legal Name,Involuntarily Dissolved
Business Corporation,10031449,HUGHES-NELSON PAINTING INC.,Legal Name,Good Standing
Business Corporation,129329,Hunter Dickinson Servicepay (US) Inc.,Legal Name,Good Standing
Limited Liability Company,118794,"Hutchinson Commercial Company, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10109630,"Hutchinson Commercial, LLC",Legal Name,Good Standing
