CompanyName,OrganizationNumber,Status,Type
"SONLIGHT PHOTOGRAPHY, LLC",726516,I-Inactive,KLC-Kentucky Limited Liability Company
"SONLIGHT PRESCHOOL/DAYCARE, INC.",517684,A-Active - Good,KCO-Kentucky Corporation
SONLIGHT WINDOW CLEANING LLC,619128,A-Active - Good,KLC-Kentucky Limited Liability Company
"SON LITE, INC.",323334,I-Inactive,KCO-Kentucky Corporation
"SON LITE INTERNATIONAL, INC.",325545,I-Inactive,KCO-Kentucky Corporation
SONLYNN LLC,1029476,I-Inactive,KLC-Kentucky Limited Liability Company
"SONMARK, INC.",512554,I-Inactive,KCO-Kentucky Corporation
"SON OF MEATBALL, LLC",591439,I-Inactive,KLC-Kentucky Limited Liability Company
"SONNE CONSTRUCTION MANAGEMENT, INC",705303,I-Inactive,KCO-Kentucky Corporation
"SONNE HOLDINGS, INC.",705308,I-Inactive,KCO-Kentucky Corporation
"SONNE INVESTMENTS, INC.",607048,I-Inactive,KCO-Kentucky Corporation
SONNE KITCHEN & BATH DESIGN,789726,I-Inactive,ALC-Assumed Name for LLC
"SONNE & NELL, P.S.C.",172658,I-Inactive,KPS-Kentucky Professional Services Corp
"SONNE PROPERTIES, LLC",556002,I-Inactive,KLC-Kentucky Limited Liability Company
"SONNE STEEL, INC.",616450,A-Active - Good,KCO-Kentucky Corporation
SONNET COVE,783817,I-Inactive,ALC-Assumed Name for LLC
"SONNET COVE GP, LIMITED PARTNERSHIP",489020,I-Inactive,FLP-Foreign Limited Partnership
"SONNET GP, INC.",488271,I-Inactive,FCO-Foreign Corporation
"SONNET GP, L.P.",489020,F-Real Name of foreign org. which filed under a fictitious name,NCR-Name Cross Reference
"SONNE TRIBBLE, LLC",789726,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONNO FELICE, LLC",955849,I-Inactive,FLC-Foreign Limited Liability Company
"SONNY & CO., INC.",200007,I-Inactive,KCO-Kentucky Corporation
SONNY BISHOP CARS,229844,I-Inactive,ASC-Assumed Name Corporation
