Business ID,Business Name,Name Type,Entity Type,Principal Office Address,Registered Agent Name,Status
201910151351543,NEST EGG LLC-S SERIES THE FLORIST DAUGHTER,SERIES LEGAL NAME,Domestic Series,,,Active
191935-034,ORDER OF THE DAUGHTERS OF THE BRITISH EMPIRE IN INDIANA,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
2008121600741,"PANFILOF AND DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,NONE,Yuri Panfilov,Admin Dissolved
198703-235,PHIL SIMMONS & DAUGHTERS DECORATING INC,LEGAL NAME,Domestic For-Profit Corporation,"210 W 3RD ST, HOBART, IN, 46342, USA",ALAN JACKSON,Admin Dissolved
201904221318230,QUILTS BY THE WATCHMAKERS DAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"16 North 600 West, Valparaiso, IN, 46385, USA","LEGALCORP SOLUTIONS, LLC",Active
LP95010050,RABEN DAUGHTERS' LIMITED PARTNERSHIP,LEGAL NAME,Domestic Limited Partnership,"2100 N. New York Ave., EVANSVILLE, IN, 47711, USA",MARK S. RABEN,Admin Dissolved
2010090900256,RENT-A-DAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"8800 TURNER RD, WESTPOINT, IN, 47992, USA",SUSAN E HANNA,Active
2012010400231,"RICHARD T. FOWLER & DAUGHTER, INC.",FORMER NAME,Domestic For-Profit Corporation,"9119 OTIS AVENUE, INDIANAPOLIS, IN, 46216, USA",DAYCO FINANCIAL SERVICES,Admin Dissolved
2012022000400,"RICHARD T. FOWLER & DAUGHTER, LLC",LEGAL NAME,Domestic Limited Liability Company,"2664 W PRIVATE RD 950 N, FOUNTAINTOWN, IN, 46130, USA",BUSINESS FILINGS INCORPORATED,Voluntarily Dissolved
201909111345356,"ROSE DAUGHTERS VENTURES, LLC",LEGAL NAME,Domestic Limited Liability Company,"8801 River Crossing Boulevard, 340, Indianapolis, IN, 46240, USA",Douglas C. Rose,Voluntarily Dissolved (Name Protected)
201705221197013,ROSEMARY'S GRANDDAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"6372 S County Rd 300 E, Winslow, IN, 47598, USA",Emma Gutzweiler,Voluntarily Dissolved (Name Protected)
1995080630,SAVEADAUGHTER FOUNDATION ( SAD ),ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,NONE,Robert Autry,Cancelled
201705301198114,SCHOOGIE'S DAUGHTER,ASSUMED BUSINESS NAME,Foreign Limited Liability Company,"723 N. Walnut Street, Mount Carmel, IL, 62863, USA",J. Robert Kinkle,Active
2012111600623,"SMITH DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,NONE,VIRGINIA SMITH,Admin Dissolved
2000012500065,"SONS & DAUGHTERS INVESTMENTS, INC.",LEGAL NAME,Domestic For-Profit Corporation,"40 W 076 STURBRIDGE WY, ELGIN, IL, 60124, USA",NANCY MILLER,Active
194081-011,SONS AND DAUGHTERS OF AMERIC,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
192295-001,SONS AND DAUGHTERS OF JOSHUA,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
192865-035,SONS AND DAUGHTERS OF THE AMERICAN REVOLUTION IND INDIANA ST,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
198002-636,SONS AND DAUGHTERS OF THE PILGRIMS INC,LEGAL NAME,Domestic Nonprofit Corporation,NONE,,Admin Dissolved
2011031500216,"SONS AND DAUGHTERS, PEARL HARBOR SURVIVORS, INC.",FOREIGN LEGAL NAME,Foreign Nonprofit Corporation,"7514 LINCOLN ST SE, CANTON, OH, 44730, USA",KYLE WEHR,Withdrawn
2011122700393,SONS/DAUGHTERS OF JUSTICE CORP,LEGAL NAME,Domestic Nonprofit Corporation,"427 CAMELOT ESTATES, PORTAGE, IN, 46368, USA",JOSEPH COTNER,Admin Dissolved
2013081300034,STANFORD & DAUGHTER'S LLC,LEGAL NAME,Domestic Limited Liability Company,NONE,STANFORD GIVENS,Active
201905201323502,"THE ALCHEMIST'S DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,"15609 Fieldcrest Court, Granger, IN, 46530, USA",Anna Ryan Drew,Active
184252-041,"THE BETHANY CIRCLE OF KING'S DAUGHTERS' OF MADISON, INDIANA, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"1373 E SR 62, MADISON, IN, 47250, USA",CAROL DOZIER,Active
201901251301149,THE CARPENTER'S DAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"4295 E. 246th St., Cicero, IN, 46034, USA","UNITED STATES CORPORATION AGENTS, INC.",Active
2001040900407,THE DAUGHTERS OF SARA MINISTRIES INC.,LEGAL NAME,Domestic Nonprofit Corporation,"P.O. BOX 29413, INDIANAPOLIS, IN, 46239, USA",PAMELA B. WISE,Admin Dissolved
9995110017,THE FARMER'S DAUGHTER,RESERVED NAME,,"1563 WILLIAMSBURG LANE, FRANKLIN, IN, 46131, USA",,Expired
201806211264306,THE FARMERS DAUGHTER STUDIO,RESERVED NAME,,"8165 N 100 W, Wawaka, IN, 46794, USA",,Expired
201606291147737,THE FARMER'S DAUGHTER STUDIO,RESERVED NAME,,"8165 N 100 W, Wawaka, IN, 46794, USA",,Expired
201706261201969,THE FARMER'S DAUGHTER STUDIO,RESERVED NAME,,"8165 N 100 W, Wawaka, IN, 46794, USA",,Expired
201810181284733,THE FARMER'S DAUGHTER STUDIO LLC,LEGAL NAME,Domestic Limited Liability Company,"8165 N 100 W, Wawaka, IN, 46794, USA",Victoria L Gerver,Active
198010-542,THE FARMERS DAUGHTERS BAKERY & EATERY,ASSUMED BUSINESS NAME,Domestic For-Profit Corporation,"1914 WESTWOOD CIRCLE, MISHAWAKA, IN, 46544, USA",TIMOTHY R BRANTLEY,Admin Cancelled
184252-041,THE KING'S DAUGHTERS' HOSPITAL,ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,"1373 E SR 62, MADISON, IN, 47250, USA",CAROL DOZIER,Active
184252-041,THE KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,"1373 E SR 62, MADISON, IN, 47250, USA",CAROL DOZIER,Active
2005011100392,THE KING'S DAUGHTERS' HOSPITAL FOUNDATION INCORPORATED,LEGAL NAME,Domestic Nonprofit Corporation,"1373 E SR 62, PO BOX 447, MADISON, IN, 47250, USA",Maureen Getz,Active
198010-218,THE KING'S DAUGHTERS INC,LEGAL NAME,Domestic Nonprofit Corporation,"4410 MISSION DR, INDIANAPOLIS, IN, 46254, USA",DEE LYNN,Admin Dissolved
194104-114,THE MARY PENROSE WAYNE CHAPTER NATL DAUGHTERS AM REV,LEGAL NAME,Domestic Nonprofit Corporation,"11134 Grabill Rd, 11134 Grabill Rd, Leo, IN, 46765, USA",Cynthia Gravatt,Active
193001-005,THE MOTHERS AND DAUGHTERS CLUB (ALPHA CHAPTER),LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
201801251235998,THE NEW DAUGHTERS AND SONS OF DOUGLASS,ASSUMED BUSINESS NAME,Domestic Limited Liability Company,"516 LILLIAN AVE, Fort Wayne, IN, 46808, USA",LEGALINC CORPORATE SERVICES INC.,Active
201604261138690,THE OTHER DAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"1331 Heidi Haven Dr., Lawrenceburg, IN, 47025, USA",Lori A. Dugan,Active
198310-530,THE SONS AND DAUGHTERS OF LIBERTY INCORPORATED,LEGAL NAME,Domestic Nonprofit Corporation,"6414 E WASHINGTON ST, INDIANAPOLIS, IN, 46219, USA",JOHN TOTTON,Admin Dissolved
2011031800154,THREE DAUGHTERS & GRANDDAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"9222 GARRISON DRIVE, APT. 210 D, INDIANAPOLIS, IN, 46240, USA",JOYCE M. CRIGLAR,Admin Dissolved
198312-247,THREE DAUGHTERS CORP,LEGAL NAME,Domestic For-Profit Corporation,"5005 C.R. 29, AUBURN, IN, 46706, USA",Jerry L. Rathburn,Active
201709201215108,TIM & DAUGHTERS PROPERTY LLC,FORMER NAME,Domestic Limited Liability Company,"5530 W. Lowell Rd., Columbus, IN, 47201, USA",Tim Medaris,Active
201709201215108,TIM & DAUGHTERS PROPERTY MANAGEMENT LLC,LEGAL NAME,Domestic Limited Liability Company,"5530 W. Lowell Rd., Columbus, IN, 47201, USA",Tim Medaris,Active
1994100366,"TIM & DAUGHTERS, INC.",LEGAL NAME,Domestic For-Profit Corporation,"5530 W. Lowell Road, Columbus, IN, 47201, USA",DUSTY BLACKBURN,Voluntarily Dissolved
2011060200018,TJ & DAUGHTERS LLC,LEGAL NAME,Domestic Limited Liability Company,"3854 E. 400 S., MONROE, IN, 46772, USA",TERRY MCMILLEN,Admin Dissolved
1996031169,TLC THE FARMER'S DAUGHTER INC,LEGAL NAME,Domestic For-Profit Corporation,"8825 N 300 E, MORRISTOWN, IN, 46161, USA",Tamara L Carter,Admin Dissolved
2012062500344,TOLBERT DAUGHTER AND SON'S TRANSPORT. LLC,LEGAL NAME,Domestic Limited Liability Company,NONE,TIMOTHY TOLBERT,Admin Dissolved
201809121278902,TWIN FORKS CHAPTER NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN REVOLUTION INC,LEGAL NAME,Domestic Nonprofit Corporation,"440 Main ST, Brookville, IN, 47012, USA",Barbara Vonderheide,Active
2015040700093,"TWO DAUGHTERS DEPOT, LLC",RESERVED NAME,,"P.O. BOX 3, WHITESTOWN, IN, 46075, USA",,Expired
201701011164914,"TWO DAUGHTERS WITH A HEART HOME COMPANION SERVICES, LLP",FORMER NAME,Domestic For-Profit Corporation,"5200 N SHADELAND AVE, Indianapolis, IN, 46226, USA",Janet Smith,Active
201701011164914,"TWO DAUGHTERS WITH A HEART HOME-CARE SERVICES, INC",LEGAL NAME,Domestic For-Profit Corporation,"5200 N SHADELAND AVE, Indianapolis, IN, 46226, USA",Janet Smith,Active
201701011164914,"TWO DAUGHTERS WITH A HEART HOME-CARE SERVICES, LLP",FORMER NAME,Domestic For-Profit Corporation,"5200 N SHADELAND AVE, Indianapolis, IN, 46226, USA",Janet Smith,Active
192011-018,UNITED SONS AND DAUGHTERS OF,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
2015091002990,VICE DAUGHTER AND SON LLC,LEGAL NAME,Domestic Limited Liability Company,"PO BOX 30285, INDIANAPOLIS, IN, 46230, USA",CHRISTOPHER A VICE,Admin Dissolved
1992061175,"W.W. EASTMAN AND DAUGHTER AUCTION COMPANY, INC.",LEGAL NAME,Domestic For-Profit Corporation,"819 E Main St., NEW ALBANY, IN, 47150, USA",Wendell Eastman,Voluntarily Dissolved
2014082500289,"WA-PE-KE-WAY CHAPTER DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"7567 Bookbinder Drive, Plainfield, IN, 46122, USA",Linda Teany,Active
2001042700127,"WARE & DAUGHTERS, INC.",LEGAL NAME,Domestic For-Profit Corporation,"PO BOX 143, THAYER, IN, 46381, USA",PATRICIA WARE,Admin Dissolved
192059-015,WHITE RIVER CHAPTER OF THE DAUGHTERS OF THE AMERICAN REVOLUT,LEGAL NAME,Domestic Nonprofit Corporation,"WASHINGTON, IN, 47501, USA",MRS WATIS WARD,Admin Dissolved
2008072200528,ZELOPHEHAD'S DAUGHTERS CORP.,FORMER NAME,Domestic Nonprofit Corporation,"4670 WOODSHIRE DRIVE, TERRE HAUTE, IN, 47803, USA",SABRINA M. SPENCER/ W.LYNN SPENCER,Admin Dissolved
