Business Name,Business ID,Homestate Name,Previous Name,Business Type,Principal Office Address,Registered Agent Name,Status
"Chilson Collection Services, Inc.",584663,,,Domestic Profit Corporation,NONE,"Chilson, Guy D.",Admin Dissolution
Chimney Pro by Tyson Stockwell,649482,,,Trade Name,"45 Crow Hill St, Groveton, NH, 03582, USA",,Active
"CHIN, WRIGHT & BRANSON, P.C.",190379,"CHIN, WRIGHT & BRANSON, P.C.","RUSSELL L. CHIN AND ASSOCIATES, P.C.",Foreign Professional Profit Corporation,"155 FEDERAL ST, BOSTON, MA, 02110, USA","Chin, Russell L.",Admin. Suspension
"CHISHOLM MASONRY, INC.",309224,,,Domestic Profit Corporation,"900 VALLEY ST, MANCHESTER, NH, 03103, USA","Chisholm, Paul",Dissolved
"CHISHOLM PERSSON & BALL, P.C.",200259,,"Lawson Persson & Weldon-Francke, PC",Domestic Professional Profit Corporation,"755 N Main Street, Laconia, NH, 03246, USA",Persson Michael J.,Good Standing
"CHISHOLM PERSSON & BALL, P.C.",200259,,"Lawson & Philpot, P. C.",Domestic Professional Profit Corporation,"755 N Main Street, Laconia, NH, 03246, USA",Persson Michael J.,Good Standing
"CHISHOLM PERSSON & BALL, P.C.",200259,,"LAWSON PERSSON & CHISHOLM, P.C.",Domestic Professional Profit Corporation,"755 N Main Street, Laconia, NH, 03246, USA",Persson Michael J.,Good Standing
"CHISHOLM PERSSON & BALL, P.C.",200259,,"Lawson, Philpot & Persson, P.C.",Domestic Professional Profit Corporation,"755 N Main Street, Laconia, NH, 03246, USA",Persson Michael J.,Good Standing
"CHISHOLM PERSSON & BALL, P.C.",200259,,"Lawson & Persson, P.C.",Domestic Professional Profit Corporation,"755 N Main Street, Laconia, NH, 03246, USA",Persson Michael J.,Good Standing
"CHITTENDEN & SONS, INC.",215763,,,Domestic Profit Corporation,"23 CROSS RD, AMHERST, NH, 03031, USA","Chittenden, William A.",Dissolved
CHOCORUA LODGE MASONIC ASSOCIATION,62600,,,Domestic Nonprofit Corporation,"NH Route 3, Holderness, NH, 03245, USA",,Admin Diss LLP-CC-NP
Chocorua Personnel Management Services,620130,,,Trade Name,"100 Tewksbury Dr, Chocorua, NH, 03817, USA",,Expired
Chocorua View Cottages on the Saco River,663210,,,Trade Name,"610 White Mountain Highway, Conway, NH, 03818, USA",,Expired
CHOLETTE & SON PAINTING,546619,,,Trade Name,"105 Baker St, Manchester, NH, 03101, USA",,Expired
CHOUDHURY AND SONS,455332,,,Trade Name,"134 MIDDLESEX RD, MERRIMACK, NH, 03054, USA",,Expired
"CHOUINARD, R. D. & SON, INC.",7814,,,Domestic Profit Corporation,"NASHUA, NH, 03060, USA","Sullivan, Kevin F, Esq",Dissolved
Chris Carson Construction,584461,,,Trade Name,"8 Colby Road Apt 1, Litchfield, NH, 03052, USA",,Expired
Chris Christianson Fan Club,643476,,,Domestic Nonprofit Corporation,NONE,,Admin Diss LLP-CC-NP
Chris Johnson - Custom Builder,639423,,,Trade Name,"476 Stage Road, Weare, NH, 03281, USA",,Active
CHRIS NELSON CABLE INSTALLATIONS (C.N.C. INSTALLATIONS),216550,,,Trade Name,"12B CENTRAL STREET, NEWMARKET, NH, 03857, USA",,Expired
Chris Nelson Contracting LLC,654973,,,Domestic Limited Liability Company,"767 Western Ave, Henniker, NH, 03242, USA",Business Filings Incorporated,Good Standing
CHRIS RICHARDSON APPRAISAL SERVICE,144614,,,Trade Name,"960 Route 106 North, Loudon, NH, 03307, USA",,Active
Chris' All-Seasons Yard Service,683962,,,Trade Name,"49 Seasons Lane, Rochester, NH, 03867, USA",,Active
"Christenson Holdings, LLC",733722,,,Domestic Limited Liability Company,"118 Deering Center Rd., Deering, NH, 03244, USA","Christenson, Aaron C",Good Standing
Christenson Plumbing & Heating,604924,,,Trade Name,"118 Deering Center Road, Deering, NH, 03244, USA",,Active
Christenson Plumbing & Heating LLC,670175,,Christensen Plumbing & Heating LLC,Domestic Limited Liability Company,"118 Deering Center Rd, Deering, NH, 03244, USA","Christensen, Aaron",Good Standing
ChristiAne Mason Realty LLC,755991,,,Domestic Limited Liability Company,NONE,,Reserved Name Expired
"CHRISTIE & THOMSON, INC.",1243,"CHRISTIE & THOMSON, INC.",,Foreign Profit Corporation,"7 QUINSIGAMOND AVE PO BOX 623, WORCESTER, MA, 01608, USA","Ward, Francis",Withdrawn by Merger
CHRISTINE L. JOHNSON CONSULTING,210406,,,Trade Name,"63 MAIN STREET, SALEM, NH, 03079, USA",,Expired
"CHRISTINE MORRISON ACADEMY OF DANCE, LLC",808012,,,Domestic Limited Liability Company,"25 INDIAN ROCK RD STE 6, Windham, NH, 03087, USA",Legalinc Corporate Services Inc.,Good Standing
CHRISTMAS & SEASONS,243977,,,Trade Name,"3 SLOAN RD RR 2 BOX 440, ENFIELD, NH, 03748, USA",,Expired
CHRISTMAS ON THE MALL,108657,,,Trade Name,"975 NATHAN LN, PLYMOUTH, MN, 55441, USA",,Expired
CHRISTOFFERSON ENGINEERING,224921,,,Trade Name,"20 KELSEY DR, FREMONT, NH, 03044, USA",,Expired
CHRISTOFFERSON ENGINEERING,735388,,,Trade Name,"20 Kelsey Drive, Fremont, NH, 03044, USA",,Active
Christopher A. Burke Stone Masonry and Stone Sales,555644,,,Trade Name,"1328 Cherry Valley Rd, Gilford, NH, 03249, USA",,Active
CHRISTOPHER AND MADISON CORPORATION,312840,,,Domestic Profit Corporation,"6107 SILVER OAKS DR, ZEPHYRHILLS, FL, 33542, USA","Delyani, Anthony, Esq",Admin Dissolution
"Christopher W. Johnson Companies, LLC",708678,,,Domestic Limited Liability Company,"23 Elliott St, Nashua, NH, 03064, USA","Johnson, Christopher W, CPA",Good Standing
CHRISTOPHER'S ON CENTRAL L.L.C.,404757,,,Domestic Limited Liability Company,"23 CENTRAL STREET, WOODSVILLE, NH, 03785, USA","May, Christopher M.",Admin Dissolution
CHUBB & SON INC.,1248,CHUBB & SON INC.,,Foreign Profit Corporation,"436 Walnut Street, Philadelphia, PA, 19106, USA",C T Corporation System,Good Standing
CHUCK SAMPSON'S LLC,751768,,,Domestic Limited Liability Company,"300 Pioneer Rd, Rye, NH, 03870, USA","Sampson, Chuck",Good Standing
"CI JACKSONVILLE, LLC",804384,,,Domestic Limited Liability Company,"146 Route 125, Kingston, NH, 03848, USA",McLane Middleton Government & Public Strategies LLC,Good Standing
CI MADISON LLC,807963,,,Domestic Limited Liability Company,"146 Route 125, Kingston, NH, 03848, USA",McLane Middleton Government & Public Strategies LLC,Good Standing
"CIANO & SONS, LLC",484379,,,Domestic Limited Liability Company,"75 RTE 13, BROOKLINE, NH, 03033, USA","Sweeney, J Leonard, III Esq",Admin Dissolution
Ciarla & Sons Construction LLC,613598,,,Domestic Limited Liability Company,"685 Bedford Road, New Boston, NH, 03070, USA","Ciarla, Mark J",Admin Dissolution
Cindi Broady Personal Training LLC,629205,,,Domestic Limited Liability Company,"34 Gordon Mountain Rd, Windham, NH, 03087, USA","Broady, Cynthia A",Not In Good Standing
Cindia Jackson,655833,,,Trade Name,"292 Sheffield Rd, Manchester, NH, 03109, USA",,Active
Cindia Jackson Coffee Roasters,692736,,,Trade Name,"955 Goffs Falls Road #6514, Manchester, NH, 03108, USA",,Active
Cindia Jackson Merrimack,720159,,,Trade Name,"416 Daniel Webster Hwy Suite H, Merrimack, NH, 03054, USA",,Parent/Owner Dissolved Name Protection
Cindia Jackson's,610466,,,Trade Name,"515 Daniel Webster Hwy, Merrimack, NH, 03054, USA",,Expired
"Cindia Jackson, LLC",686288,,,Domestic Limited Liability Company,"955 Goffs Falls Rd #6514, Manchester, NH, 03108, USA","Flowers, Jim",Good Standing
CINDY HARRISON ART,742103,,,Trade Name,"18 Greatstone Drive, Merrimack, NH, 03054 - 2341, USA",,Active
CINsational SEAsonal Rentals,744635,,,Trade Name,"6 Houstons Way, Hampstead, NH, 03841, USA",,Active
"CIPOLLO & SONS, INC.",580005,"CIPOLLO & SONS, INC.",BRIDGES BROS. MOVERS,Foreign Profit Corporation,"29 Garfield Street, Exeter, NH, 03833, USA","White, Kenneth",Administratively Suspended Name Protection
CISTA CORPORATION,156184,,"WAYNE K. PIERSON & ASSOCIATES, INC.",Domestic Profit Corporation,"4 BROOK RD, AMHERST, NH, 03031, USA","Pierson, Wayne",Dissolved
"CITICORP PERSON-TO-PERSON FINANCIAL CENTER, INC.",1262,"CITICORP PERSON-TO-PERSON FINANCIAL CENTER, INC.",,Foreign Profit Corporation,"3 BEDFORD FARMS, BEDFORD, NH, 03102, USA",C T Corporation System,Merged
"Cityside Laundromat, LLC",612098,,"Hudson Laundromat & Drop Off Services, LLC",Domestic Limited Liability Company,"1100 Bicentennial Drive, Hooksett, NH, 03106, USA","Durand, James",Good Standing
CJ & JB MASONRY,455785,,,Trade Name,"505 NORTH STATE ST, CONCORD, NH, 03301, USA",,Expired
CJ Frain Seasonal Services,563892,,,Trade Name,"265 Blevens Drive, Manchester, NH, 03104, USA",,Expired
CJ Frain Seasonal Services LLC,577592,,,Domestic Limited Liability Company,"265 Blevens Drive, Manchester, NH, 03104, USA","Frain, Colin",Admin Dissolution
"CJD & Associates, L.L.C.",448001,"CJD & Associates, L.L.C.",DAVIDSON-BABCOCK,Foreign Limited Liability Company,"15200 Santa Fe Trail Drive, Suite 201, Lenexa, KS, 66219, USA","National Registered Agents, Inc.",Admin. Suspension
CJE Masonry L.L.C.,707783,,,Domestic Limited Liability Company,"43 Broadway, Pembroke, NH, 03275, USA",1 Client Matters LLC,Administratively Dissolved Name Protection
CJE MASONRY L.L.C.,771428,,,Domestic Limited Liability Company,"43 Broadway, Pembroke, NH, 03275, USA",1 Client Matters LLC,Rejected
CJNWATSONLLC,812403,,,Domestic Limited Liability Company,"1772 Route 12, Westmoreland, NH, 03467, USA",Cathleen Ann Watson Mrs,Good Standing
CK Sons,538759,,,Trade Name,"PO Box 335, Meriden, NH, 03770, USA",,Expired
CLAAR & SON EXCAVATION,103003,,,Trade Name,"49 UNION RD., STRATHAM, NH, 03885, USA",,Expired
"Clancy and Son Home Improvements, LLC",561794,,,Domestic Limited Liability Company,"43 Rocky Point Drive, Bow, NH, 03304, USA","Clancy, Robert J",Admin Dissolution
"CLAREMONT AREA CHAPTER 4344, INC.",139758,,"CLAREMONT AREA CHAPTER #4344 OF AMERICAN ASSOCIATION OF RETIRED PERSONS, INC.",Domestic Nonprofit Corporation,"67 Maple St, Claremont, NH, 03743, USA",,Good Standing
CLAREMONT MASONIC ASSOCIATION,62709,,,Domestic Nonprofit Corporation,"40 Maple Ave, PO Box 285, Claremont, NH, 03743, USA",,Good Standing
Clarence Smart & Son,B53921,,,Domestic Profit Corporation,"Unknown, Portsmouth, NH, 03801, USA",,Admin Dissolution
Clarisond Inc.,737476,Clarisond Inc.,,Foreign Profit Corporation,"2 West Wheelock St, Hanover, NH, 03755, USA",State of NH - Secretary of State,Withdrawn
CLARIVATE ANALYTICS (US) LLC,701000,CLARIVATE ANALYTICS (US) LLC,THOMSON REUTERS (SCIENTIFIC) LLC,Foreign Limited Liability Company,"1500 Spring Garden Street 4th Floor, Philadelphia, PA, 19130, USA",CORPORATION SERVICE COMPANY,Good Standing
CLARIVATE ANALYTICS (US) LLC,701000,CLARIVATE ANALYTICS (US) LLC,THOMSON REUTERS (SCIENTIFIC) LLC,Foreign Limited Liability Company,"1500 Spring Garden Street 4th Floor, Philadelphia, PA, 19130, USA",CORPORATION SERVICE COMPANY,Good Standing
"Clark & Richardson, Inc.",682539,Claremont Shoe Corporation,,Foreign Profit Corporation,"714 Grain & Flour Exchange, Boston, MA, 02108, USA",,Admin. Suspension
CLARK & SON MECHANICS LLC,779421,,,Domestic Limited Liability Company,"32 Hermit Woods Rd, Sanbornton, NH, 03269, USA",Frederick Clark,Good Standing
"CLARK AND WILSON FUELS, INC.",86536,"CLARK AND WILSON FUELS, INC.",,Foreign Profit Corporation,"CRANLAND AIRPORT MONPONSETT ST, HANSON, MA, 02341, USA","Clark, John E.",Admin. Suspension
"CLARK BROS. MASONRY, INC.",6913,,,Domestic Profit Corporation,"15 COLUMBIA DR, AMHERST, NH, 03031, USA","Lopez, Chester H, Esq",Dissolved
"CLARK BROS. MASONRY, INC.",1276,"CLARK BROS. MASONRY, INC.",,Foreign Profit Corporation,"18 BISCANE RD., CHELMSFORD, MA, 00000, USA","Clark, William",Admin. Suspension
"CLARK MASONRY CONSTRUCTION, INC.",196697,,,Domestic Profit Corporation,"51 FRANKLIN ST, MILFORD, NH, 03055, USA","Lopez, Chester H, Esq",Good Standing
Clark's on the Corner,714173,,,Trade Name,"40 Nashua Street, Milford, NH, 03055, USA",,Expired
"CLARK, MEL & PHIL, MASONRY CONTRACTORS, INC.",7830,,,Domestic Profit Corporation,"MERIDEN RD., LEBANON, NH, 03766, USA",SHERIDAN A. COVEAU,Dissolved
"Clark, Richardson and Biskup Consulting Engineers, Inc.",649234,"Clark, Richardson and Biskup Consulting Engineers, Inc.",,Foreign Profit Corporation,"1251 NW Briarcliff Parkway, Suite 500, Kansas City, MO, 64116, USA",C T Corporation System,Good Standing
"CLARK-MORTENSON AGENCY, INC.",320125,,,Domestic Profit Corporation,"102 MAIN ST, KEENE, NH, 03431, USA","Burnett, Rand S, Esq",Good Standing
"CLARKE AND SAMPSON, INC.",481306,"CLARKE AND SAMPSON, INC.",,Foreign Profit Corporation,"228 S. WASHINGTON STREET STE 200, ALEXANDRIA, VA, 22314, USA","Michalik, James E, Esq",Admin. Suspension
"CLARKE, THOMPSON, & PECK INTERIORS",73311,,,Trade Name,"1544 NORTH RIVER ROAD, MANCHESTER, NH, 03104, USA",,Expired
"Clarkson Cavan, LLC",580515,,,Domestic Limited Liability Company,"241 County Rd, Bradford, NH, 03221, USA","Gallagher, Callahan & Gartrell, P.C.",Dissolved
Clarkson Incorporated,643965,,,Domestic Nonprofit Corporation,NONE,,Admin Diss LLP-CC-NP
Clarkson Power Sports,666741,,,Trade Name,"370 Suncook Valley Highway, Chichester, NH, 03258, USA",,Active
"CLARKSON PROJECT MANAGEMENT, LLC",239062,,,Domestic Limited Liability Company,"449 N BARNSTEAD RD, CTR BARNSTEAD, NH, 03225, USA","Mesmer, Frank B, Jr Esq",Dissolved
Clarkson/Jennings Unlimited,588415,,,Trade Name,"20 New Boston Rd, Kingston, NH, 03848, USA",,Expired
"CLAUSON AND WARD ASSOCIATES, INC.",87829,,,Domestic Profit Corporation,"161 PARK ST, PORTSMOUTH, NH, 03801, USA","Ward, Constance",Dissolved
"CLAUSON, STRUCKHOFF & KELLY",31436,,,Trade Name,"One Buck Rd, Hanover, NH, 03755, USA",,Expired
Clawson-Hamilton Commercial College,B02322,,,Domestic Profit Corporation,NONE,,Dissolved
Clay Richardson Construction LLC,593141,,,Domestic Limited Liability Company,"26 Collins Brook Road, Meredith, NH, 03253, USA","Richardson, Clay J",Admin Dissolution
CLAY VESSELS BY SONIA,102243,,,Trade Name,"55 FOREST PARK DR., NASHUA, NH, 03060, USA",,Expired
Clayton & Sons Construction,645827,,,Trade Name,"92 Briar Dr, Rochester, NH, 03867, USA",,Expired
Clayton & Sons Inc,599903,,,Domestic Profit Corporation,"11 Bryer Lane, Rochester, NH, 03867, USA","Anderson, Brian",Admin Dissolution
Clayton and Sons Construction,750592,,,Trade Name,"7 Brownstone Lane, Rochester, NH, 03867, USA",,Active
CLAYTON AND SONS CONTRACTING INC.,312463,,,Domestic Profit Corporation,"37 AUTUMN ST #1, ROCHESTER, NH, 03867, USA","Anderson, Brian",Dissolved
"CLAYTON ANDERSON & SONS CONSTRUCTION, LLC",488612,,,Domestic Limited Liability Company,"7 BROWN STONE LN, ROCHESTER, NH, 03867, USA","Morgan, Thomas, Esq",Dissolved
CLAYTON ANDERSON & SONS ROOFING,313762,,,Trade Name,"51 FIELDSTONE VILLAGE, ROCHESTER, NH, 03867, USA",,Expired
Clayton Anderson Repair Roofing,574807,,,Trade Name,"7 Brownstone Lane, Rochester, NH, 03867, USA",,Expired
CLEM-MASONRY,31460,,,Trade Name,"440 MAIN DUNSTABLE ROAD, NASHUA, NH, 03062, USA",,Expired
Clemdog Corp.,133289,,"ANDERSON AND TAYLOR, P.C.",Domestic Profit Corporation,"201 N MAIN ST, BOSCAWEN, NH, 03303, USA","Fries, David K, Esq",Merged
"CLEMENT INDUSTRIAL PARK OF HUDSON, INC.",6949,,,Domestic Profit Corporation,"45 Derry Road, Hudson, NH, 03051, USA","Smith, Harrison, Esq",Dissolved
CLEMENTS & SON,764337,,,Trade Name,"2 Cedar Drive, Center Barnstead, NH, 03225, USA",,Inactive
CLEMENTS AND SON LLC,774478,,,Domestic Limited Liability Company,"2 Cedar Drive, Center Barnstead, NH, 03225, USA",Joshua Clements,Not In Good Standing
"CLEMSON FABRICS, CORPORATION",1283,"CLEMSON FABRICS, CORPORATION",,Foreign Profit Corporation,"4TH AVE., LAGRANGE, GA, 00000, USA",C T Corporation System,Admin. Suspension
CLEMSON UNIVERSITY,150172,CLEMSON UNIVERSITY,,Foreign Nonprofit Corporation,"Office of Sponsored Programs 300 Brackett Hall, Clemson, SC, 29634, USA",,Admin. Suspension
"CLEON JOHNSON, INC.",8810,,,Domestic Profit Corporation,"25 MAIN ST, NEWPORT, NH, 03773, USA","Johnson, Irene",Dissolved
CLEVENSON'S QUIK LAUNDRY & CLEANERS,30515,,,Trade Name,"401 MAIN STREET, LACONIA, NH, 03246, USA",,Expired
"Clifford C. Hutchinson, Inc.",B57042,,,Domestic Profit Corporation,"Unknown, Albany, NH, 03818, USA",,Dissolved
CLIFFORD NASON'S SERVICE CENTER,442281,,,Trade Name,"325 NORTH STARK HWY, WEARE, NH, 03281, USA",,Expired
Clifford R. Larson Insurance Agency Inc.,571664,Clifford R. Larson Insurance Agency Inc.,,Foreign Profit Corporation,"109 Massachusetts Avenue, Lexington, MA, 02420, USA","Suozzo, Ralph, Esq",Good Standing
Clifton Gunderson LLP,608883,Clifton Gunderson LLP,,Foreign Limited Liability Partnership,"301 South West Adams Street Suite 600, Peoria, IL, 61602, USA",CORPORATION SERVICE COMPANY,Withdrawn by Merger
"CLIFTON P. JACKSON, INC.",47669,,,Domestic Profit Corporation,"11 CARON RD, BEDFORD, NH, 03102, USA","Jackson, Robert A.",Dissolved
CliftonLarsonAllen LLP,664035,CliftonLarsonAllen LLP,,Foreign Limited Liability Partnership,"220 S 6th St, Ste 300, Minneapolis, MN, 55402, USA",C T Corporation System,Good Standing
"CLIMBING TOWER OF MASON NH, LLC",763910,,,Domestic Limited Liability Company,"632 Sand Pit Rd, Mason, NH, 03048, USA",Scott Darrell J.,Good Standing
CLINT ANDERSON INSTALLATION SERVICES,442779,,,Trade Name,"21 1/2 WEST ST, CONCORD, NH, 03301, USA",,Expired
CLINT FELCH & SON HEATING & COOLING,411329,,,Trade Name,"65 CAUSEWAY ST, SEABROOK, NH, 03874, USA",,Expired
"CLINT FELCH & SON HEATING AND COOLING, LLC",454789,,,Domestic Limited Liability Company,"65 CAUSEWAY ST, SEABROOK, NH, 03874, USA","Riley, Peter A, Esq",Admin Dissolution
"CLIO SERVICES, INC.",47505,,"GIBSON'S BOOK STORE, INC.",Domestic Profit Corporation,"26 S MAIN ST #294, CONCORD, NH, 03301, USA","Martel, Linda",Admin Dissolution
Clippings On Elm A Hair Studio LLC,569556,,,Domestic Limited Liability Company,"188 Elm St, Milford, NH, 03055, USA","Crooker, Caroline Leslie",Admin Dissolution
CLUB MADISON,386724,,,Trade Name,"PO Box 336, Hampton Falls, NH, 03844, USA",,Expired
Club Madison,687441,,,Trade Name,"9A Ocean Blvd, Hampton, NH, 03842, USA",,Expired
CLYDE SHATNEY AND SON,271011,,,Trade Name,"1011 VALLEY ST, MANCHESTER, NH, 03103, USA",,Expired
CMD Masonry,664745,,,Trade Name,"265 Gorboro Road, Epsom, NH, 03234, USA",,Expired
CMSU CHARLINE MASON SEMINARS UNLIMITED,161238,,,Trade Name,"LINDEN ST, EXETER, NH, 03833, USA",,Expired
CMSU Charline Mason SEMINARS UNLIMITED,673793,,,Trade Name,"50 Hampton Falls Rd, Exeter, NH, 03833, USA",,Active
"CNA Warranty Services, Inc.",649271,"CNA Warranty Services, Inc.","Sonoran Risk Purchasing Group, Inc.",Foreign Profit Corporation,"151 N. Franklin St., Chicago, IL, 60606, USA",C T Corporation System,Good Standing
COASTAL LANDSCAPING AND MASONRY,783254,,,Trade Name,"80 Alison Drive, Seabrook, NH, 03874, USA",,Active
COASTWISE CORPORATION,680831,COASTWISE CORPORATION,C. H. Sprague & Son Co.,Foreign Profit Corporation,"10 Post Office Square, Boston, MA, 02109, USA",C T Corporation System,Withdrawn
"Cocheco Falls Gallery, LLC",560345,,"Martha Mason, LLC",Domestic Limited Liability Company,"421 Central Avenue, Dover, NH, 03820, USA","Mason, Martha",Admin Dissolution
"Cocheco Hudson Alliance, LLC",702033,,,Domestic Limited Liability Company,"PO Box 164, Dover, NH, 03820, USA","Adorian, Asaf",Admin Dissolution
CODY JACK CONCRETE & MASONRY,180853,,,Trade Name,"169 MOUNTAIN SCHOOL RD., WEARE, NH, 03281, USA",,Expired
"COFFIN & RICHARDSON, INC.",1302,"COFFIN & RICHARDSON, INC.",,Foreign Profit Corporation,"SCHRAFFT CENTER 529 MAIN ST, BOSTON, MA, 02129, USA","Lynch, Francis J",Admin. Suspension
COHEN & SON ORIENTAL RUGS,221935,,,Trade Name,"RIVERSIDE PLAZA WINCHESTER ST, KEENE, NH, 03431, USA",,Expired
"COHEN & SON, ORIENTAL RUGS",119377,,,Trade Name,"MARTEL COURT, KEENE, NH, 03431, USA",,Expired
"COHEN, MAX, & SONS",31543,,,Trade Name,"SANDQUIST STREET, CONCORD, NH, 03301, USA",,Expired
COIT WILSON LLC,809441,,,Domestic Limited Liability Company,"48 Meadow Access Lane, Walpole, NH, 03608, USA",Noelle Kowalczyk,Good Standing
COL. JOHN MASON INN,88309,,,Trade Name,"15 KIMBALL ROAD, GILFORD, NH, 03246, USA",,Expired
"COLBY AND SON'S PROPERTY MANAGEMENT, LLC",822547,,,Domestic Limited Liability Company,"2 PARK ST. #3, Pittsfield, NH, 03263, USA",WILLIAM NELSON COLBY III,Good Standing
Colby Road Leasing Inc.,166905,,"WENDELL REXFORD & SONS, INC.",Domestic Profit Corporation,"PO Box 173, WHITEFIELD, NH, 03598, USA","Rexford, Larry D.",Good Standing
"COLBY, PATTERSON AND CO., PROFESSIONAL ASSOCIATION CERTIFIED PUBLIC ACCOUNTANTS",47931,,CUSHMAN S. COLBY CERTIFIED PUBLIC ACCOUNTANT PROFESSIONAL ASSOCIATION,Domestic Professional Profit Corporation,"820 LAFAYETTE ROAD S201, HAMPTON, NH, 03842, USA","Colby, Cushman S",Admin Dissolution
Cold Mountain Masonry & Construction,579550,,,Trade Name,"64 Kearsarge Road, North Conway, NH, 03860, USA",,Expired
Cold Mountain Masonry & Construction LLC,586477,,,Domestic Limited Liability Company,"64 Kearsarge Road, North Conway, NH, 03860, USA","Dupuis, Steven G",Admin Dissolution
COLDWELL BANKER CULBERTSON REALTY,386455,,,Trade Name,"1330 Hooksett Rd, Hooksett, NH, 03106, USA",,Expired
COLDWELL BANKER RICHARDSON ASSOCIATES,242718,RICHARDSON ASSOCIATES INC.,,Foreign Profit Corporation,"142 MAIN ST, BRADFORD, VT, 05033, USA",C T Corporation System,Admin. Suspension
COLDWELL BANKER RICHARDSON ASSOCIATES,245320,,,Trade Name,"142 MAIN ST PO BOX 343, BRADFORD, VT, 05033, USA",,Expired
Cole and Son Excavating and Paving LLC,691845,,,Domestic Limited Liability Company,"60 Brown Rd, Deerfield, NH, 03037, USA","Cole, Kevin, Jr",Good Standing
"Cole Associates Civil Law, PLLC",730335,,"COLEANDERSON, PLLC",Domestic Professional Limited Liability Company,"18 Bank Street, Lebanon, NH, 03766, USA",Cole Carolyn,Good Standing
COLISEUM MASONRY,103296,,,Trade Name,"405 MANCHESTER STREET, MANCHESTER, NH, 03103, USA",,Expired
"COLLECTION BUREAU OF THE HUDSON VALLEY, INC.",400860,"COLLECTION BUREAU OF THE HUDSON VALLEY, INC.",,Foreign Profit Corporation,"155 NORTH PLANK ROAD, NEWBURGH, NY, 12550, USA",CORPORATION SERVICE COMPANY,Good Standing
Colleen Jamieson Photography LLC,621309,,,Domestic Limited Liability Company,"326 W Hollis St, Nashua, NH, 03060, USA","Jamieson, Colleen",Admin Dissolution
"COLLINS & AIKMAN AUTOMOTIVE INTERIORS, INC .",648,"COLLINS & AIKMAN AUTOMOTIVE INTERIORS, INC .",DAVIDSON TEXTRON INC.,Foreign Profit Corporation,"26533 Evergreen Road, Suite 900, Southfield, MI, 48076, USA",CORPORATION SERVICE COMPANY,Admin. Suspension
"COLLINS & AIKMAN AUTOMOTIVE INTERIORS, INC .",648,"COLLINS & AIKMAN AUTOMOTIVE INTERIORS, INC .",DAVIDSON RUBBER COMPANY INCORPORATED,Foreign Profit Corporation,"26533 Evergreen Road, Suite 900, Southfield, MI, 48076, USA",CORPORATION SERVICE COMPANY,Admin. Suspension
"COLLINS & SONS ELECTRIC, LLC",828112,,,Domestic Limited Liability Company,"5 Cogswell Road, Unit 6, Gilmanton Iron Works, NH, 03837, USA",Evan Collins,Good Standing
"COLLINS & SONS ELECTRIC, LLC",828195,,,Domestic Limited Liability Company,"5 Cogswell Road Unit 6, Gilmanton Iron Works, NH, 03837, USA",Evan Collins,Rejected
"Collins and SonsTrucking, LLC",530268,,,Domestic Limited Liability Company,"348 North Road, Deerfield, NH, 03037, USA","Collins, Edward R.",Admin Dissolution
Collins Basic Masonry,725669,,,Trade Name,"PO Box 3665, Manchester, NH, 03105, USA",,Active
COLLINS BASIC MASONRY & RESTORATION,466496,,,Trade Name,"PO BOX 3665, MANCHESTER, NH, 03105, USA",,Expired
"Collinson Grant, Inc.",606058,"Collinson Grant, Inc.",,Foreign Profit Corporation,"40 Stark Street, Manchester, NH, 03101, USA",CORPORATION SERVICE COMPANY,Admin. Suspension
"COLONIAL BROKERAGE SERVICES, INC.",7864,,"HUDSON OIL COMPANY OF MISSOURI, INC.",Domestic Profit Corporation,"CONCORD, NH, 03301, USA","Johnson, Robert L",Dissolved
COLONIAL MASONRY,32071,,,Trade Name,"RFD#8, CONCORD, NH, 03301, USA",,Expired
"COLONIAL MASONRY, INC.",7867,,,Domestic Profit Corporation,"AUBURN, NH, 00000, USA","St Pierre, Robert A, Esq",Dissolved
COLORS ON YOU,58668,,,Trade Name,"101 PLAZA, ROUTE 101, BEDFORD, NH, 03102, USA",,Expired
"Colson & Colson General Contractor, Inc.",546916,"COLSON & COLSON GENERAL CONTRACTOR, INC.",,Foreign Profit Corporation,"2260 McGilchrist St. SE, Salem, OR, 97302, USA",C T Corporation System,Good Standing
COLSON'S LANDSCAPE MAINTENANCE,345630,,,Trade Name,"328 MAIN STREET, SOMERSWORTH, NH, 03878, USA",,Expired
"Colson-Finch, LLC",542542,,,Domestic Limited Liability Company,"79 Waumbeck Road, Wolfeboro, NH, 03894, USA","Hanson, Michael",Administratively Dissolved
COLTON SEASONAL VENTURES,783138,,,Trade Name,"52 English rd, Effingham, NH, 03882, USA",,Active
"COLUMBIAN LODGE, NO. 53, OF FREE MASONS",67694,,,Domestic Nonprofit Corporation,"WALPOLE, NH, 03608, USA",,Admin Diss LLP-CC-NP
"Column Technologies -- Edison, Inc.",552080,"COLUMN TECHNOLOGIES -- EDISON, INC.",,Foreign Profit Corporation,"1400 Opus Pl Ste 110, Downers Grove, IL, 60515, USA",C T Corporation System,Withdrawn by Merger
Coma Insurance Agency Inc.,369737,Coma Insurance Agency Inc.,"COMPARISONMARKET INSURANCE AGENCY, INC.",Foreign Profit Corporation,"46 Shopping Plaza # 302, Chagrin Falls, OH, 44022, USA",C T Corporation System,Good Standing
