Montana Business Search

Business Name or Number,son
,Contains
System Through Date,11/08/2019

Entity Name,Entity Number,Known in Montana As/Alternate Name,Status,Registration Date,Postal Address
JASON WARD,I226344,N/A,Active Good Standing,10/09/2008,"Street Address 1 N CHOTEAU AVE, HARDIN, Montana, 59034, United States Mailing Address"
"PARSONS BEHLE & LATIMER, A PROFESSIONAL CORPORATION",CRA0000120,N/A,Active Good Standing,11/01/2019,"Street Address 110 East Broadway, Suite 206, Missoula, Montana, 59802, United States Mailing Address P.O. Box 7369, Missoula, Montana, 59807, United States"
"ANDERSON REGISTERED AGENTS, INC.",CRA0000122,N/A,Active Good Standing,11/06/2019,"Street Address 1925 Grand Avenue, Suite 127, Billings, Montana, 59102, United States Mailing Address Montana, United States"
"BJORNSON CORPORATE SERVICES, LLC",I328109,N/A,Active Good Standing,06/02/2016,"Street Address 2809 GREAT NORTHERN LOOP #100, MISSOULA, Montana, 59808, United States Mailing Address"
J E LARSON DAVIS,I236690,N/A,Active Good Standing,03/30/2009,"Street Address 2047 N LAST CHANCE GULCH #200, HELENA, Montana, 59601, United States Mailing Address"
GOTFAMILIESONLINE.COM,A112581,N/A,Inactive Expired,05/10/2004,Assumed Business Name,
J.W. MASONRY AND STONEWORKS,A166456,N/A,Inactive Expired,04/21/2009,Assumed Business Name,
DONALDSON CONSTRUCTION,A169115,N/A,Inactive Expired,07/17/2009,Assumed Business Name,
JORGENSON CONSTRUCTION,A124028,N/A,"Inactive, Cancelled",07/05/2005,Assumed Business Name,
COLTER & SON,A007997,N/A,Inactive Expired,02/26/1985,Assumed Business Name,
HARRISON & ASSOCIATES,A169190,N/A,Inactive Expired,07/20/2009,Assumed Business Name,
JOHNSON SAWMILL,A008564,N/A,Inactive Expired,04/29/1985,Assumed Business Name,
ALLISON KALLAWAY JEWELRY,A205084,N/A,Active Good Standing,07/18/2012,Assumed Business Name,
QUAKING ASPEN MASONRY,A137710,N/A,"Inactive, Cancelled",09/29/2006,Assumed Business Name,
NELSON'S GENERAL CONSTRUCTION,A195237,N/A,Inactive Expired,09/30/2011,Assumed Business Name,
DAWSON CONSULTING,A079597,N/A,Inactive Expired,04/10/2000,Assumed Business Name,
ERICKSON PLUMBING AND HEATING,A126328,N/A,"Inactive, Cancelled",09/22/2005,Assumed Business Name,
WAYNE OLSON FARMS,A083779,N/A,Active Good Standing,12/04/2000,Assumed Business Name,
BEAR MASONRY AND CONSTRUCTION,A225427,N/A,Inactive Expired,04/03/2014,Assumed Business Name,
START NOW PERSONAL TRAINING SERVICES,A205468,N/A,"Inactive, Cancelled",07/26/2012,Assumed Business Name,
GOLD STAR PERSONAL CHEF SERVICE,A102240,N/A,Inactive Expired,04/07/2003,Assumed Business Name,
A. L. WILLIAMS/BRUCE E. ALLISON,A017276,N/A,Inactive Expired,05/27/1988,Assumed Business Name,
WILDERSONG,A221193,N/A,Active Good Standing,12/02/2013,Assumed Business Name,
ROBERTSON VALUATION GROUP,A138598,N/A,"Inactive, Cancelled",10/31/2006,Assumed Business Name,
MADISON SHEPHERDS,A206777,N/A,Inactive Expired,09/10/2012,Assumed Business Name,
BITTERROOT BISON,A097608,N/A,Inactive Expired,09/23/2002,Assumed Business Name,
NELSON'S HIDE-A-WAY,A046120,N/A,Inactive Expired,04/18/1995,Assumed Business Name,
BODYSONG THERAPEUTICS,A198121,N/A,Inactive Expired,01/06/2012,Assumed Business Name,
A. L. WILLIAMS/BILL STEVENSON OFFICE,A006440,N/A,Inactive Expired,07/03/1984,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/IVER CHRISTIAN GULLIXSON,A223345,N/A,Inactive Expired,02/07/2014,Assumed Business Name,
LLOYD'S OF DEER LODGE INSURANCE,A004425,N/A,Inactive Expired,06/15/1983,Assumed Business Name,
MULLER MASONRY,A096163,N/A,Inactive Expired,07/15/2002,Assumed Business Name,
FLATHEAD MASONRY & TILE,A073465,N/A,"Inactive, Cancelled",05/05/1999,Assumed Business Name,
SONRISE DAYCARE,A215464,N/A,Inactive Expired,05/24/2013,Assumed Business Name,
BISON MINI STORAGE,A245899,N/A,Active Good Standing,12/04/2015,Assumed Business Name,
CORSON AUTO INTERIOR DESIGN,A248647,N/A,Active Good Standing,02/16/2016,Assumed Business Name,
A. L. WILLIAMS/DON CHRIS JOSEPHSON,A015324,N/A,Inactive Expired,10/06/1987,Assumed Business Name,
WATSONS CUSTOM FRAMING,A181404,N/A,Inactive Expired,08/11/2010,Assumed Business Name,
ALLISON BEAMAN CLEANING,A132754,N/A,Inactive Expired,04/24/2006,Assumed Business Name,
PERSONA RECORDINGS,A240610,N/A,Active Good Standing,06/22/2015,Assumed Business Name,
GREG ERICKSON ROOFING AND SEAL COAT,A208649,N/A,Inactive Expired,11/08/2012,Assumed Business Name,
JOHNSON HAULING & BACKHOE SERVICE,A088988,N/A,Inactive Expired,08/15/2001,Assumed Business Name,
LARSON AG,A157415,N/A,Inactive Expired,06/10/2008,Assumed Business Name,
A. L. WILLIAMS/ALBERT L. KNUTSON,A019379,N/A,Inactive Expired,03/06/1989,Assumed Business Name,
CARLSON'S FABRICATION,A220007,N/A,Inactive Expired,10/24/2013,Assumed Business Name,
GREG'S DRYWALL-806-W-ALLISON ST #04-BELGRADE MT 59714,A143800,N/A,Inactive Expired,04/12/2007,Assumed Business Name,
"A. L. WILLIAMS/HARRISON L. KALBACH, JR.",A022883,N/A,Inactive Expired,04/27/1990,Assumed Business Name,
MADISON RIVER PHOTO,A194740,N/A,Inactive Expired,09/16/2011,Assumed Business Name,
PARSONS FARM & RANCH REALTY AND AUCTION,A157098,N/A,Inactive Expired,06/02/2008,Assumed Business Name,
DONALDSON STEEL FABRICATION,A052038,N/A,Inactive Expired,03/04/1996,Assumed Business Name,
DYK & SONS LAND & CATTLE,A008654,N/A,"Inactive, Cancelled",05/08/1985,Assumed Business Name,
FOUR SEASONS TRAVEL,A059977,N/A,Inactive Expired,04/29/1997,Assumed Business Name,
R.C. ENGEBRETSON BILLING,A072214,N/A,Inactive Expired,03/04/1999,Assumed Business Name,
EARL W. HANSON CONSULTING,A065243,N/A,Inactive Expired,02/23/1998,Assumed Business Name,
SEASONAL SOLUTIONS,A099114,N/A,Inactive Expired,12/02/2002,Assumed Business Name,
SKOLRUD'S PERSONAL CARE HOME,A146338,N/A,"Inactive, Cancelled",06/29/2007,Assumed Business Name,
HARRISON AVE LIQUOR STORE,A176753,N/A,Inactive Expired,03/23/2010,Assumed Business Name,
MELVIN PATTERSON CONST.,A251484,N/A,Active Good Standing,04/27/2016,Assumed Business Name,
DICKINSON ELECTRONIC'S,A006043,N/A,Inactive Expired,04/26/1984,Assumed Business Name,
IT'S PERSONAL,A047578,N/A,Inactive Expired,07/03/1995,Assumed Business Name,
LEN HOSKINSON CONTRACTOR,A051051,N/A,Inactive Expired,01/17/1996,Assumed Business Name,
KRIS GIBSON,A242804,N/A,Active Good Standing,09/01/2015,Assumed Business Name,
R ANDERSON INDEPENDENT CONSTRUCTION SALES,A242996,N/A,Active Good Standing,09/04/2015,Assumed Business Name,
OLSON'S HOMESTEAD FABRICS,A003221,N/A,Inactive Expired,09/21/1982,Assumed Business Name,
ANDERSON'S HORSESHOEING,A239692,N/A,Active Good Standing,05/26/2015,Assumed Business Name,
ORIM OLSON FARMS,A106844,N/A,Inactive Expired,10/02/2003,Assumed Business Name,
QUIGLEY MASONRY,A197648,N/A,Active Good Standing,12/19/2011,Assumed Business Name,
J'S ONE STOP SERVICE SHOP,A209345,N/A,Inactive Expired,12/04/2012,Assumed Business Name,
PERSONAL EXPOSURE,A100527,N/A,Inactive Expired,01/31/2003,Assumed Business Name,
A. L. WILLIAMS/JOANN KISON,A008733,N/A,Inactive Expired,05/20/1985,Assumed Business Name,
KEVIN ANDERSON CONSTRUCTION,A206558,N/A,Inactive Expired,08/31/2012,Assumed Business Name,
JOHNSON GEOPHYSICAL,A062463,N/A,"Inactive, Cancelled",09/15/1997,Assumed Business Name,
SONDA'S SOLUTIONS,A146472,N/A,"Inactive, Cancelled",06/27/2007,Assumed Business Name,
SIMPSON COMMUNICATIONS,A056559,N/A,Inactive Expired,10/28/1996,Assumed Business Name,
MY PERSONAL ASSISTANT,A151680,N/A,Inactive Expired,01/07/2008,Assumed Business Name,
"ANDERSONS HEAVY EQUIPMENT REPAIR, OVERHAUL & WELDING",A047429,N/A,Inactive Expired,07/14/1995,Assumed Business Name,
GIBSON TRADING,A157286,N/A,Inactive Expired,06/10/2008,Assumed Business Name,
AMUNDSON INFORMATION SYSTEMS SERVICES,A027795,N/A,Inactive Expired,09/12/1991,Assumed Business Name,
MIKE SIMPSON CONT.,A145210,N/A,Inactive Expired,05/23/2007,Assumed Business Name,
VICTORIA L. YOUNG TRANSPERSONAL CONSULTANT,A036421,N/A,Inactive Expired,09/08/1993,Assumed Business Name,
WILLIAM J HICKSON JR DBA MATCO TOOLS,A180686,N/A,Inactive Expired,07/20/2010,Assumed Business Name,
SONSHINE SQUARE,A018896,N/A,Inactive Expired,01/10/1989,Assumed Business Name,
A. L. WILLIAMS/BONNIE FAE ANDERSON OFFICE,A007444,N/A,Inactive Expired,12/11/1984,Assumed Business Name,
DONALD PETERSON CONSTRUCTION,A242304,N/A,Active Good Standing,08/12/2015,Assumed Business Name,
PETERSON WOODWORKS AND DESIGN,A233870,N/A,Active Pending Expiration,12/19/2014,Assumed Business Name,
NAKEDWITHSHOESON DESIGN,A100075,N/A,Inactive Expired,01/14/2003,Assumed Business Name,
ROYAL & SONS,A238991,N/A,Active Good Standing,05/06/2015,Assumed Business Name,
DELL MASONRY,A162682,N/A,Inactive Expired,12/10/2008,Assumed Business Name,
PERSONAL TOUCHES FOR SPECIAL OCCASIONS,A031956,N/A,Inactive Expired,10/08/1992,Assumed Business Name,
A. L. WILLIAMS/GREGORY C. JOHNSON,A004872,N/A,Inactive Expired,09/27/1983,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/LYNN A NELSON,A110887,N/A,Inactive Expired,03/11/2004,Assumed Business Name,
PHILIP JOHNSON MAINTENANCE,A239614,N/A,Active Good Standing,05/27/2015,Assumed Business Name,
ANDI'S ON CALL,A178184,N/A,Active Good Standing,05/04/2010,Assumed Business Name,
ERIC KNUTSON HOUSE WIRING,A190826,N/A,Active Good Standing,05/17/2011,Assumed Business Name,
HEARTSONG TLC,A235233,N/A,Active Pending Expiration,01/29/2015,Assumed Business Name,
ECKERSON SERVICES,A065429,N/A,Inactive Expired,03/03/1998,Assumed Business Name,
JEREMY NELSON CONST.,A223736,N/A,Inactive Expired,02/19/2014,Assumed Business Name,
BUSINESS ONE,A073843,N/A,"Inactive, Cancelled",05/25/1999,Assumed Business Name,
TYSON GOLDBERG CONSTRUCTION,A241385,N/A,Active Good Standing,07/15/2015,Assumed Business Name,
BIG SKY CUSTOM MASONRY,A215687,N/A,Inactive Expired,06/03/2013,Assumed Business Name,
A. L. WILLIAMS/GARY L. HANSON,A013899,N/A,Inactive Expired,04/07/1987,Assumed Business Name,
A. L. WILLIAMS/WILLIAM P. JOHNSON,A019408,N/A,Inactive Expired,03/08/1989,Assumed Business Name,
"PRIMERICA FINANCIAL SERVICES/WALTER E. ERICKSON, JR.",A192758,N/A,Inactive Expired,07/14/2011,Assumed Business Name,
SEASONS WITH NATURE'S CREATIONS,A132072,N/A,Active Good Standing,03/31/2006,Assumed Business Name,
HENDRICKSON CONSTRUCTION,A060653,N/A,Inactive Expired,05/30/1997,Assumed Business Name,
ALAN PETERSON CONSTRUCTION,A058323,N/A,Inactive Expired,02/10/1997,Assumed Business Name,
SONICITY STUDIOS,A090182,N/A,Inactive Expired,10/17/2001,Assumed Business Name,
NELSON INSTALLATIONS,A238765,N/A,Active Good Standing,05/05/2015,Assumed Business Name,
OLSON NIGHT & DAY WELL SERVICES,A216789,N/A,Inactive Expired,07/10/2013,Assumed Business Name,
3T CONSTRUCTION & MASONRY,A125803,N/A,Inactive Expired,09/01/2005,Assumed Business Name,
BRAD PERSSON CONCRETE CONSTRUCTION,A125328,N/A,"Inactive, Cancelled",08/17/2005,Assumed Business Name,
NELSON & ASSOCIATES,A086416,N/A,Inactive Expired,04/10/2001,Assumed Business Name,
AT YOUR SERVICE PERSONAL ASSISTANTS AND CONCIERGE PROFESSIO*,A113063,N/A,Inactive Expired,05/27/2004,Assumed Business Name,
MONTANA BULLSONGS,A046095,N/A,Inactive Expired,04/17/1995,Assumed Business Name,
PERSONAILIZED CONSULTANTS,A031798,N/A,Inactive Expired,09/23/1992,Assumed Business Name,
A. L. WILLIAMS/CLARK G. ANDERSON,A009441,N/A,Inactive Expired,08/22/1985,Assumed Business Name,
AGENCY - PERSONAL COMPUTERS,A204309,N/A,Inactive Expired,06/22/2012,Assumed Business Name,
ROBINSON NURSERY,A031806,N/A,Inactive Expired,09/24/1992,Assumed Business Name,
JOHN NELSON CONSULTING,A237790,N/A,"Inactive, Cancelled",04/06/2015,Assumed Business Name,
SON OF A BEACH CONSTRUCTION AND DEMOLITION,A168169,N/A,Inactive Expired,06/10/2009,Assumed Business Name,
ANDERSON MECHANIZED THINNING,A072758,N/A,Inactive Expired,03/30/1999,Assumed Business Name,
RON & SONS PAINTING,A233526,N/A,Active Good Standing,12/05/2014,Assumed Business Name,
MADISON ARTIFACTS,A168471,N/A,Inactive Expired,06/22/2009,Assumed Business Name,
SIMONSON'S GIFT SHOP,A112615,N/A,Inactive Expired,05/11/2004,Assumed Business Name,
VICTORIA WATSON & ASSOCIATES,A017643,N/A,Inactive Expired,07/18/1988,Assumed Business Name,
PERSONAL TOUCH,A095694,N/A,Inactive Expired,06/19/2002,Assumed Business Name,
JOHNSON AUTOMOTIVE ENTERPRISES,A072912,N/A,Inactive Expired,04/06/1999,Assumed Business Name,
JIM KELLY MASONRY,A190836,N/A,Active Good Standing,05/16/2011,Assumed Business Name,
JACOBSON BUILDERS,A115389,N/A,Inactive Expired,08/30/2004,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/TANYA L. ETCHISON,A137210,N/A,Inactive Expired,09/07/2006,Assumed Business Name,
WINDVILLE SONGS,A140972,N/A,Active Good Standing,01/23/2007,Assumed Business Name,
ANDERSON AUTOMOTIVE,A171096,N/A,Inactive Expired,09/24/2009,Assumed Business Name,
ALYSON DESIGNS,A037250,N/A,Inactive Expired,11/04/1993,Assumed Business Name,
JOHNSON'S SNOW PLOWING,A071421,N/A,Inactive Expired,01/29/1999,Assumed Business Name,
Peaks & Prairie,A229917,N/A,Inactive Expired,08/13/2014,Assumed Business Name,
DESIGNS ON YOU,A020440,N/A,Inactive Expired,07/05/1989,Assumed Business Name,
CREATIVE COUNSELING INSTITUTE DBA RESONATOR,A224392,N/A,Active Good Standing,03/10/2014,Assumed Business Name,
JS CONSTRUCTION OF MADISON VALLEY,A103817,N/A,Inactive Expired,06/02/2003,Assumed Business Name,
MARJERRISON LOG AND TIMBER,A123665,N/A,Inactive Expired,06/23/2005,Assumed Business Name,
SON RISE ESPRESSO,A152109,N/A,Inactive Expired,01/08/2008,Assumed Business Name,
PAT KOELZER MASONRY,A237657,N/A,Active Good Standing,04/07/2015,Assumed Business Name,
JOHNSON-NORBECK RENTALS,A030824,N/A,"Inactive, Cancelled",06/17/1992,Assumed Business Name,
J C MASONRY,A247003,N/A,Active Good Standing,01/05/2016,Assumed Business Name,
JOHNSON PROPERTY MANAGEMENT SOLUTIONS,A238352,N/A,Active Good Standing,04/20/2015,Assumed Business Name,
PEARSON PROPERTIES,A022684,N/A,Inactive Expired,03/19/1990,Assumed Business Name,
IVERSON CUSTOM SADDLERY,A096147,N/A,Inactive Expired,07/15/2002,Assumed Business Name,
BRENDAN MASONRY,A227868,N/A,Active Good Standing,06/11/2014,Assumed Business Name,
JOSEPHSON & FREDRICKS,A090281,N/A,Inactive Expired,10/23/2001,Assumed Business Name,
HOEGER & ASSOCIATES,A067012,N/A,Inactive Expired,05/01/1998,Assumed Business Name,
BYRON MASONRY,A039291,N/A,Inactive Expired,03/21/1994,Assumed Business Name,
DAVIDSON BROS. FARMS,A152373,N/A,Active Good Standing,01/16/2008,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/DALE H ANDERSON,A144574,N/A,Inactive Expired,05/02/2007,Assumed Business Name,
BRYAN ALLISON GUIDED FISHING,A248492,N/A,Active Good Standing,02/12/2016,Assumed Business Name,
A. L. WILLIAMS/MARK ROBERTSON OFFICE,A014624,N/A,Inactive Expired,07/01/1987,Assumed Business Name,
ERICKSON-BALDWIN INSURANCE ASSOCIATES,A004770,N/A,"Inactive, Cancelled",09/09/1983,Assumed Business Name,
HEGLAND'S GIBSON LAKE LODGE,A097886,N/A,Inactive Expired,10/02/2002,Assumed Business Name,
A. L. WILLIAMS/ALISON KAY SKELTON,A016076,N/A,Inactive Expired,01/18/1988,Assumed Business Name,
Jackson Construction,RN1112409,N/A,Expired,03/13/2019,Reserved Name,
CY JAMISON FOR CONGRESS,A038307,N/A,Inactive Expired,01/25/1994,Assumed Business Name,
GIRL FRIDAY' PERSONAL ASSISTANT SERVICE,A149852,N/A,"Inactive, Cancelled",10/17/2007,Assumed Business Name,
ANDERSON REPAIR,A140187,N/A,Active Good Standing,12/22/2006,Assumed Business Name,
ACS MASONRY,A187887,N/A,"Inactive, Cancelled",02/24/2011,Assumed Business Name,
JAVA-Q STEAK SEASONING,A113140,N/A,Inactive Expired,06/01/2004,Assumed Business Name,
HANDS ON CONSTRUCTION,A138069,N/A,Inactive Expired,10/12/2006,Assumed Business Name,
MORRIS MASONRY CONSTRUCTION,A143978,N/A,Inactive Expired,04/17/2007,Assumed Business Name,
LAWSON QUARTER HORSES,A098956,N/A,Inactive Expired,11/20/2002,Assumed Business Name,
JOHNSON & JOHNSON JANITORIAL,A210485,N/A,Inactive Expired,01/10/2013,Assumed Business Name,
PETERSON TILE & MARBLE,A119198,N/A,Inactive Expired,01/27/2005,Assumed Business Name,
ANDERSON VINEYARD & NURSERY,A004225,N/A,Inactive Expired,05/05/1983,Assumed Business Name,
CARLSON ENTERPRISES,A059321,N/A,Inactive Expired,03/31/1997,Assumed Business Name,
ANDERSON MAINTENANCE,A149436,N/A,Inactive Expired,10/03/2007,Assumed Business Name,
A. L. WILLIAMS/KAREN L. HARRISON,A009390,N/A,Inactive Expired,08/16/1985,Assumed Business Name,
JASON JAMES SHOP,A183209,N/A,Inactive Expired,10/05/2010,Assumed Business Name,
HANDS ON CARPENTRY,A173383,N/A,Inactive Expired,12/14/2009,Assumed Business Name,
NICKELSON CONSTRUCTION,A101341,N/A,Inactive Expired,03/06/2003,Assumed Business Name,
SCOTT OLSON,A216118,N/A,Inactive Expired,06/24/2013,Assumed Business Name,
JOHNSON'S CYCLE SHOP,A083259,N/A,Inactive Expired,11/02/2000,Assumed Business Name,
KELLY NELSON PHOTOGRAPHY,A227290,N/A,Inactive Expired,06/02/2014,Assumed Business Name,
FOUR SEASON FORAYS,A253201,N/A,"Inactive, Cancelled",06/09/2016,Assumed Business Name,
TIMBERLINE SEASONINGS,A036870,N/A,Inactive Expired,10/12/1993,Assumed Business Name,
TWO SEASONS RECYCLING,A080525,N/A,Inactive Expired,05/23/2000,Assumed Business Name,
EARTHSONG CANDLES,A150438,N/A,Active Good Standing,10/31/2007,Assumed Business Name,
BIG SKY WATER CONDITIONING OF THOMPSON FALLS,A066024,N/A,Inactive Expired,04/01/1998,Assumed Business Name,
MIKE MADDEN'S MASONRY,A049058,N/A,Inactive Expired,09/27/1995,Assumed Business Name,
SONRISAS SPANISH,A211410,N/A,Inactive Expired,02/06/2013,Assumed Business Name,
A. L. WILLIAMS/DAVID B. DAVIDSON OFFICE,A011371,N/A,Inactive Expired,04/28/1986,Assumed Business Name,
CRAWFORD'S ON ELECTRIC,A167808,N/A,Inactive Expired,06/03/2009,Assumed Business Name,
CLAIRE THOMPSON REALTY,A148645,N/A,Inactive Expired,09/07/2007,Assumed Business Name,
ERLANDSON TRUCKING,A091359,N/A,"Inactive, Cancelled",12/20/2001,Assumed Business Name,
"""YODER AND SONS CONSTRUCTION""",A246853,N/A,Active Good Standing,12/31/2015,Assumed Business Name,
JOHN T. FERGUSON TRUCKING,A031129,N/A,Inactive Expired,07/17/1992,Assumed Business Name,
SIMPLY AESTHETICS ONE,A168122,N/A,Inactive Expired,06/10/2009,Assumed Business Name,
A. L. WILLIAMS/NELSON RUMORE OFFICE,A010521,N/A,Inactive Expired,01/15/1986,Assumed Business Name,
JOYSONG CREATIONS,A025633,N/A,Inactive Expired,02/22/1991,Assumed Business Name,
RW MASONRY,A158618,N/A,Inactive Expired,07/15/2008,Assumed Business Name,
DAKOTAH OLSON MASSAGE,A232916,N/A,Active Pending Expiration,11/14/2014,Assumed Business Name,
SILVER STAR SEASONS,A072702,N/A,Inactive Expired,04/21/1999,Assumed Business Name,
NELSON SERVICES,A097725,N/A,Inactive Expired,09/25/2002,Assumed Business Name,
KENNETH ORRISON PLUMBING,A141800,N/A,Inactive Expired,02/12/2007,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/JASON ALAN BOBROWITZ,A230163,N/A,Inactive Expired,08/19/2014,Assumed Business Name,
RAMOS CONCRETE AND MASONARY,A117417,N/A,Inactive Expired,11/22/2004,Assumed Business Name,
ROBINSON'S BIG ARM STUDIO,A123297,N/A,Inactive Expired,06/07/2005,Assumed Business Name,
A. L. WILLIAMS/DANIEL R. WILLIAMSON,A011278,N/A,Inactive Expired,04/17/1986,Assumed Business Name,
MOUNTAIN SONG MASSAGE,A093548,N/A,Inactive Expired,03/27/2002,Assumed Business Name,
"G. E. PARSONS, PE",A184218,N/A,"Inactive, Cancelled",11/05/2010,Assumed Business Name,
JASON NICHOLS SPRINKLERS,A113980,N/A,Inactive Expired,07/14/2004,Assumed Business Name,
M.R. MASON CONSULTING,A217809,N/A,Inactive Expired,08/14/2013,Assumed Business Name,
SONYA HORYNA,A130949,N/A,Inactive Expired,03/01/2006,Assumed Business Name,
ANDERSON REPTILES,A099122,N/A,Inactive Expired,12/02/2002,Assumed Business Name,
CARPENTER'S SON CONSTRUCTION,A244356,N/A,Active Good Standing,10/19/2015,Assumed Business Name,
STEVE ANDERSON HAY GRINDING,A197184,N/A,Inactive Expired,12/02/2011,Assumed Business Name,
SACRED SONG,A029695,N/A,Inactive Expired,03/12/1992,Assumed Business Name,
NORTHWEST NATIONAL - JEPSON REALTY,A051531,N/A,Inactive Expired,02/08/1996,Assumed Business Name,
ANDERSON RESEARCH LABORATORY,A163150,N/A,Inactive Expired,01/14/2009,Assumed Business Name,
BARI BENSON CONSTRUCTION,A078407,N/A,Inactive Expired,02/15/2000,Assumed Business Name,
WILL ANDERSON CONTRACTING,A183488,N/A,Inactive Expired,10/13/2010,Assumed Business Name,
GERTSON'S CARPET CLEANING & DYEING,A154478,N/A,Inactive Expired,03/17/2008,Assumed Business Name,
ERIK SEVERSON CONSTRUCTION,A141880,N/A,Inactive Expired,02/14/2007,Assumed Business Name,
HEARTSTRONG PERSONAL TRAINING,A057888,N/A,Inactive Expired,01/16/1997,Assumed Business Name,
R. EDWARD LARSON PROPERTIES,A229092,N/A,Inactive Expired,07/21/2014,Assumed Business Name,
STONEMAN MASONRY,A152945,N/A,Inactive Expired,02/08/2008,Assumed Business Name,
PERSONAL TOUCH SIDING AND EXTERIOR CONTRACTING,A026506,N/A,Inactive Expired,05/06/1991,Assumed Business Name,
LAWYERS ON THE GO,A093691,N/A,Inactive Expired,03/28/2002,Assumed Business Name,
HOLLOWTOP MASONRY,A163620,N/A,Active Good Standing,01/26/2009,Assumed Business Name,
NATHAN EDELSON/ENVIRONMENTS FOR HEALTH,A023396,N/A,Inactive Expired,06/01/1990,Assumed Business Name,
PETERSON CONSTRUCTION,A053694,N/A,Inactive Expired,05/20/1996,Assumed Business Name,
"HANSON & HANSON WINDOW CLEANING, LLC",A084556,N/A,Inactive Expired,01/18/2001,Assumed Business Name,
SHIRLEY ANDERSON'S CLEANING,A140837,N/A,Inactive Expired,01/18/2007,Assumed Business Name,
CARLO'S ONE NIGHT STAND,A024417,N/A,Inactive Expired,09/26/1990,Assumed Business Name,
ANDERSON ELECTRIC,A070360,N/A,"Inactive, Cancelled",11/18/1998,Assumed Business Name,
"TONJA WISDOM ERICKSON, L.C.P.C. COUNSELING SERVICES",A181124,N/A,Active Good Standing,08/03/2010,Assumed Business Name,
PETERSON'S BEAUTY SALON,A074555,N/A,Inactive Expired,06/29/1999,Assumed Business Name,
SHARI B JOHNSON CPA,A206116,N/A,Inactive Expired,08/16/2012,Assumed Business Name,
ANDY TILE AND MASONRY,A143965,N/A,Inactive Expired,04/25/2007,Assumed Business Name,
A. L. WILLIAMS/DONALD L. CROSSON,A024205,N/A,Inactive Expired,09/05/1990,Assumed Business Name,
WESTERN MASONRY RESTORATION,A171770,N/A,Inactive Expired,10/21/2009,Assumed Business Name,
PERSONALLY YOURS PRODUCTIONS,A035423,N/A,Inactive Expired,06/21/1993,Assumed Business Name,
A. L. WILLIAMS/MARILYN M. BIRDSONG,A013517,N/A,Inactive Expired,02/24/1987,Assumed Business Name,
EJ'S MASONRY & CUSTOM ROCKS,A107048,N/A,Inactive Expired,10/10/2003,Assumed Business Name,
KEN THOMPSON EXCAVATING,A087591,N/A,Inactive Expired,06/07/2001,Assumed Business Name,
ROCKY MOUNTAIN MASONRY & CHIMNEY SERVICE,A015638,N/A,Inactive Expired,11/13/1987,Assumed Business Name,
GLEN MATHIASON TRUCKING,A067002,N/A,Active Good Standing,05/21/1998,Assumed Business Name,
ALLISON'S ATTIC OF RARE BOOKS,A214596,N/A,Active Good Standing,04/29/2013,Assumed Business Name,
RICK PARSONS CONSTRUCTION,A216811,N/A,Inactive Expired,07/10/2013,Assumed Business Name,
ERIC JON MATSON DBA RED DOG BUILDERS,A179419,N/A,Inactive Expired,06/10/2010,Assumed Business Name,
RICHARDSON'S BILLIARD EMPORIUM,A023069,N/A,Inactive Expired,04/20/1990,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES-NICOLE ROBISON,A151267,N/A,Inactive Expired,12/10/2007,Assumed Business Name,
BRONSON & SON,A065342,N/A,Inactive Expired,02/27/1998,Assumed Business Name,
STONE ARCH MASONRY,A187371,N/A,Inactive Expired,02/10/2011,Assumed Business Name,
ALLISON NAGEL COURT REPORTING,A159531,N/A,Inactive Expired,08/19/2008,Assumed Business Name,
LIBBY'S ON THE LABEL,A091786,N/A,Inactive Expired,01/14/2002,Assumed Business Name,
PERSONAL SERVICES AND PROPERTY MANAGEMENT,A220878,N/A,"Inactive, Cancelled",11/20/2013,Assumed Business Name,
SEASONS OF THE HEART,A036999,N/A,Inactive Expired,10/19/1993,Assumed Business Name,
INFANTS ONLY DAYCARE OF LIBBY,A063210,N/A,Inactive Expired,10/31/1997,Assumed Business Name,
FITNESS JUNKIE PERSONAL TRAINING,A217147,N/A,Inactive Expired,07/22/2013,Assumed Business Name,
KNUTSON MORTGAGE AND FINANCIAL CORPORATION,A011188,N/A,"Inactive, Cancelled",04/10/1986,Assumed Business Name,
NICKSON ENTERPRISES,A011012,N/A,Inactive Expired,03/19/1986,Assumed Business Name,
A. L. WILLIAMS/DONALD E. RICHARDSON,A006773,N/A,Inactive Expired,08/23/1984,Assumed Business Name,
NELSON FABRICATION,A238291,N/A,Active Good Standing,04/17/2015,Assumed Business Name,
JOHNSON'S HOME & GARDEN,A114954,N/A,Inactive Expired,08/11/2004,Assumed Business Name,
WALDOCH FERGUSON ENTERPRISES,A018716,N/A,Inactive Expired,12/15/1988,Assumed Business Name,
BISON SPRINGS RANCH,A210763,N/A,Inactive Expired,01/22/2013,Assumed Business Name,
JOHNSTON MASONRY,A142612,N/A,"Inactive, Cancelled",03/28/2007,Assumed Business Name,
